"","date","SILK"
"1","2019-04-04",36.18
"2","2019-04-05",35.799999
"3","2019-04-08",34.990002
"4","2019-04-09",37
"5","2019-04-10",37.040001
"6","2019-04-11",36.66
"7","2019-04-12",35.490002
"8","2019-04-15",34.16
"9","2019-04-16",33.5
"10","2019-04-17",32.5
"11","2019-04-18",33.990002
"12","2019-04-22",35
"13","2019-04-23",35.450001
"14","2019-04-24",36.080002
"15","2019-04-25",37.799999
"16","2019-04-26",40.009998
"17","2019-04-29",39.93
"18","2019-04-30",41.639999
"19","2019-05-01",40.689999
"20","2019-05-02",39.09
"21","2019-05-03",38.110001
"22","2019-05-06",39.450001
"23","2019-05-07",40.099998
"24","2019-05-08",41
"25","2019-05-09",40.830002
"26","2019-05-10",44.720001
"27","2019-05-13",46.32
"28","2019-05-14",46.669998
"29","2019-05-15",48
"30","2019-05-16",47.84
"31","2019-05-17",46.630001
"32","2019-05-20",46.540001
"33","2019-05-21",48.509998
"34","2019-05-22",48.529999
"35","2019-05-23",45.220001
"36","2019-05-24",45.060001
"37","2019-05-28",44.849998
"38","2019-05-29",45.360001
"39","2019-05-30",45.599998
"40","2019-05-31",42.66
"41","2019-06-03",42.470001
"42","2019-06-04",42.93
"43","2019-06-05",46.150002
"44","2019-06-06",44.740002
"45","2019-06-07",44.549999
"46","2019-06-10",49.009998
"47","2019-06-11",46.009998
"48","2019-06-12",45.150002
"49","2019-06-13",45.610001
"50","2019-06-14",44.990002
"51","2019-06-17",48.169998
"52","2019-06-18",48.310001
"53","2019-06-19",49.119999
"54","2019-06-20",48.650002
"55","2019-06-21",47.349998
"56","2019-06-24",47.150002
"57","2019-06-25",45.700001
"58","2019-06-26",45.799999
"59","2019-06-27",46.509998
"60","2019-06-28",48.459999
"61","2019-07-01",46.939999
"62","2019-07-02",44.93
"63","2019-07-03",44.509998
"64","2019-07-05",44.970001
"65","2019-07-08",42.5
"66","2019-07-09",42.099998
"67","2019-07-10",42.150002
"68","2019-07-11",40.950001
"69","2019-07-12",40.380001
"70","2019-07-15",40.41
"71","2019-07-16",40.830002
"72","2019-07-17",41.130001
"73","2019-07-18",41.34
"74","2019-07-19",41.700001
"75","2019-07-22",41.540001
"76","2019-07-23",42.099998
"77","2019-07-24",41.950001
"78","2019-07-25",41.91
"79","2019-07-26",42.099998
"80","2019-07-29",44.5
"81","2019-07-30",41.009998
"82","2019-07-31",43.290001
"83","2019-08-01",42.849998
"84","2019-08-02",40.970001
"85","2019-08-05",39.349998
"86","2019-08-06",37.700001
"87","2019-08-07",35.560001
"88","2019-08-08",40.43
"89","2019-08-09",40.360001
"90","2019-08-12",39.84
"91","2019-08-13",40.009998
"92","2019-08-14",39.73
"93","2019-08-15",40
"94","2019-08-16",40.529999
"95","2019-08-19",40.740002
"96","2019-08-20",40.720001
"97","2019-08-21",42.23
"98","2019-08-22",41.73
"99","2019-08-23",41.130001
"100","2019-08-26",42.060001
"101","2019-08-27",42.950001
"102","2019-08-28",42.52
"103","2019-08-29",43.959999
"104","2019-08-30",43.09
"105","2019-09-03",41.27
"106","2019-09-04",40.75
"107","2019-09-05",39.91
"108","2019-09-06",36.689999
"109","2019-09-09",34.450001
"110","2019-09-10",36.849998
"111","2019-09-11",38.310001
"112","2019-09-12",37
