"","date","EYEG"
"1","2015-02-13",90
"2","2015-02-17",84.75
"3","2015-02-18",84.75
"4","2015-02-19",82.5
"5","2015-02-20",90
"6","2015-02-23",89.940002
"7","2015-02-24",86.25
"8","2015-02-25",90
"9","2015-02-26",91.5
"10","2015-02-27",90.75
"11","2015-03-02",90.75
"12","2015-03-03",90
"13","2015-03-04",90
"14","2015-03-05",90
"15","2015-03-06",90
"16","2015-03-09",90
"17","2015-03-10",90
"18","2015-03-11",90
"19","2015-03-12",90
"20","2015-03-13",90
"21","2015-03-16",72
"22","2015-03-17",67.5
"23","2015-03-18",58.5
"24","2015-03-19",46.5
"25","2015-03-20",46.5
"26","2015-03-23",46.5
"27","2015-03-24",46.799999
"28","2015-03-25",47.099998
"29","2015-03-26",47.25
"30","2015-03-27",47.25
"31","2015-03-30",52.5
"32","2015-03-31",52.5
"33","2015-04-01",48.299999
"34","2015-04-02",48.299999
"35","2015-04-06",48.299999
"36","2015-04-07",48.299999
"37","2015-04-08",48.299999
"38","2015-04-09",48.299999
"39","2015-04-10",48.299999
"40","2015-04-13",48.299999
"41","2015-04-14",58.799999
"42","2015-04-15",59.400002
"43","2015-04-16",59.25
"44","2015-04-17",59.25
"45","2015-04-20",59.25
"46","2015-04-21",60
"47","2015-04-22",60
"48","2015-04-23",60
"49","2015-04-24",60
"50","2015-04-27",60
"51","2015-04-28",60
"52","2015-04-29",60
"53","2015-04-30",56.25
"54","2015-05-01",52.5
"55","2015-05-04",52.5
"56","2015-05-05",52.5
"57","2015-05-06",63.75
"58","2015-05-07",61.5
"59","2015-05-08",61.5
"60","2015-05-11",61.5
"61","2015-05-12",61.5
"62","2015-05-13",75
"63","2015-05-14",76.349998
"64","2015-05-15",76.349998
"65","2015-05-18",76.349998
"66","2015-05-19",69.599998
"67","2015-05-20",69.599998
"68","2015-05-21",69.449997
"69","2015-05-22",69.75
"70","2015-05-26",69.75
"71","2015-05-27",69.75
"72","2015-05-28",67.5
"73","2015-05-29",67.5
"74","2015-06-01",67.5
"75","2015-06-02",67.5
"76","2015-06-03",67.5
"77","2015-06-04",67.5
"78","2015-06-05",67.5
"79","2015-06-08",67.5
"80","2015-06-09",67.5
"81","2015-06-10",67.5
"82","2015-06-11",67.5
"83","2015-06-12",67.5
"84","2015-06-15",67.5
"85","2015-06-16",67.5
"86","2015-06-17",67.5
"87","2015-06-18",60
"88","2015-06-19",60
"89","2015-06-22",60
"90","2015-06-23",60
"91","2015-06-24",60
"92","2015-06-25",60
"93","2015-06-26",60
"94","2015-06-29",60
"95","2015-06-30",75
"96","2015-07-01",60
"97","2015-07-02",60
"98","2015-07-06",70.5
"99","2015-07-07",70.5
"100","2015-07-08",70.5
"101","2015-07-09",70.5
"102","2015-07-10",92.25
"103","2015-07-13",100.5
"104","2015-07-14",225
