"","date","ARC"
"1","2007-01-03",33.759998
"2","2007-01-04",33.900002
"3","2007-01-05",33.41
"4","2007-01-08",33.57
"5","2007-01-09",33.540001
"6","2007-01-10",33.25
"7","2007-01-11",32.75
"8","2007-01-12",32.709999
"9","2007-01-16",32.66
"10","2007-01-17",31.84
"11","2007-01-18",31.440001
"12","2007-01-19",31.129999
"13","2007-01-22",30.200001
"14","2007-01-23",30.85
"15","2007-01-24",30.940001
"16","2007-01-25",30.82
"17","2007-01-26",30.969999
"18","2007-01-29",31
"19","2007-01-30",31.200001
"20","2007-01-31",31.32
"21","2007-02-01",31.200001
"22","2007-02-02",31.639999
"23","2007-02-05",32
"24","2007-02-06",32.060001
"25","2007-02-07",32.59
"26","2007-02-08",32.389999
"27","2007-02-09",32.23
"28","2007-02-12",31.99
"29","2007-02-13",31.65
"30","2007-02-14",31.719999
"31","2007-02-15",31.41
"32","2007-02-16",30.65
"33","2007-02-20",30.77
"34","2007-02-21",30.9
"35","2007-02-22",31.190001
"36","2007-02-23",34.82
"37","2007-02-26",35.049999
"38","2007-02-27",33.740002
"39","2007-02-28",33.110001
"40","2007-03-01",33.57
"41","2007-03-02",32.5
"42","2007-03-05",31.91
"43","2007-03-06",32.75
"44","2007-03-07",32.610001
"45","2007-03-08",32.669998
"46","2007-03-09",32.150002
"47","2007-03-12",31.870001
"48","2007-03-13",30.85
"49","2007-03-14",30.780001
"50","2007-03-15",31.690001
"51","2007-03-16",31.17
"52","2007-03-19",31.200001
"53","2007-03-20",30.98
"54","2007-03-21",31.74
"55","2007-03-22",31.809999
"56","2007-03-23",32.290001
"57","2007-03-26",32.25
"58","2007-03-27",31.940001
"59","2007-03-28",31.4
"60","2007-03-29",30.790001
"61","2007-03-30",30.790001
"62","2007-04-02",30.9
"63","2007-04-03",31.25
"64","2007-04-04",31.440001
"65","2007-04-05",31.42
"66","2007-04-09",31.6
"67","2007-04-10",32.07
"68","2007-04-11",31.74
"69","2007-04-12",31.98
"70","2007-04-13",32.48
"71","2007-04-16",33.09
"72","2007-04-17",32.950001
"73","2007-04-18",33.040001
"74","2007-04-19",33.040001
"75","2007-04-20",33.099998
"76","2007-04-23",33.389999
"77","2007-04-24",33.049999
"78","2007-04-25",32.869999
"79","2007-04-26",33.259998
"80","2007-04-27",33.209999
"81","2007-04-30",33.200001
"82","2007-05-01",32.919998
"83","2007-05-02",32.919998
"84","2007-05-03",33.200001
"85","2007-05-04",30.85
"86","2007-05-07",30.690001
"87","2007-05-08",31.24
"88","2007-05-09",31.91
"89","2007-05-10",31.9
"90","2007-05-11",31.51
"91","2007-05-14",31.66
"92","2007-05-15",30.43
"93","2007-05-16",30.049999
"94","2007-05-17",29.85
"95","2007-05-18",29.620001
"96","2007-05-21",30.389999
"97","2007-05-22",30.52
"98","2007-05-23",30.030001
