"","date","FOSL"
"1","2007-01-03",22.969999
"2","2007-01-04",23.190001
"3","2007-01-05",22.67
"4","2007-01-08",22.93
"5","2007-01-09",23.049999
"6","2007-01-10",23.25
"7","2007-01-11",23.27
"8","2007-01-12",23.42
"9","2007-01-16",23.389999
"10","2007-01-17",23.02
"11","2007-01-18",22.969999
"12","2007-01-19",22.950001
"13","2007-01-22",22.700001
"14","2007-01-23",22.75
"15","2007-01-24",22.99
"16","2007-01-25",22.280001
"17","2007-01-26",22.52
"18","2007-01-29",22.280001
"19","2007-01-30",22.08
"20","2007-01-31",22.51
"21","2007-02-01",22.629999
"22","2007-02-02",22.860001
"23","2007-02-05",22.719999
"24","2007-02-06",22.91
"25","2007-02-07",23.02
"26","2007-02-08",23.15
"27","2007-02-09",22.879999
"28","2007-02-12",22.84
"29","2007-02-13",23
"30","2007-02-14",23.139999
"31","2007-02-15",23.389999
"32","2007-02-16",24.129999
"33","2007-02-20",27.559999
"34","2007-02-21",28.389999
"35","2007-02-22",28.219999
"36","2007-02-23",28.139999
"37","2007-02-26",27.950001
"38","2007-02-27",26.809999
"39","2007-02-28",26.92
"40","2007-03-01",27.09
"41","2007-03-02",26.35
"42","2007-03-05",25.379999
"43","2007-03-06",26.370001
"44","2007-03-07",26.309999
"45","2007-03-08",26.66
"46","2007-03-09",27
"47","2007-03-12",27.02
"48","2007-03-13",26.1
"49","2007-03-14",26.200001
"50","2007-03-15",25.93
"51","2007-03-16",25.700001
"52","2007-03-19",25.85
"53","2007-03-20",26.01
"54","2007-03-21",26.5
"55","2007-03-22",27.030001
"56","2007-03-23",27.18
"57","2007-03-26",27.1
"58","2007-03-27",26.59
"59","2007-03-28",26.379999
"60","2007-03-29",26.18
"61","2007-03-30",26.469999
"62","2007-04-02",26.34
"63","2007-04-03",26.540001
"64","2007-04-04",26.41
"65","2007-04-05",26.58
"66","2007-04-09",26.9
"67","2007-04-10",27.65
"68","2007-04-11",27.75
"69","2007-04-12",28.33
"70","2007-04-13",28.379999
"71","2007-04-16",29.290001
"72","2007-04-17",29.25
"73","2007-04-18",28.75
"74","2007-04-19",28.84
"75","2007-04-20",29
"76","2007-04-23",29.1
"77","2007-04-24",29.190001
"78","2007-04-25",28.91
"79","2007-04-26",29.040001
"80","2007-04-27",28.780001
"81","2007-04-30",28.17
"82","2007-05-01",28.110001
"83","2007-05-02",28.27
"84","2007-05-03",28.32
"85","2007-05-04",30.200001
"86","2007-05-07",29.6
"87","2007-05-08",30.75
"88","2007-05-09",31.41
"89","2007-05-10",31
"90","2007-05-11",31.15
"91","2007-05-14",30.290001
"92","2007-05-15",29.860001
"93","2007-05-16",30.110001
"94","2007-05-17",30.42
"95","2007-05-18",30.540001
"96","2007-05-21",31.01
"97","2007-05-22",31.049999
"98","2007-05-23",30.77
"99","2007-05-24",30.139999
"100","2007-05-25",30.09
"101","2007-05-29",30.52
"102","2007-05-30",31.280001
"103","2007-05-31",31.209999
"104","2007-06-01",31.24
"105","2007-06-04",31.32
"106","2007-06-05",31.15
"107","2007-06-06",30.809999
"108","2007-06-07",30.16
"109","2007-06-08",30.5
"110","2007-06-11",30.58
"111","2007-06-12",30.07
"112","2007-06-13",30.68
"113","2007-06-14",30.65
"114","2007-06-15",31.24
"115","2007-06-18",31.24
"116","2007-06-19",31.27
"117","2007-06-20",30.610001
"118","2007-06-21",30.719999
"119","2007-06-22",30.23
"120","2007-06-25",29.91
"121","2007-06-26",29.950001
