"","date","ALXN"
"1","2007-01-03",10.1525
"2","2007-01-04",10.1825
"3","2007-01-05",10.115
"4","2007-01-08",9.8375
"5","2007-01-09",9.7625
"6","2007-01-10",10.095
"7","2007-01-11",10.22
"8","2007-01-12",10.2875
"9","2007-01-16",10.4175
"10","2007-01-17",10.63
"11","2007-01-18",10.505
"12","2007-01-19",10.7175
"13","2007-01-22",10.54
"14","2007-01-23",10.59
"15","2007-01-24",10.58
"16","2007-01-25",10.495
"17","2007-01-26",10.3925
"18","2007-01-29",10.3325
"19","2007-01-30",10.2775
"20","2007-01-31",10.3925
"21","2007-02-01",10.6075
"22","2007-02-02",10.485
"23","2007-02-05",10.225
"24","2007-02-06",10.34
"25","2007-02-07",10.3025
"26","2007-02-08",10.1675
"27","2007-02-09",9.9775
"28","2007-02-12",9.91
"29","2007-02-13",9.9125
"30","2007-02-14",9.855
"31","2007-02-15",9.895
"32","2007-02-16",9.76
"33","2007-02-20",9.7525
"34","2007-02-21",9.735
"35","2007-02-22",9.72
"36","2007-02-23",9.7275
"37","2007-02-26",9.655
"38","2007-02-27",9.325
"39","2007-02-28",9.22
"40","2007-03-01",9.2575
"41","2007-03-02",8.9825
"42","2007-03-05",8.9425
"43","2007-03-06",9.0725
"44","2007-03-07",9.1425
"45","2007-03-08",9.35
"46","2007-03-09",9.27
"47","2007-03-12",9.375
"48","2007-03-13",9.07
"49","2007-03-14",9.2525
"50","2007-03-15",9.3425
"51","2007-03-16",10.0375
"52","2007-03-19",9.75
"53","2007-03-20",9.84
"54","2007-03-21",9.8225
"55","2007-03-22",10.1375
"56","2007-03-23",10.0175
"57","2007-03-26",10.945
"58","2007-03-27",10.87
"59","2007-03-28",10.7925
"60","2007-03-29",10.915
"61","2007-03-30",10.81
"62","2007-04-02",10.72
"63","2007-04-03",10.8825
"64","2007-04-04",10.955
"65","2007-04-05",11.115
"66","2007-04-09",11.005
"67","2007-04-10",11.095
"68","2007-04-11",11.0475
"69","2007-04-12",11.14
"70","2007-04-13",11.24
"71","2007-04-16",11.2125
"72","2007-04-17",10.9825
"73","2007-04-18",10.895
"74","2007-04-19",10.8525
"75","2007-04-20",10.95
"76","2007-04-23",10.9925
"77","2007-04-24",10.87
"78","2007-04-25",10.7325
"79","2007-04-26",10.7525
"80","2007-04-27",10.6375
"81","2007-04-30",10.465
"82","2007-05-01",10.6775
"83","2007-05-02",10.895
"84","2007-05-03",10.84
"85","2007-05-04",11.4725
"86","2007-05-07",11.5125
"87","2007-05-08",11.8425
"88","2007-05-09",12.0475
"89","2007-05-10",11.56
"90","2007-05-11",11.7625
"91","2007-05-14",11.6725
"92","2007-05-15",11.595
"93","2007-05-16",11.675
"94","2007-05-17",11.59
"95","2007-05-18",11.8125
"96","2007-05-21",11.9275
"97","2007-05-22",11.8675
"98","2007-05-23",11.8225
"99","2007-05-24",11.745
"100","2007-05-25",11.835
"101","2007-05-29",11.7925
"102","2007-05-30",12.11
"103","2007-05-31",12.1425
"104","2007-06-01",12.3025
"105","2007-06-04",12.5325
"106","2007-06-05",12.5
"107","2007-06-06",12.34
"108","2007-06-07",11.8925
"109","2007-06-08",11.98
"110","2007-06-11",11.7625
"111","2007-06-12",11.6025
"112","2007-06-13",11.725
"113","2007-06-14",11.915
"114","2007-06-15",12.1325
"115","2007-06-18",11.9
"116","2007-06-19",12.07
"117","2007-06-20",11.675
"118","2007-06-21",11.5825
"119","2007-06-22",11.3325
"120","2007-06-25",11.16
"121","2007-06-26",11
"122","2007-06-27",11.4375
"123","2007-06-28",11.365
"124","2007-06-29",11.265
"125","2007-07-02",11.595
"126","2007-07-03",11.67
"127","2007-07-05",11.4825
"128","2007-07-06",11.5475
"129","2007-07-09",11.71
"130","2007-07-10",11.9875
"131","2007-07-11",11.915
"132","2007-07-12",12.195
"133","2007-07-13",12.5125
"134","2007-07-16",12.3925
"135","2007-07-17",12.4925
"136","2007-07-18",12.7125
"137","2007-07-19",12.8225
"138","2007-07-20",12.625
"139","2007-07-23",12.705
"140","2007-07-24",12.42
"141","2007-07-25",14.595
"142","2007-07-26",14.295
"143","2007-07-27",14.655
"144","2007-07-30",14.8425
"145","2007-07-31",14.54
"146","2007-08-01",14.73
"147","2007-08-02",15.2825
"148","2007-08-03",15.32
"149","2007-08-06",15.5025
"150","2007-08-07",16.030001
"151","2007-08-08",16.297501
"152","2007-08-09",16.297501
"153","2007-08-10",15.49
