"","date","PB"
"1","2007-01-03",35.07
"2","2007-01-04",35.110001
"3","2007-01-05",34.509998
"4","2007-01-08",34.25
"5","2007-01-09",34.040001
"6","2007-01-10",33.93
"7","2007-01-11",34.240002
"8","2007-01-12",34.07
"9","2007-01-16",33.400002
"10","2007-01-17",33.27
"11","2007-01-18",32.66
"12","2007-01-19",32.59
"13","2007-01-22",32.310001
"14","2007-01-23",32.25
"15","2007-01-24",33.740002
"16","2007-01-25",33.580002
"17","2007-01-26",33.869999
"18","2007-01-29",33.790001
"19","2007-01-30",34.299999
"20","2007-01-31",35
"21","2007-02-01",34.720001
"22","2007-02-02",34.889999
"23","2007-02-05",34.709999
"24","2007-02-06",34.98
"25","2007-02-07",35.560001
"26","2007-02-08",35.369999
"27","2007-02-09",35.009998
"28","2007-02-12",35.009998
"29","2007-02-13",34.84
"30","2007-02-14",34.639999
"31","2007-02-15",34.84
"32","2007-02-16",35.630001
"33","2007-02-20",35.810001
"34","2007-02-21",35.82
"35","2007-02-22",36.119999
"36","2007-02-23",35.720001
"37","2007-02-26",35.470001
"38","2007-02-27",34.369999
"39","2007-02-28",34.77
"40","2007-03-01",34.759998
"41","2007-03-02",34.630001
"42","2007-03-05",34.41
"43","2007-03-06",35.470001
"44","2007-03-07",36.02
"45","2007-03-08",35.709999
"46","2007-03-09",35.75
"47","2007-03-12",35.360001
"48","2007-03-13",34.849998
"49","2007-03-14",35.240002
"50","2007-03-15",35.77
"51","2007-03-16",35.650002
"52","2007-03-19",36.23
"53","2007-03-20",36.25
"54","2007-03-21",37.09
"55","2007-03-22",36.830002
"56","2007-03-23",36.23
"57","2007-03-26",36.27
"58","2007-03-27",36.02
"59","2007-03-28",35.459999
"60","2007-03-29",35.43
"61","2007-03-30",34.740002
"62","2007-04-02",34.220001
"63","2007-04-03",34.389999
"64","2007-04-04",34.360001
"65","2007-04-05",34.16
"66","2007-04-09",33.84
"67","2007-04-10",33.98
"68","2007-04-11",33.57
"69","2007-04-12",33.75
"70","2007-04-13",34
"71","2007-04-16",34.599998
"72","2007-04-17",34.48
"73","2007-04-18",34.200001
"74","2007-04-19",34.220001
"75","2007-04-20",34.439999
"76","2007-04-23",34.259998
"77","2007-04-24",34.189999
"78","2007-04-25",34.639999
"79","2007-04-26",35.27
"80","2007-04-27",35.080002
"81","2007-04-30",34.689999
"82","2007-05-01",34.880001
"83","2007-05-02",35.150002
"84","2007-05-03",35.209999
"85","2007-05-04",35.639999
"86","2007-05-07",35.52
"87","2007-05-08",35.639999
"88","2007-05-09",35.759998
"89","2007-05-10",35.049999
"90","2007-05-11",35.509998
"91","2007-05-14",35.040001
"92","2007-05-15",34.709999
"93","2007-05-16",35.07
"94","2007-05-17",34.669998
"95","2007-05-18",34.450001
"96","2007-05-21",34.93
"97","2007-05-22",35.16
"98","2007-05-23",34.950001
"99","2007-05-24",34.720001
"100","2007-05-25",34.630001
"101","2007-05-29",34.860001
"102","2007-05-30",35.040001
"103","2007-05-31",34.639999
"104","2007-06-01",35.09
"105","2007-06-04",35.080002
"106","2007-06-05",34.560001
"107","2007-06-06",34.299999
"108","2007-06-07",33.529999
"109","2007-06-08",33.810001
"110","2007-06-11",33.98
"111","2007-06-12",33.27
"112","2007-06-13",33.799999
"113","2007-06-14",34.169998
"114","2007-06-15",34.759998
"115","2007-06-18",34.619999
"116","2007-06-19",34.650002
"117","2007-06-20",34.080002
"118","2007-06-21",33.77
"119","2007-06-22",33.27
"120","2007-06-25",33.009998
"121","2007-06-26",33.110001
"122","2007-06-27",33.48
"123","2007-06-28",33.68
"124","2007-06-29",32.759998
"125","2007-07-02",33.169998
