"","date","YVR"
"1","2007-01-03",91.25
"2","2007-01-04",92
"3","2007-01-05",89.5
"4","2007-01-08",87.75
"5","2007-01-09",86
"6","2007-01-10",82
"7","2007-01-11",83
"8","2007-01-12",74.25
"9","2007-01-16",69
"10","2007-01-17",64.25
"11","2007-01-18",63
"12","2007-01-19",59
"13","2007-01-22",58
"14","2007-01-23",54.25
"15","2007-01-24",58
"16","2007-01-25",59
"17","2007-01-26",59.25
"18","2007-01-29",58.25
"19","2007-01-30",58
"20","2007-01-31",56.75
"21","2007-02-01",60.75
"22","2007-02-02",63.75
"23","2007-02-05",64.5
"24","2007-02-06",64.5
"25","2007-02-07",64.25
"26","2007-02-08",61.5
"27","2007-02-09",59.75
"28","2007-02-12",55.5
"29","2007-02-13",53.5
"30","2007-02-14",51.5
"31","2007-02-15",50
"32","2007-02-16",46.75
"33","2007-02-20",47.5
"34","2007-02-21",48.75
"35","2007-02-22",48.75
"36","2007-02-23",56.5
"37","2007-02-26",60.25
"38","2007-02-27",52.75
"39","2007-02-28",53.5
"40","2007-03-01",70.5
"41","2007-03-02",70
"42","2007-03-05",66
"43","2007-03-06",70.75
"44","2007-03-07",70.5
"45","2007-03-08",70.5
"46","2007-03-09",76.25
"47","2007-03-12",78.5
"48","2007-03-13",74.5
"49","2007-03-14",70.5
"50","2007-03-15",73.75
"51","2007-03-16",73.25
"52","2007-03-19",70.25
"53","2007-03-20",71.25
"54","2007-03-21",66.25
"55","2007-03-22",69.75
"56","2007-03-23",74.75
"57","2007-03-26",74.25
"58","2007-03-27",72.5
"59","2007-03-28",69.75
"60","2007-03-29",72.5
"61","2007-03-30",69.25
"62","2007-04-02",72
"63","2007-04-03",69
"64","2007-04-04",69.25
"65","2007-04-05",69.25
"66","2007-04-09",66.25
"67","2007-04-10",61
"68","2007-04-11",59
"69","2007-04-12",62.75
"70","2007-04-13",65.25
"71","2007-04-16",74
"72","2007-04-17",69.75
"73","2007-04-18",71.75
"74","2007-04-19",72.25
"75","2007-04-20",72
"76","2007-04-23",67.25
"77","2007-04-24",68.5
"78","2007-04-25",69.25
"79","2007-04-26",70.5
"80","2007-04-27",70.5
"81","2007-04-30",70.5
"82","2007-05-01",71.5
"83","2007-05-02",70
"84","2007-05-03",70
"85","2007-05-04",72.5
"86","2007-05-07",78.25
"87","2007-05-08",78.75
"88","2007-05-09",76
"89","2007-05-10",78.75
"90","2007-05-11",77.75
"91","2007-05-14",75.75
"92","2007-05-15",75
"93","2007-05-16",76.25
"94","2007-05-17",74.5
"95","2007-05-18",75.75
"96","2007-05-21",73.25
"97","2007-05-22",74.75
"98","2007-05-23",70.25
"99","2007-05-24",73
"100","2007-05-25",83.5
"101","2007-05-29",95
"102","2007-05-30",102.75
"103","2007-05-31",97
"104","2007-06-01",93.5
"105","2007-06-04",95
"106","2007-06-05",98.25
"107","2007-06-06",102.5
"108","2007-06-07",102.5
"109","2007-06-08",114.75
"110","2007-06-11",109.75
"111","2007-06-12",106.25
"112","2007-06-13",109.25
"113","2007-06-14",103.25
"114","2007-06-15",102
"115","2007-06-18",104
"116","2007-06-19",107
"117","2007-06-20",112
"118","2007-06-21",109.5
"119","2007-06-22",105
"120","2007-06-25",101
"121","2007-06-26",103.75
"122","2007-06-27",112
"123","2007-06-28",110.25
"124","2007-06-29",105.75
"125","2007-07-02",105.5
