"","date","ESGR"
"1","2007-01-03",95.949997
"2","2007-01-04",98.5
"3","2007-01-05",97.739998
"4","2007-01-08",97.410004
"5","2007-01-09",97.650002
"6","2007-01-10",97.150002
"7","2007-01-11",98.32
"8","2007-01-12",99.209999
"9","2007-01-16",100.5
"10","2007-01-17",100.519997
"11","2007-01-18",99.25
"12","2007-01-19",99.230003
"13","2007-01-22",96.550003
"14","2007-01-23",97.470001
"15","2007-01-24",98.269997
"16","2007-01-25",96.010002
"17","2007-01-26",97.099998
"18","2007-01-29",98.949997
"19","2007-01-30",103.669998
"20","2007-01-31",107.830002
"21","2007-02-01",104.75
"22","2007-02-02",102.5
"23","2007-02-05",103
"24","2007-02-06",102.089996
"25","2007-02-07",101.099998
"26","2007-02-08",100.720001
"27","2007-02-09",99.980003
"28","2007-02-12",97
"29","2007-02-13",95.440002
"30","2007-02-14",96
"31","2007-02-15",104.739998
"32","2007-02-16",98.800003
"33","2007-02-20",101.989998
"34","2007-02-21",99.949997
"35","2007-02-22",102.580002
"36","2007-02-23",99.550003
"37","2007-02-26",100.809998
"38","2007-02-27",99.029999
"39","2007-02-28",100.5
"40","2007-03-01",98.599998
"41","2007-03-02",99.959999
"42","2007-03-05",100.5
"43","2007-03-06",102.25
"44","2007-03-07",102.400002
"45","2007-03-08",100.709999
"46","2007-03-09",102.989998
"47","2007-03-12",100.559998
"48","2007-03-13",102.449997
"49","2007-03-14",102.290001
"50","2007-03-15",102.400002
"51","2007-03-16",102.269997
"52","2007-03-19",102.32
"53","2007-03-20",101.150002
"54","2007-03-21",101.449997
"55","2007-03-22",101.879997
"56","2007-03-23",100.25
"57","2007-03-26",101.370003
"58","2007-03-27",100.629997
"59","2007-03-28",100.019997
"60","2007-03-29",99.589996
"61","2007-03-30",98.639999
"62","2007-04-02",98.209999
"63","2007-04-03",98.5
"64","2007-04-04",98.910004
"65","2007-04-05",98.910004
"66","2007-04-09",98.870003
"67","2007-04-10",100
"68","2007-04-11",100.459999
"69","2007-04-12",100
"70","2007-04-13",100
"71","2007-04-16",100
"72","2007-04-17",100.849998
"73","2007-04-18",101
"74","2007-04-19",100.949997
"75","2007-04-20",102
"76","2007-04-23",102.879997
"77","2007-04-24",102.470001
"78","2007-04-25",104.599998
"79","2007-04-26",102.660004
"80","2007-04-27",103.5
"81","2007-04-30",104
"82","2007-05-01",103.839996
"83","2007-05-02",106.019997
"84","2007-05-03",108.010002
"85","2007-05-04",109.480003
"86","2007-05-07",108.400002
"87","2007-05-08",106.120003
"88","2007-05-09",106
"89","2007-05-10",105.230003
"90","2007-05-11",105.599998
"91","2007-05-14",105
"92","2007-05-15",105
"93","2007-05-16",104.540001
