"","date","NUZE"
"1","2020-06-19",9.2
"2","2020-06-22",8.86
"3","2020-06-23",8.75
"4","2020-06-24",8.875
"5","2020-06-25",9.2
"6","2020-06-26",9.15
"7","2020-06-29",10.42
"8","2020-06-30",9.895
"9","2020-07-01",9.915
"10","2020-07-02",10.15
"11","2020-07-06",10.39
"12","2020-07-07",10.84
"13","2020-07-08",11.35
"14","2020-07-09",17.9
"15","2020-07-10",14.61
"16","2020-07-13",15.315
"17","2020-07-14",17.389999
"18","2020-07-15",17
"19","2020-07-16",17.25
"20","2020-07-17",16.610001
"21","2020-07-20",18.59
"22","2020-07-21",17.799999
"23","2020-07-22",18.700001
"24","2020-07-23",18.190001
"25","2020-07-24",19.309999
"26","2020-07-27",19.5
"27","2020-07-28",18.49
"28","2020-07-29",20
"29","2020-07-30",20
"30","2020-07-31",19.99
"31","2020-08-03",22.200001
"32","2020-08-04",24
"33","2020-08-05",27.219999
"34","2020-08-06",34.691002
"35","2020-08-07",39.959999
"36","2020-08-10",31.84
"37","2020-08-11",38.630001
"38","2020-08-12",33.125999
"39","2020-08-13",34.970001
"40","2020-08-14",33.27
"41","2020-08-17",33.209999
"42","2020-08-18",26.51
"43","2020-08-19",22
"44","2020-08-20",18.379999
"45","2020-08-21",18.4
"46","2020-08-24",18.299999
"47","2020-08-25",18.799999
"48","2020-08-26",18.74
"49","2020-08-27",18.969999
"50","2020-08-28",20
"51","2020-08-31",19.549999
"52","2020-09-01",19.01
"53","2020-09-02",18.42
"54","2020-09-03",17.049999
"55","2020-09-04",16.700001
"56","2020-09-08",16.780001
"57","2020-09-09",16.559999
"58","2020-09-10",16.700001
"59","2020-09-11",17.818001
"60","2020-09-14",16.629999
"61","2020-09-15",16.52
"62","2020-09-16",15.8
"63","2020-09-17",15.51
"64","2020-09-18",15.5
"65","2020-09-21",15.49
"66","2020-09-22",15.9
"67","2020-09-23",15.99
"68","2020-09-24",15.9
"69","2020-09-25",16.139999
"70","2020-09-28",16.200001
"71","2020-09-29",16.040001
"72","2020-09-30",16.99
"73","2020-10-01",16.5
"74","2020-10-02",16.5
"75","2020-10-05",17
"76","2020-10-06",16.209999
"77","2020-10-07",16.794001
"78","2020-10-08",16.632
"79","2020-10-09",16.9
"80","2020-10-12",16.469999
"81","2020-10-13",16.07
"82","2020-10-14",16
"83","2020-10-15",14.43
"84","2020-10-16",14.1
"85","2020-10-19",15.25
"86","2020-10-20",16.969999
"87","2020-10-21",16.805
"88","2020-10-22",17.66
"89","2020-10-23",15.64
"90","2020-10-26",15.23
"91","2020-10-27",15.14
"92","2020-10-28",16.120001
"93","2020-10-29",17.200001
"94","2020-10-30",13.749
"95","2020-11-02",10.4
"96","2020-11-03",10.19
"97","2020-11-04",10.15
"98","2020-11-05",11.03
"99","2020-11-06",11.29
"100","2020-11-09",11.18
"101","2020-11-10",11.21
"102","2020-11-11",11.59
"103","2020-11-12",12.15
"104","2020-11-13",12.2
"105","2020-11-16",12.1
"106","2020-11-17",13.18
"107","2020-11-18",14.05
"108","2020-11-19",13.5
"109","2020-11-20",13.25
"110","2020-11-23",12.88
"111","2020-11-24",12.75
"112","2020-11-25",13.48
"113","2020-11-27",13.99
