"","date","ESGRO"
"1","2018-11-14",24.6
"2","2018-11-15",24.65
"3","2018-11-16",24.65
"4","2018-11-19",24.700001
"5","2018-11-20",24.65
"6","2018-11-21",24.700001
"7","2018-11-23",24.700001
"8","2018-11-26",24.6
"9","2018-11-27",24.639999
"10","2018-11-28",24.6
"11","2018-11-29",24.469999
"12","2018-11-30",24.639999
"13","2018-12-03",24.6
"14","2018-12-04",24.6
"15","2018-12-06",24.719999
"16","2018-12-07",24.719999
"17","2018-12-10",24.67
"18","2018-12-11",24.799999
"19","2018-12-12",24.879999
"20","2018-12-13",24.92
"21","2018-12-14",25
"22","2018-12-17",24.969999
"23","2018-12-18",24.690001
"24","2018-12-19",24.6
"25","2018-12-20",23.9
"26","2018-12-21",24.23
"27","2018-12-24",23.799999
"28","2018-12-26",23.049999
"29","2018-12-27",21.950001
"30","2018-12-28",22.99
"31","2018-12-31",23.280001
"32","2019-01-02",23.799999
"33","2019-01-03",23.75
"34","2019-01-04",24.27
"35","2019-01-07",24.32
"36","2019-01-08",24.33
"37","2019-01-09",24.41
"38","2019-01-10",24.059999
"39","2019-01-11",24.059999
"40","2019-01-14",24.110001
"41","2019-01-15",24.120001
"42","2019-01-16",24.18
"43","2019-01-17",24.219999
"44","2019-01-18",24.809999
"45","2019-01-22",24.629999
"46","2019-01-23",24.959999
"47","2019-01-24",25.02
"48","2019-01-25",25.25
"49","2019-01-28",25.15
"50","2019-01-29",25.110001
"51","2019-01-30",25.18
"52","2019-01-31",25.75
"53","2019-02-01",25.42
"54","2019-02-04",25.51
"55","2019-02-05",25.42
"56","2019-02-06",25.42
"57","2019-02-07",25.440001
"58","2019-02-08",25.540001
"59","2019-02-11",25.5
"60","2019-02-12",25.52
"61","2019-02-13",25.58
"62","2019-02-14",25.23
"63","2019-02-15",25.360001
"64","2019-02-19",25.370001
"65","2019-02-20",25.35
"66","2019-02-21",25.290001
"67","2019-02-22",25.15
"68","2019-02-25",25.049999
"69","2019-02-26",24.77
"70","2019-02-27",24.860001
"71","2019-02-28",24.85
"72","2019-03-01",24.93
"73","2019-03-04",24.959999
"74","2019-03-05",24.9
"75","2019-03-06",24.950001
"76","2019-03-07",24.780001
"77","2019-03-08",24.6
"78","2019-03-11",24.43
"79","2019-03-12",24.5
"80","2019-03-13",24.75
"81","2019-03-14",24.75
"82","2019-03-15",24.76
"83","2019-03-18",24.950001
"84","2019-03-19",24.889999
"85","2019-03-20",24.9
"86","2019-03-21",24.91
"87","2019-03-22",25.08
"88","2019-03-25",24.99
"89","2019-03-26",25
"90","2019-03-27",25.219999
"91","2019-03-28",25.24
"92","2019-03-29",25.469999
"93","2019-04-01",25.84
"94","2019-04-02",25.719999
"95","2019-04-03",25.85
"96","2019-04-04",25.950001
"97","2019-04-05",25.950001
"98","2019-04-08",25.9
"99","2019-04-09",25.799999
"100","2019-04-10",25.799999
"101","2019-04-11",25.76
"102","2019-04-12",25.799999
"103","2019-04-15",25.99
"104","2019-04-16",25.83
"105","2019-04-17",25.700001
"106","2019-04-18",25.700001
"107","2019-04-22",25.66
"108","2019-04-23",25.780001
"109","2019-04-24",25.77
"110","2019-04-25",25.690001
"111","2019-04-26",25.74
"112","2019-04-29",25.879999
"113","2019-04-30",25.860001
"114","2019-05-01",25.799999
"115","2019-05-02",25.77
"116","2019-05-03",25.85
"117","2019-05-06",25.870001
"118","2019-05-07",25.84
