"","date","OSW"
"1","2017-11-17",9.69
"2","2017-11-20",9.69
"3","2017-11-21",9.69
"4","2017-11-22",9.69
"5","2017-11-24",9.69
"6","2017-11-27",9.514
"7","2017-11-28",9.514
"8","2017-11-29",9.514
"9","2017-11-30",9.5
"10","2017-12-01",9.6
"11","2017-12-04",9.6
"12","2017-12-05",9.52
"13","2017-12-06",9.52
"14","2017-12-07",9.543
"15","2017-12-08",9.543
"16","2017-12-11",9.51
"17","2017-12-12",9.51
"18","2017-12-13",9.51
"19","2017-12-14",9.51
"20","2017-12-15",9.5
"21","2017-12-18",9.5
"22","2017-12-19",9.5
"23","2017-12-20",9.5
"24","2017-12-21",9.5
"25","2017-12-22",9.529
"26","2017-12-26",9.529
"27","2017-12-27",9.56
"28","2017-12-28",9.56
"29","2017-12-29",9.56
"30","2018-01-02",9.56
"31","2018-01-03",9.56
"32","2018-01-04",9.56
"33","2018-01-05",9.56
"34","2018-01-08",9.56
"35","2018-01-09",9.56
"36","2018-01-10",9.56
"37","2018-01-11",9.56
"38","2018-01-12",9.56
"39","2018-01-16",9.56
"40","2018-01-17",9.56
"41","2018-01-18",9.56
"42","2018-01-19",9.56
"43","2018-01-22",9.56
"44","2018-01-23",9.56
"45","2018-01-24",9.56
"46","2018-01-25",9.551
"47","2018-01-26",9.564
"48","2018-01-29",9.564
"49","2018-01-30",9.564
"50","2018-01-31",9.564
"51","2018-02-01",9.564
"52","2018-02-02",9.564
"53","2018-02-05",9.564
"54","2018-02-06",9.564
"55","2018-02-07",9.58
"56","2018-02-08",9.58
"57","2018-02-09",9.58
"58","2018-02-12",9.58
"59","2018-02-13",9.58
"60","2018-02-14",9.58
"61","2018-02-15",9.5
"62","2018-02-16",9.55
"63","2018-02-20",9.58
"64","2018-02-21",9.58
"65","2018-02-22",9.58
"66","2018-02-23",9.58
"67","2018-02-26",9.55
"68","2018-02-27",9.55
"69","2018-02-28",9.55
"70","2018-03-01",9.55
"71","2018-03-02",9.55
"72","2018-03-05",9.567
"73","2018-03-06",9.55
"74","2018-03-07",9.55
"75","2018-03-08",9.55
"76","2018-03-09",9.55
"77","2018-03-12",9.55
"78","2018-03-13",9.55
"79","2018-03-14",9.6
"80","2018-03-15",9.585
"81","2018-03-16",9.585
"82","2018-03-19",9.585
"83","2018-03-20",9.585
"84","2018-03-21",9.585
"85","2018-03-22",9.55
"86","2018-03-23",9.59
"87","2018-03-26",9.59
"88","2018-03-27",9.59
"89","2018-03-28",9.59
"90","2018-03-29",9.59
"91","2018-04-02",9.59
"92","2018-04-03",9.6
"93","2018-04-04",9.6
"94","2018-04-05",9.6
"95","2018-04-06",9.6
"96","2018-04-09",9.6
"97","2018-04-10",9.6
"98","2018-04-11",9.617
"99","2018-04-12",9.617
"100","2018-04-13",9.617
"101","2018-04-16",9.617
"102","2018-04-17",9.56
"103","2018-04-18",9.56
"104","2018-04-19",9.56
"105","2018-04-20",9.62
"106","2018-04-23",9.6
"107","2018-04-24",9.601
"108","2018-04-25",9.6
"109","2018-04-26",9.62
"110","2018-04-27",9.68
"111","2018-04-30",9.64
"112","2018-05-01",9.64
"113","2018-05-02",9.65
"114","2018-05-03",9.78
"115","2018-05-04",9.65
"116","2018-05-07",9.65
"117","2018-05-08",9.65
"118","2018-05-09",9.63
"119","2018-05-10",9.63
"120","2018-05-11",9.63
"121","2018-05-14",9.65
"122","2018-05-15",9.65
"123","2018-05-16",9.65
"124","2018-05-17",9.63
"125","2018-05-18",9.63
"126","2018-05-21",9.63
"127","2018-05-22",9.65
"128","2018-05-23",9.65
"129","2018-05-24",9.64
"130","2018-05-25",9.63
"131","2018-05-29",9.62
"132","2018-05-30",9.65
"133","2018-05-31",9.63
"134","2018-06-01",9.63
"135","2018-06-04",9.65
"136","2018-06-05",9.78
"137","2018-06-06",9.793
"138","2018-06-07",9.8
"139","2018-06-08",9.8
"140","2018-06-11",9.8
"141","2018-06-12",9.8
"142","2018-06-13",9.78
"143","2018-06-14",9.78
"144","2018-06-15",9.82
"145","2018-06-18",9.82
"146","2018-06-19",9.8
"147","2018-06-20",9.78
"148","2018-06-21",9.78
"149","2018-06-22",9.78
"150","2018-06-25",9.76
"151","2018-06-26",9.76
