"","date","MOBL"
"1","2014-06-12",11.02
"2","2014-06-13",10.3
"3","2014-06-16",10.7
"4","2014-06-17",10.1
"5","2014-06-18",9.97
"6","2014-06-19",9.75
"7","2014-06-20",9.92
"8","2014-06-23",10.24
"9","2014-06-24",10.05
"10","2014-06-25",9.99
"11","2014-06-26",9.73
"12","2014-06-27",9.57
"13","2014-06-30",9.52
"14","2014-07-01",9.8
"15","2014-07-02",9.89
"16","2014-07-03",9.82
"17","2014-07-07",11.05
"18","2014-07-08",10.74
"19","2014-07-09",10.92
"20","2014-07-10",10.525
"21","2014-07-11",9.88
"22","2014-07-14",9.49
"23","2014-07-15",8.78
"24","2014-07-16",8.3
"25","2014-07-17",8.17
"26","2014-07-18",8.05
"27","2014-07-21",7.75
"28","2014-07-22",8.42
"29","2014-07-23",8.56
"30","2014-07-24",8.69
"31","2014-07-25",8.4
"32","2014-07-28",8.3
"33","2014-07-29",8.39
"34","2014-07-30",8.5
"35","2014-07-31",9
"36","2014-08-01",8.53
"37","2014-08-04",8.77
"38","2014-08-05",8.43
"39","2014-08-06",8.63
"40","2014-08-07",8.56
"41","2014-08-08",8.8
"42","2014-08-11",8.81
"43","2014-08-12",8.35
"44","2014-08-13",8.61
"45","2014-08-14",8.54
"46","2014-08-15",8.53
"47","2014-08-18",8.46
"48","2014-08-19",8.54
"49","2014-08-20",8.51
"50","2014-08-21",8.86
"51","2014-08-22",9.37
"52","2014-08-25",10.58
"53","2014-08-26",11.73
"54","2014-08-27",11.67
"55","2014-08-28",11.87
"56","2014-08-29",11.59
"57","2014-09-02",12.02
"58","2014-09-03",12.05
"59","2014-09-04",11.74
"60","2014-09-05",10.89
"61","2014-09-08",11.41
"62","2014-09-09",11.31
"63","2014-09-10",11.72
"64","2014-09-11",11.45
"65","2014-09-12",11.18
"66","2014-09-15",10.88
"67","2014-09-16",11.23
"68","2014-09-17",11.11
"69","2014-09-18",10.65
"70","2014-09-19",10.22
"71","2014-09-22",10.16
"72","2014-09-23",9.78
"73","2014-09-24",9.99
"74","2014-09-25",9.9
"75","2014-09-26",9.94
"76","2014-09-29",10.89
"77","2014-09-30",11.14
"78","2014-10-01",10.46
"79","2014-10-02",10.8
"80","2014-10-03",10.6
"81","2014-10-06",10.99
"82","2014-10-07",10.25
"83","2014-10-08",10.4
"84","2014-10-09",10.4
"85","2014-10-10",9.68
"86","2014-10-13",9.18
"87","2014-10-14",9.11
"88","2014-10-15",8.99
"89","2014-10-16",9.38
"90","2014-10-17",9.48
"91","2014-10-20",9.2
"92","2014-10-21",9.18
"93","2014-10-22",9.11
"94","2014-10-23",9.2
"95","2014-10-24",9.08
"96","2014-10-27",8.86
"97","2014-10-28",9.22
"98","2014-10-29",9.41
"99","2014-10-30",9.91
"100","2014-10-31",10.06
"101","2014-11-03",9.82
"102","2014-11-04",9.81
"103","2014-11-05",9.59
"104","2014-11-06",9.4
"105","2014-11-07",9.35
"106","2014-11-10",9.66
"107","2014-11-11",9.46
"108","2014-11-12",9.66
"109","2014-11-13",9.69
"110","2014-11-14",9.7
"111","2014-11-17",9.7
"112","2014-11-18",9.7
"113","2014-11-19",9.75
"114","2014-11-20",9.75
"115","2014-11-21",9.77
"116","2014-11-24",9.56
"117","2014-11-25",9.58
"118","2014-11-26",9.51
"119","2014-11-28",9.27
"120","2014-12-01",8.65
"121","2014-12-02",8.8
"122","2014-12-03",8.9
"123","2014-12-04",9.08
"124","2014-12-05",9.35
"125","2014-12-08",8.89
"126","2014-12-09",8.76
"127","2014-12-10",8.62
"128","2014-12-11",8.98
"129","2014-12-12",9.07
"130","2014-12-15",8.64
"131","2014-12-16",8.62
"132","2014-12-17",8.63
"133","2014-12-18",8.73
"134","2014-12-19",9.06
"135","2014-12-22",9.52
"136","2014-12-23",9.49
"137","2014-12-24",9.75
"138","2014-12-26",9.7
"139","2014-12-29",10
"140","2014-12-30",9.81
"141","2014-12-31",9.96
"142","2015-01-02",9.87
"143","2015-01-05",9.45
"144","2015-01-06",9.5
"145","2015-01-07",9.87
"146","2015-01-08",9.96
"147","2015-01-09",9.95
"148","2015-01-12",9.96
"149","2015-01-13",9.93
"150","2015-01-14",9.96
"151","2015-01-15",9.29
"152","2015-01-16",9.34
"153","2015-01-20",9.3
"154","2015-01-21",9.09
"155","2015-01-22",9.25
"156","2015-01-23",9.28
"157","2015-01-26",9.22
"158","2015-01-27",9.04
"159","2015-01-28",8.82
"160","2015-01-29",8.87
"161","2015-01-30",8.77
"162","2015-02-02",8.86
"163","2015-02-03",8.88
"164","2015-02-04",9.14
"165","2015-02-05",9.41
"166","2015-02-06",9.23
"167","2015-02-09",9.48
"168","2015-02-10",9.38
"169","2015-02-11",9.25
"170","2015-02-12",9.74
"171","2015-02-13",9.53
"172","2015-02-17",9.12
"173","2015-02-18",8.91
"174","2015-02-19",8.74
"175","2015-02-20",8.8
"176","2015-02-23",8.56
"177","2015-02-24",8.6
"178","2015-02-25",8.63
"179","2015-02-26",8.68
"180","2015-02-27",8.93
"181","2015-03-02",8.67
"182","2015-03-03",8.58
"183","2015-03-04",8.6
"184","2015-03-05",8.96
"185","2015-03-06",8.76
"186","2015-03-09",8.92
"187","2015-03-10",8.41
"188","2015-03-11",8.78
"189","2015-03-12",8.92
"190","2015-03-13",8.74
"191","2015-03-16",8.79
"192","2015-03-17",8.87
"193","2015-03-18",8.89
"194","2015-03-19",8.8
"195","2015-03-20",9
"196","2015-03-23",8.97
"197","2015-03-24",9.06
"198","2015-03-25",8.76
"199","2015-03-26",8.83
"200","2015-03-27",9.08
"201","2015-03-30",9.18
"202","2015-03-31",9.26
"203","2015-04-01",9.13
"204","2015-04-02",8.97
"205","2015-04-06",8.87
"206","2015-04-07",8.93
"207","2015-04-08",9
"208","2015-04-09",9.02
"209","2015-04-10",9.29
"210","2015-04-13",9.17
"211","2015-04-14",9
"212","2015-04-15",9.29
"213","2015-04-16",9.62
"214","2015-04-17",9.6
"215","2015-04-20",9.45
"216","2015-04-21",9.57
"217","2015-04-22",9.5
"218","2015-04-23",7.11
"219","2015-04-24",6.975
"220","2015-04-27",6.14
"221","2015-04-28",6.115
"222","2015-04-29",6
"223","2015-04-30",6.02
"224","2015-05-01",6.65
"225","2015-05-04",6.13
"226","2015-05-05",6.18
"227","2015-05-06",6.11
"228","2015-05-07",6
"229","2015-05-08",5.96
"230","2015-05-11",6.2
"231","2015-05-12",6.6
"232","2015-05-13",6.47
"233","2015-05-14",6.26
"234","2015-05-15",6.31
"235","2015-05-18",6.27
"236","2015-05-19",6.33
"237","2015-05-20",6.14
"238","2015-05-21",6.08
"239","2015-05-22",6.02
"240","2015-05-26",6.01
"241","2015-05-27",6.05
"242","2015-05-28",6.19
"243","2015-05-29",6.02
"244","2015-06-01",6.03
"245","2015-06-02",6.04
"246","2015-06-03",6.05
"247","2015-06-04",6.06
"248","2015-06-05",6.11
"249","2015-06-08",5.97
"250","2015-06-09",5.98
"251","2015-06-10",6.39
"252","2015-06-11",6.03
"253","2015-06-12",6.17
"254","2015-06-15",6.37
"255","2015-06-16",6.88
"256","2015-06-17",6.93
"257","2015-06-18",6.68
"258","2015-06-19",6.58
"259","2015-06-22",6.44
"260","2015-06-23",6.47
"261","2015-06-24",6.27
"262","2015-06-25",6.31
"263","2015-06-26",6.13
"264","2015-06-29",5.83
