"","date","HEPA"
"1","2014-02-10",420
"2","2014-02-11",1036
"3","2014-02-12",1120
"4","2014-02-13",1064
"5","2014-02-14",952
"6","2014-02-18",873.599976
"7","2014-02-19",834.400024
"8","2014-02-20",672
"9","2014-02-21",784
"10","2014-02-24",700
"11","2014-02-25",672
"12","2014-02-26",683.200012
"13","2014-02-27",739.200012
"14","2014-02-28",873.599976
"15","2014-03-03",840
"16","2014-03-04",845.599976
"17","2014-03-05",924
"18","2014-03-06",1008
"19","2014-03-07",1058.400024
"20","2014-03-10",1456
"21","2014-03-11",1327.199951
"22","2014-03-12",1265.599976
"23","2014-03-13",1288
"24","2014-03-14",1294.719971
"25","2014-03-17",1293.599976
"26","2014-03-18",1293.599976
"27","2014-03-19",1321.599976
"28","2014-03-20",1388.800049
"29","2014-03-21",1624
"30","2014-03-24",1657.599976
"31","2014-03-25",1556.800049
"32","2014-03-26",1428
"33","2014-03-27",1260
"34","2014-03-28",1260
"35","2014-03-31",1260
"36","2014-04-01",1316
"37","2014-04-02",1316
"38","2014-04-03",1276.800049
"39","2014-04-04",1260
"40","2014-04-07",1243.199951
"41","2014-04-08",1215.199951
"42","2014-04-09",1232
"43","2014-04-10",1148
"44","2014-04-11",1125.599976
"45","2014-04-14",1176
"46","2014-04-15",1103.199951
"47","2014-04-16",1108.800049
"48","2014-04-17",1120
"49","2014-04-21",1092
"50","2014-04-22",1052.800049
"51","2014-04-23",1036
"52","2014-04-24",1064
"53","2014-04-25",980
"54","2014-04-28",1036
"55","2014-04-29",1064
"56","2014-04-30",1047.199951
"57","2014-05-01",1064
"58","2014-05-02",1131.199951
"59","2014-05-05",1148
"60","2014-05-06",1120
"61","2014-05-07",980
"62","2014-05-08",896
"63","2014-05-09",812
"64","2014-05-12",728
"65","2014-05-13",884.799988
"66","2014-05-14",840
"67","2014-05-15",834.400024
"68","2014-05-16",840
"69","2014-05-19",840
"70","2014-05-20",789.599976
"71","2014-05-21",812
"72","2014-05-22",806.400024
"73","2014-05-23",862.400024
"74","2014-05-27",879.200012
"75","2014-05-28",940.799988
"76","2014-05-29",946.400024
"77","2014-05-30",862.400024
"78","2014-06-02",884.799988
"79","2014-06-03",856.799988
"80","2014-06-04",1008
"81","2014-06-05",1125.599976
"82","2014-06-06",1120
"83","2014-06-09",1036
"84","2014-06-10",1019.200012
"85","2014-06-11",1024.800049
"86","2014-06-12",963.200012
"87","2014-06-13",924
"88","2014-06-16",929.599976
"89","2014-06-17",924
"90","2014-06-18",862.400024
"91","2014-06-19",924
"92","2014-06-20",952
"93","2014-06-23",896
"94","2014-06-24",856.799988
"95","2014-06-25",694.400024
"96","2014-06-26",672
"97","2014-06-27",621.599976
"98","2014-06-30",621.599976
"99","2014-07-01",666.400024
"100","2014-07-02",649.599976
"101","2014-07-03",649.599976
"102","2014-07-07",616
"103","2014-07-08",621.599976
"104","2014-07-09",576.799988
"105","2014-07-10",565.599976
"106","2014-07-11",756
"107","2014-07-14",655.200012
"108","2014-07-15",626.080017
"109","2014-07-16",767.200012
"110","2014-07-17",772.799988
"111","2014-07-18",772.799988
"112","2014-07-21",840
"113","2014-07-22",834.400024
"114","2014-07-23",767.200012
"115","2014-07-24",840
"116","2014-07-25",980
"117","2014-07-28",946.400024
"118","2014-07-29",918.400024
"119","2014-07-30",812
"120","2014-07-31",705.599976
"121","2014-08-01",722.400024
"122","2014-08-04",730.23999
"123","2014-08-05",728
"124","2014-08-06",666.400024
"125","2014-08-07",868
"126","2014-08-08",756
"127","2014-08-11",649.599976
"128","2014-08-12",660.799988
"129","2014-08-13",649.599976
"130","2014-08-14",672
"131","2014-08-15",672
"132","2014-08-18",711.200012
"133","2014-08-19",701.119995
"134","2014-08-20",672
"135","2014-08-21",672
"136","2014-08-22",868
"137","2014-08-25",728
"138","2014-08-26",739.200012
"139","2014-08-27",772.799988
"140","2014-08-28",772.799988
"141","2014-08-29",722.400024
"142","2014-09-02",756
"143","2014-09-03",688.799988
"144","2014-09-04",700
"145","2014-09-05",750.400024
"146","2014-09-08",694.400024
"147","2014-09-09",700
"148","2014-09-10",733.599976
"149","2014-09-11",700
"150","2014-09-12",711.200012
"151","2014-09-15",716.799988
"152","2014-09-16",733.599976
"153","2014-09-17",711.200012
"154","2014-09-18",672
"155","2014-09-19",644
"156","2014-09-22",632.799988
"157","2014-09-23",638.400024
"158","2014-09-24",616
"159","2014-09-25",560
"160","2014-09-26",588
"161","2014-09-29",571.200012
"162","2014-09-30",575.679993
"163","2014-10-01",532
"164","2014-10-02",504
"165","2014-10-03",582.400024
"166","2014-10-06",476
"167","2014-10-07",476
"168","2014-10-08",420
"169","2014-10-09",420
"170","2014-10-10",408.799988
"171","2014-10-13",408.799988
"172","2014-10-14",364
"173","2014-10-15",638.400024
"174","2014-10-16",728
"175","2014-10-17",728
"176","2014-10-20",728
"177","2014-10-21",593.599976
"178","2014-10-22",616
"179","2014-10-23",722.400024
"180","2014-10-24",733.599976
"181","2014-10-27",610.400024
"182","2014-10-28",733.599976
"183","2014-10-29",716.799988
"184","2014-10-30",621.599976
"185","2014-10-31",722.400024
"186","2014-11-03",722.400024
"187","2014-11-04",672
"188","2014-11-05",672
"189","2014-11-06",739.200012
"190","2014-11-07",672
"191","2014-11-10",660.799988
"192","2014-11-11",644
"193","2014-11-12",627.200012
"194","2014-11-13",627.200012
"195","2014-11-14",616
"196","2014-11-17",728
"197","2014-11-18",716.799988
"198","2014-11-19",655.200012
"199","2014-11-20",700
"200","2014-11-21",700
"201","2014-11-24",728
"202","2014-11-25",733.599976
"203","2014-11-26",756
"204","2014-11-28",756
"205","2014-12-01",711.200012
"206","2014-12-02",705.599976
"207","2014-12-03",840
"208","2014-12-04",868
"209","2014-12-05",840
"210","2014-12-08",778.400024
"211","2014-12-09",907.200012
"212","2014-12-10",924
"213","2014-12-11",795.200012
"214","2014-12-12",840
"215","2014-12-15",963.200012
"216","2014-12-16",954.799988
"217","2014-12-17",1002.400024
"218","2014-12-18",1232
"219","2014-12-19",1232
"220","2014-12-22",1125.599976
"221","2014-12-23",1170.400024
"222","2014-12-24",1181.599976
"223","2014-12-26",1170.400024
"224","2014-12-29",1176
"225","2014-12-30",1176
"226","2014-12-31",1243.199951
"227","2015-01-02",1176
"228","2015-01-05",1008
"229","2015-01-06",1114.400024
"230","2015-01-07",1120
"231","2015-01-08",1148
"232","2015-01-09",1260
"233","2015-01-12",1450.400024
"234","2015-01-13",1260
"235","2015-01-14",1400
"236","2015-01-15",1288
"237","2015-01-16",1434.719971
"238","2015-01-20",1372
"239","2015-01-21",1422.400024
"240","2015-01-22",1428
"241","2015-01-23",1534.400024
"242","2015-01-26",1500.800049
"243","2015-01-27",1467.199951
"244","2015-01-28",1484
"245","2015-01-29",1540
"246","2015-01-30",1467.199951
"247","2015-02-02",1478.400024
"248","2015-02-03",1540
"249","2015-02-04",2060.800049
"250","2015-02-05",2380
"251","2015-02-06",2766.399902
"252","2015-02-09",2419.199951
"253","2015-02-10",2520
"254","2015-02-11",2486.399902
"255","2015-02-12",2296
"256","2015-02-13",2212
"257","2015-02-17",2240
"258","2015-02-18",1960
"259","2015-02-19",1904
"260","2015-02-20",1904
"261","2015-02-23",1876
"262","2015-02-24",1892.800049
"263","2015-02-25",2520
"264","2015-02-26",2520
"265","2015-02-27",2402.399902
"266","2015-03-02",2324
"267","2015-03-03",2430.399902
"268","2015-03-04",2632
"269","2015-03-05",2688
"270","2015-03-06",2581.600098
"271","2015-03-09",2517.199951
"272","2015-03-10",2066.399902
