"","date","AINV"
"1","2007-01-03",68.129997
"2","2007-01-04",67.739998
"3","2007-01-05",66.120003
"4","2007-01-08",66.690002
"5","2007-01-09",67.110001
"6","2007-01-10",67.290001
"7","2007-01-11",67.32
"8","2007-01-12",66.120003
"9","2007-01-16",66.720001
"10","2007-01-17",66.239998
"11","2007-01-18",65.760002
"12","2007-01-19",66.239998
"13","2007-01-22",66.239998
"14","2007-01-23",66.449997
"15","2007-01-24",66.690002
"16","2007-01-25",66.269997
"17","2007-01-26",66.449997
"18","2007-01-29",66.360001
"19","2007-01-30",66.389999
"20","2007-01-31",66.599998
"21","2007-02-01",66.959999
"22","2007-02-02",67.260002
"23","2007-02-05",67.349998
"24","2007-02-06",68.190002
"25","2007-02-07",68.25
"26","2007-02-08",69.089996
"27","2007-02-09",68.970001
"28","2007-02-12",68.910004
"29","2007-02-13",70.110001
"30","2007-02-14",70.529999
"31","2007-02-15",70.230003
"32","2007-02-16",71.370003
"33","2007-02-20",72.360001
"34","2007-02-21",70.440002
"35","2007-02-22",70.260002
"36","2007-02-23",69.209999
"37","2007-02-26",68.489998
"38","2007-02-27",66.059998
"39","2007-02-28",68.040001
"40","2007-03-01",66.779999
"41","2007-03-02",65.610001
"42","2007-03-05",60.900002
"43","2007-03-06",63.66
"44","2007-03-07",64.260002
"45","2007-03-08",65.099998
"46","2007-03-09",65.099998
"47","2007-03-12",65.279999
"48","2007-03-13",62.16
"49","2007-03-14",63.509998
"50","2007-03-15",65.099998
"51","2007-03-16",64.290001
"52","2007-03-19",65.099998
"53","2007-03-20",64.739998
"54","2007-03-21",64.349998
"55","2007-03-22",63.57
"56","2007-03-23",64.050003
"57","2007-03-26",64.470001
"58","2007-03-27",64.230003
"59","2007-03-28",63.09
"60","2007-03-29",63.779999
"61","2007-03-30",64.199997
"62","2007-04-02",64.800003
"63","2007-04-03",65.790001
"64","2007-04-04",66.629997
"65","2007-04-05",66.75
"66","2007-04-09",66.269997
"67","2007-04-10",66.419998
"68","2007-04-11",65.339996
"69","2007-04-12",64.199997
"70","2007-04-13",64.110001
"71","2007-04-16",65.639999
"72","2007-04-17",65.669998
"73","2007-04-18",66.029999
"74","2007-04-19",65.129997
"75","2007-04-20",64.889999
"76","2007-04-23",65.099998
"77","2007-04-24",64.949997
"78","2007-04-25",66.239998
"79","2007-04-26",66.300003
"80","2007-04-27",66.480003
"81","2007-04-30",65.910004
"82","2007-05-01",65.849998
"83","2007-05-02",65.790001
"84","2007-05-03",66.239998
"85","2007-05-04",67.260002
"86","2007-05-07",66.93
"87","2007-05-08",67.110001
"88","2007-05-09",67.919998
"89","2007-05-10",66.690002
"90","2007-05-11",67.620003
"91","2007-05-14",67.650002
"92","2007-05-15",66.839996
"93","2007-05-16",66.629997
"94","2007-05-17",66.300003
