"","date","VNTR"
"1","2017-08-03",20.65
"2","2017-08-04",20.629999
"3","2017-08-07",20.530001
"4","2017-08-08",19.5
"5","2017-08-09",19.040001
"6","2017-08-10",19.139999
"7","2017-08-11",19.549999
"8","2017-08-14",19.219999
"9","2017-08-15",18.98
"10","2017-08-16",18.99
"11","2017-08-17",18.65
"12","2017-08-18",18.57
"13","2017-08-21",18.4
"14","2017-08-22",18.360001
"15","2017-08-23",18.68
"16","2017-08-24",19.450001
"17","2017-08-25",20.07
"18","2017-08-28",20.049999
"19","2017-08-29",20.190001
"20","2017-08-30",20.34
"21","2017-08-31",20.299999
"22","2017-09-01",20.85
"23","2017-09-05",20.84
"24","2017-09-06",20.700001
"25","2017-09-07",21.18
"26","2017-09-08",21.41
"27","2017-09-11",21.98
"28","2017-09-12",22.280001
"29","2017-09-13",22.23
"30","2017-09-14",22.059999
"31","2017-09-15",22.290001
"32","2017-09-18",22.879999
"33","2017-09-19",22.9
"34","2017-09-20",22.58
"35","2017-09-21",22.41
"36","2017-09-22",22.879999
"37","2017-09-25",22.43
"38","2017-09-26",22.780001
"39","2017-09-27",22.83
"40","2017-09-28",22.719999
"41","2017-09-29",22.6
"42","2017-10-02",23
"43","2017-10-03",22.809999
"44","2017-10-04",22.92
"45","2017-10-05",23.01
"46","2017-10-06",22.780001
"47","2017-10-09",23.190001
"48","2017-10-10",23.27
"49","2017-10-11",24
"50","2017-10-12",24.23
"51","2017-10-13",24.4
"52","2017-10-16",24.51
"53","2017-10-17",24.6
"54","2017-10-18",24.02
"55","2017-10-19",23.68
"56","2017-10-20",23.85
"57","2017-10-23",24.209999
"58","2017-10-24",24.74
"59","2017-10-25",25.08
"60","2017-10-26",25.5
"61","2017-10-27",24.809999
"62","2017-10-30",24.639999
"63","2017-10-31",25
"64","2017-11-01",24.860001
"65","2017-11-02",24.43
"66","2017-11-03",23.690001
"67","2017-11-06",22.860001
"68","2017-11-07",22.4
"69","2017-11-08",22.4
"70","2017-11-09",22.77
"71","2017-11-10",22.9
"72","2017-11-13",22.530001
"73","2017-11-14",22.879999
"74","2017-11-15",22.209999
"75","2017-11-16",23.01
"76","2017-11-17",23.1
"77","2017-11-20",23.59
"78","2017-11-21",23.809999
"79","2017-11-22",23.610001
"80","2017-11-24",23.280001
"81","2017-11-27",23.16
"82","2017-11-28",24.059999
"83","2017-11-29",22.959999
"84","2017-11-30",22
"85","2017-12-01",22.139999
"86","2017-12-04",22.23
"87","2017-12-05",21.809999
"88","2017-12-06",20.58
"89","2017-12-07",20.870001
"90","2017-12-08",20.98
"91","2017-12-11",20.780001
"92","2017-12-12",20.73
"93","2017-12-13",20.370001
"94","2017-12-14",21.030001
"95","2017-12-15",21.629999
"96","2017-12-18",22.200001
"97","2017-12-19",22.02
"98","2017-12-20",22.17
"99","2017-12-21",22.15
"100","2017-12-22",21.73
"101","2017-12-26",22.059999
"102","2017-12-27",21.99
"103","2017-12-28",22.26
"104","2017-12-29",22.120001
"105","2018-01-02",22.790001
"106","2018-01-03",23.110001
"107","2018-01-04",23
"108","2018-01-05",23.450001
"109","2018-01-08",23.620001
"110","2018-01-09",23.540001
"111","2018-01-10",23.15
"112","2018-01-11",23.940001
"113","2018-01-12",23.91
"114","2018-01-16",23.51
"115","2018-01-17",23.98
"116","2018-01-18",23.549999
"117","2018-01-19",23.9
"118","2018-01-22",23.959999
"119","2018-01-23",23.68
"120","2018-01-24",22.99
"121","2018-01-25",22.309999
"122","2018-01-26",22.75
"123","2018-01-29",22.42
"124","2018-01-30",22.110001
"125","2018-01-31",22.620001
"126","2018-02-01",22.42
"127","2018-02-02",21.02
"128","2018-02-05",20.1
"129","2018-02-06",21.27
"130","2018-02-07",22.02
"131","2018-02-08",21.030001
"132","2018-02-09",21.370001
"133","2018-02-12",21.5
"134","2018-02-13",21.35
"135","2018-02-14",21.860001
"136","2018-02-15",21.700001
"137","2018-02-16",21.74
"138","2018-02-20",21.67
"139","2018-02-21",21.459999
"140","2018-02-22",21.120001
"141","2018-02-23",19.549999
"142","2018-02-26",20.299999
"143","2018-02-27",19.889999
"144","2018-02-28",19.139999
"145","2018-03-01",19.9
"146","2018-03-02",19.49
"147","2018-03-05",19.799999
"148","2018-03-06",19.870001
"149","2018-03-07",19.860001
"150","2018-03-08",19.620001
"151","2018-03-09",19.65
"152","2018-03-12",19.440001
"153","2018-03-13",19.459999
"154","2018-03-14",19.459999
"155","2018-03-15",18.93
"156","2018-03-16",18.91
"157","2018-03-19",18.799999
"158","2018-03-20",18.219999
"159","2018-03-21",18.65
"160","2018-03-22",18.34
"161","2018-03-23",17.6
"162","2018-03-26",17.42
"163","2018-03-27",17.51
"164","2018-03-28",17.68
"165","2018-03-29",18.09
"166","2018-04-02",17.65
"167","2018-04-03",17.6
"168","2018-04-04",17.459999
"169","2018-04-05",17.629999
"170","2018-04-06",17.6
"171","2018-04-09",17.690001
"172","2018-04-10",18.299999
"173","2018-04-11",18
"174","2018-04-12",18.73
"175","2018-04-13",18.809999
"176","2018-04-16",19.27
"177","2018-04-17",19.299999
"178","2018-04-18",19.299999
"179","2018-04-19",19.280001
"180","2018-04-20",19.25
"181","2018-04-23",19.33
"182","2018-04-24",18.639999
"183","2018-04-25",18.700001
"184","2018-04-26",18.76
"185","2018-04-27",18.540001
"186","2018-04-30",18.01
"187","2018-05-01",17.65
"188","2018-05-02",17.68
"189","2018-05-03",17.459999
"190","2018-05-04",17.68
