"","date","HCFT"
"1","2013-03-22",14.5
"2","2013-03-25",14.49
"3","2013-03-26",14.61
"4","2013-03-27",14.5
"5","2013-03-28",14.63
"6","2013-04-01",14.73
"7","2013-04-02",14.85
"8","2013-04-03",14.8
"9","2013-04-04",14.84
"10","2013-04-05",14.94
"11","2013-04-08",14.94
"12","2013-04-09",14.94
"13","2013-04-10",15
"14","2013-04-11",14.95
"15","2013-04-12",15.03
"16","2013-04-15",14.82
"17","2013-04-16",15.04
"18","2013-04-17",15.03
"19","2013-04-18",14.95
"20","2013-04-19",15
"21","2013-04-22",14.99
"22","2013-04-23",15.01
"23","2013-04-24",15.05
"24","2013-04-25",15.04
"25","2013-04-26",15.06
"26","2013-04-29",15.1
"27","2013-04-30",15.1
"28","2013-05-01",15.07
"29","2013-05-02",15.18
"30","2013-05-03",15.43
"31","2013-05-06",15.39
"32","2013-05-07",15.49
"33","2013-05-08",15.38
"34","2013-05-09",15.59
"35","2013-05-10",15.65
"36","2013-05-13",15.25
"37","2013-05-14",15.14
"38","2013-05-15",15.04
"39","2013-05-16",15.06
"40","2013-05-17",15.13
"41","2013-05-20",15.04
"42","2013-05-21",14.96
"43","2013-05-22",14.87
"44","2013-05-23",14.63
"45","2013-05-24",14.59
"46","2013-05-28",13.38
"47","2013-05-29",13.76
"48","2013-05-30",13.72
"49","2013-05-31",13.92
"50","2013-06-03",13.55
"51","2013-06-04",13.55
"52","2013-06-05",13.27
"53","2013-06-06",13.44
"54","2013-06-07",13.68
"55","2013-06-10",13.72
"56","2013-06-11",13.42
"57","2013-06-12",13.4
"58","2013-06-13",13.45
"59","2013-06-14",13.48
"60","2013-06-17",13.19
"61","2013-06-18",13.17
"62","2013-06-19",13
"63","2013-06-20",11.98
"64","2013-06-21",12.02
"65","2013-06-24",12.16
"66","2013-06-25",12.46
"67","2013-06-26",12.64
"68","2013-06-27",12.65
"69","2013-06-28",13.14
"70","2013-07-01",13.29
"71","2013-07-02",13.13
"72","2013-07-03",13
"73","2013-07-05",12.52
"74","2013-07-08",12.56
"75","2013-07-09",12.61
"76","2013-07-10",12.6
"77","2013-07-11",12.79
"78","2013-07-12",12.55
