"","date","BCOW"
"1","2019-01-09",9.6
"2","2019-01-10",10
"3","2019-01-11",9.856
"4","2019-01-14",9.9
"5","2019-01-15",10.03
"6","2019-01-16",10
"7","2019-01-17",9.84
"8","2019-01-18",9.82
"9","2019-01-22",9.76
"10","2019-01-23",9.74
"11","2019-01-24",9.64
"12","2019-01-25",9.587
"13","2019-01-28",9.57
"14","2019-01-29",9.46
"15","2019-01-30",9.45
"16","2019-01-31",9.452
"17","2019-02-01",9.454
"18","2019-02-04",9.44
"19","2019-02-05",9.36
"20","2019-02-06",9.47
"21","2019-02-07",9.45
"22","2019-02-08",9.484
"23","2019-02-11",9.49
"24","2019-02-12",9.31
"25","2019-02-13",9.48
"26","2019-02-14",9.28
"27","2019-02-15",9.2
"28","2019-02-19",9.4
"29","2019-02-20",9.39
"30","2019-02-21",9.5
"31","2019-02-22",9.6
"32","2019-02-25",9.6
"33","2019-02-26",9.6
"34","2019-02-27",9.6
"35","2019-02-28",9.69
"36","2019-03-01",9.61
"37","2019-03-04",9.6
"38","2019-03-05",9.74
"39","2019-03-06",9.69
"40","2019-03-07",9.67
"41","2019-03-08",9.61
"42","2019-03-11",9.9
"43","2019-03-12",9.95
"44","2019-03-13",9.85
"45","2019-03-14",9.9
"46","2019-03-15",9.5
"47","2019-03-18",9.6
"48","2019-03-19",9.61
"49","2019-03-20",9.6
"50","2019-03-21",9.62
"51","2019-03-22",9.71
"52","2019-03-25",9.6
"53","2019-03-26",9.7
"54","2019-03-27",9.73
"55","2019-03-28",9.75
"56","2019-03-29",9.75
"57","2019-04-01",9.895
"58","2019-04-02",9.895
"59","2019-04-03",9.853
"60","2019-04-04",9.7
"61","2019-04-05",9.7
"62","2019-04-08",9.68
"63","2019-04-09",9.67
"64","2019-04-10",9.7
"65","2019-04-11",9.71
"66","2019-04-12",9.74
"67","2019-04-15",9.74
"68","2019-04-16",9.66
"69","2019-04-17",9.63
"70","2019-04-18",9.68
"71","2019-04-22",9.68
"72","2019-04-23",9.507
"73","2019-04-24",9.507
"74","2019-04-25",9.7
"75","2019-04-26",9.65
"76","2019-04-29",9.65
"77","2019-04-30",9.61
"78","2019-05-01",9.61
"79","2019-05-02",9.638
"80","2019-05-03",9.638
"81","2019-05-06",9.57
"82","2019-05-07",9.64
"83","2019-05-08",9.64
"84","2019-05-09",9.566
"85","2019-05-10",9.566
"86","2019-05-13",9.508
"87","2019-05-14",9.36
"88","2019-05-15",9.48
"89","2019-05-16",9.43
"90","2019-05-17",9.404
"91","2019-05-20",9.404
"92","2019-05-21",9.41
"93","2019-05-22",9.4
"94","2019-05-23",9.36
"95","2019-05-24",9.373
"96","2019-05-28",9.394
"97","2019-05-29",9.4
"98","2019-05-30",9.4
"99","2019-05-31",9.4
"100","2019-06-03",9.45
"101","2019-06-04",9.478
"102","2019-06-05",9.47
"103","2019-06-06",9.45
"104","2019-06-07",9.45
"105","2019-06-10",9.5
"106","2019-06-11",9.51
"107","2019-06-12",9.5
"108","2019-06-13",9.45
"109","2019-06-14",9.4
"110","2019-06-17",9.45
"111","2019-06-18",9.35
"112","2019-06-19",9.35
"113","2019-06-20",9.35
"114","2019-06-21",9.366
"115","2019-06-24",9.35
"116","2019-06-25",9.3
"117","2019-06-26",9.26
"118","2019-06-27",9.25
"119","2019-06-28",9.5
"120","2019-07-01",9.5
"121","2019-07-02",9.45
"122","2019-07-03",9.25
"123","2019-07-05",9.25
"124","2019-07-08",9.326
"125","2019-07-09",9.3
"126","2019-07-10",9.24
"127","2019-07-11",9.2
"128","2019-07-12",9.05
"129","2019-07-15",9.21
"130","2019-07-16",9.1
"131","2019-07-17",9.05
"132","2019-07-18",9.07
"133","2019-07-19",9.334
"134","2019-07-22",9.12
"135","2019-07-23",9.3
"136","2019-07-24",9.404
"137","2019-07-25",9.404
"138","2019-07-26",9.4
"139","2019-07-29",9.26
"140","2019-07-30",9.37
"141","2019-07-31",9.41
"142","2019-08-01",9.42
"143","2019-08-02",9.4
"144","2019-08-05",9.468
"145","2019-08-06",9.46
"146","2019-08-07",9.385
"147","2019-08-08",9.31
"148","2019-08-09",9.31
"149","2019-08-12",9.5
"150","2019-08-13",9.37
"151","2019-08-14",9.31
"152","2019-08-15",9.31
"153","2019-08-16",9.31
"154","2019-08-19",9.34
"155","2019-08-20",9.34
"156","2019-08-21",9.55
"157","2019-08-22",9.42
"158","2019-08-23",9.33
"159","2019-08-26",9.55
"160","2019-08-27",9.35
"161","2019-08-28",9.5
"162","2019-08-29",9.41
"163","2019-08-30",9.424
"164","2019-09-03",9.4
"165","2019-09-04",9.4
"166","2019-09-05",9.37
