"","date","RHI"
"1","2007-01-03",38.73
"2","2007-01-04",38.869999
"3","2007-01-05",38.400002
"4","2007-01-08",38.48
"5","2007-01-09",37.860001
"6","2007-01-10",38.139999
"7","2007-01-11",38.93
"8","2007-01-12",38.669998
"9","2007-01-16",38.110001
"10","2007-01-17",38.139999
"11","2007-01-18",37.23
"12","2007-01-19",37.200001
"13","2007-01-22",38.16
"14","2007-01-23",40.509998
"15","2007-01-24",41.200001
"16","2007-01-25",40.450001
"17","2007-01-26",39.759998
"18","2007-01-29",40.130001
"19","2007-01-30",39.950001
"20","2007-01-31",40.700001
"21","2007-02-01",41.240002
"22","2007-02-02",41.509998
"23","2007-02-05",41.110001
"24","2007-02-06",41.34
"25","2007-02-07",41.169998
"26","2007-02-08",41.369999
"27","2007-02-09",40.66
"28","2007-02-12",40.25
"29","2007-02-13",40.84
"30","2007-02-14",41.330002
"31","2007-02-15",41.240002
"32","2007-02-16",41.43
"33","2007-02-20",41.18
"34","2007-02-21",41.34
"35","2007-02-22",41.619999
"36","2007-02-23",41.549999
"37","2007-02-26",41.220001
"38","2007-02-27",39.549999
"39","2007-02-28",39.07
"40","2007-03-01",38.630001
"41","2007-03-02",37.810001
"42","2007-03-05",37.43
"43","2007-03-06",38.439999
"44","2007-03-07",38.349998
"45","2007-03-08",38.610001
"46","2007-03-09",38.139999
"47","2007-03-12",37.490002
"48","2007-03-13",36.110001
"49","2007-03-14",36.52
"50","2007-03-15",36.75
"51","2007-03-16",37.220001
"52","2007-03-19",37.84
"53","2007-03-20",37.869999
"54","2007-03-21",38.830002
"55","2007-03-22",38.869999
"56","2007-03-23",38.779999
"57","2007-03-26",38.630001
"58","2007-03-27",38.599998
"59","2007-03-28",38.5
"60","2007-03-29",37.119999
"61","2007-03-30",37.009998
"62","2007-04-02",36.970001
"63","2007-04-03",37.52
"64","2007-04-04",35.439999
"65","2007-04-05",35.450001
"66","2007-04-09",35.48
"67","2007-04-10",35.939999
"68","2007-04-11",35.650002
"69","2007-04-12",36.450001
"70","2007-04-13",36.25
"71","2007-04-16",36.84
"72","2007-04-17",36.950001
"73","2007-04-18",37.16
"74","2007-04-19",37.32
"75","2007-04-20",34.009998
"76","2007-04-23",33.169998
"77","2007-04-24",33.43
"78","2007-04-25",34.110001
"79","2007-04-26",34.07
"80","2007-04-27",34.240002
"81","2007-04-30",33.299999
"82","2007-05-01",33.389999
"83","2007-05-02",33.810001
"84","2007-05-03",34.43
"85","2007-05-04",34.23
"86","2007-05-07",34.310001
"87","2007-05-08",34.5
"88","2007-05-09",34.75
"89","2007-05-10",34.5
"90","2007-05-11",35
"91","2007-05-14",34.75
"92","2007-05-15",34.549999
"93","2007-05-16",35.110001
"94","2007-05-17",34.700001
"95","2007-05-18",34.970001
