"","date","GLBZ"
"1","2007-01-03",14.208333
"2","2007-01-04",15.416667
"3","2007-01-05",15.3
"4","2007-01-08",15.3
"5","2007-01-09",15.208333
"6","2007-01-10",15.208333
"7","2007-01-11",14.466666
"8","2007-01-12",14.466666
"9","2007-01-16",14.666667
"10","2007-01-17",14.625
"11","2007-01-18",14.875
"12","2007-01-19",14.875
"13","2007-01-22",14.875
"14","2007-01-23",14.875
"15","2007-01-24",14.875
"16","2007-01-25",14.541667
"17","2007-01-26",14.408334
"18","2007-01-29",14.875
"19","2007-01-30",14.625
"20","2007-01-31",14.625
"21","2007-02-01",14.95
"22","2007-02-02",14.95
"23","2007-02-05",14.95
"24","2007-02-06",14.958333
"25","2007-02-07",15.083333
"26","2007-02-08",15.083333
"27","2007-02-09",14.875
"28","2007-02-12",14.875
"29","2007-02-13",14.875
"30","2007-02-14",14.875
"31","2007-02-15",14.708333
"32","2007-02-16",14.491667
"33","2007-02-20",14.708333
"34","2007-02-21",14.5
"35","2007-02-22",14.583333
"36","2007-02-23",14.608334
"37","2007-02-26",14.608334
"38","2007-02-27",14.608334
"39","2007-02-28",14.716666
"40","2007-03-01",14.775
"41","2007-03-02",14.875
"42","2007-03-05",14.591666
"43","2007-03-06",14.625
"44","2007-03-07",14.541667
"45","2007-03-08",14.666667
"46","2007-03-09",14.875
"47","2007-03-12",14.791667
"48","2007-03-13",14.383333
"49","2007-03-14",14.375
"50","2007-03-15",14.375
"51","2007-03-16",14.416667
"52","2007-03-19",14.416667
"53","2007-03-20",14.808333
"54","2007-03-21",14.816667
"55","2007-03-22",14.775
"56","2007-03-23",14.775
"57","2007-03-26",15.091666
"58","2007-03-27",14.466666
"59","2007-03-28",14.616667
"60","2007-03-29",15.041667
"61","2007-03-30",15.041667
"62","2007-04-02",14.608334
"63","2007-04-03",14.608334
"64","2007-04-04",14.608334
"65","2007-04-05",14.458333
"66","2007-04-09",14.458333
"67","2007-04-10",14.416667
"68","2007-04-11",14.416667
