"","date","PLYM"
"1","2017-06-09",18.389999
"2","2017-06-12",18.299999
"3","2017-06-13",18.23
"4","2017-06-14",18
"5","2017-06-15",18.1
"6","2017-06-16",18.440001
"7","2017-06-19",18.049999
"8","2017-06-20",18.1
"9","2017-06-21",18.052
"10","2017-06-22",18.02
"11","2017-06-23",18.280001
"12","2017-06-26",18.33
"13","2017-06-27",18
"14","2017-06-28",18.24
"15","2017-06-29",18.049999
"16","2017-06-30",18.75
"17","2017-07-03",18.75
"18","2017-07-05",19
"19","2017-07-06",18.75
"20","2017-07-07",18.85
"21","2017-07-10",18
"22","2017-07-11",18.200001
"23","2017-07-12",18.01
"24","2017-07-13",17.9
"25","2017-07-14",18
"26","2017-07-17",17.51
"27","2017-07-18",17.34
"28","2017-07-19",17.25
"29","2017-07-20",16.9
"30","2017-07-21",17.103001
"31","2017-07-24",17.35
"32","2017-07-25",18.450001
"33","2017-07-26",17.549999
"34","2017-07-27",17.75
"35","2017-07-28",17.700001
"36","2017-07-31",17.549999
"37","2017-08-01",18.200001
"38","2017-08-02",17.950001
"39","2017-08-03",17.540001
"40","2017-08-04",17.5
"41","2017-08-07",17.35
"42","2017-08-08",17.059999
"43","2017-08-09",17.15
"44","2017-08-10",17.17
"45","2017-08-11",17.049999
"46","2017-08-14",17.200001
"47","2017-08-15",17.665001
"48","2017-08-16",17.84
"49","2017-08-17",17.65
"50","2017-08-18",18.129999
"51","2017-08-21",17.9
"52","2017-08-22",17.6
"53","2017-08-23",18.5
"54","2017-08-24",17.610001
"55","2017-08-25",18.1
"56","2017-08-28",17.620001
"57","2017-08-29",18
"58","2017-08-30",17.610001
"59","2017-08-31",18.1
"60","2017-09-01",17.879999
"61","2017-09-05",17.969999
"62","2017-09-06",18.27
"63","2017-09-07",18.200001
"64","2017-09-08",17.9
"65","2017-09-11",18.5
"66","2017-09-12",19
"67","2017-09-13",18.200001
"68","2017-09-14",18.299999
"69","2017-09-15",17.559999
"70","2017-09-18",17.870001
"71","2017-09-19",17.950001
"72","2017-09-20",18.290001
"73","2017-09-21",18.450001
"74","2017-09-22",18.049999
"75","2017-09-25",18.1
"76","2017-09-26",18.18
"77","2017-09-27",18.18
"78","2017-09-28",18.25
"79","2017-09-29",18.209999
"80","2017-10-02",18.25
"81","2017-10-03",18.07
"82","2017-10-04",18.25
"83","2017-10-05",18.280001
"84","2017-10-06",18.061001
"85","2017-10-09",18.301001
"86","2017-10-10",18.360001
"87","2017-10-11",18.42
"88","2017-10-12",18.26
"89","2017-10-13",18.27
"90","2017-10-16",18.49
"91","2017-10-17",18.400999
"92","2017-10-18",18.23
"93","2017-10-19",18.309999
"94","2017-10-20",18.190001
"95","2017-10-23",18
"96","2017-10-24",17.933001
"97","2017-10-25",18.24
"98","2017-10-26",18.379999
"99","2017-10-27",18.34
"100","2017-10-30",18.1
"101","2017-10-31",18.1
"102","2017-11-01",18.120001
"103","2017-11-02",17.870001
"104","2017-11-03",17.85
"105","2017-11-06",18.25
"106","2017-11-07",18.110001
"107","2017-11-08",18.23
"108","2017-11-09",18.27
"109","2017-11-10",18.27
"110","2017-11-13",18.299
"111","2017-11-14",18.290001
"112","2017-11-15",18.24
"113","2017-11-16",18.24
"114","2017-11-17",18.4
"115","2017-11-20",18.389999
"116","2017-11-21",18.200001
"117","2017-11-22",17.92
"118","2017-11-24",18.18
"119","2017-11-27",17.799999
"120","2017-11-28",17.91
"121","2017-11-29",17.84
"122","2017-11-30",17.93
"123","2017-12-01",17.99
"124","2017-12-04",17.84
"125","2017-12-05",17.799999
"126","2017-12-06",17.51
"127","2017-12-07",17.804001
"128","2017-12-08",18.18
"129","2017-12-11",17.620001
"130","2017-12-12",17.77
"131","2017-12-13",17.85
"132","2017-12-14",18.1
"133","2017-12-15",18.280001
"134","2017-12-18",18.334
"135","2017-12-19",18.219999
"136","2017-12-20",18.18
"137","2017-12-21",18.26
"138","2017-12-22",18.49
"139","2017-12-26",18.41
"140","2017-12-27",18.5
