"","date","AYX"
"1","2017-03-24",15.5
"2","2017-03-27",15.23
"3","2017-03-28",14.93
"4","2017-03-29",15.01
"5","2017-03-30",15.03
"6","2017-03-31",15.63
"7","2017-04-03",16.049999
"8","2017-04-04",15.93
"9","2017-04-05",16.120001
"10","2017-04-06",16.629999
"11","2017-04-07",16.690001
"12","2017-04-10",16.84
"13","2017-04-11",16.85
"14","2017-04-12",17
"15","2017-04-13",17
"16","2017-04-17",16.280001
"17","2017-04-18",16.34
"18","2017-04-19",16.52
"19","2017-04-20",15.5
"20","2017-04-21",15.43
"21","2017-04-24",14.8
"22","2017-04-25",15.36
"23","2017-04-26",15.17
"24","2017-04-27",15.21
"25","2017-04-28",15.99
"26","2017-05-01",15.95
"27","2017-05-02",16.73
"28","2017-05-03",17.049999
"29","2017-05-04",18.09
"30","2017-05-05",18.9
"31","2017-05-08",18.57
"32","2017-05-09",18.48
"33","2017-05-10",18.48
"34","2017-05-11",18.99
"35","2017-05-12",18.549999
"36","2017-05-15",18.200001
"37","2017-05-16",17.52
"38","2017-05-17",16.889999
"39","2017-05-18",17.469999
"40","2017-05-19",17.809999
"41","2017-05-22",18.870001
"42","2017-05-23",19.15
"43","2017-05-24",18.870001
"44","2017-05-25",19.200001
"45","2017-05-26",19.83
"46","2017-05-30",18.620001
"47","2017-05-31",18.860001
"48","2017-06-01",19.440001
"49","2017-06-02",20.469999
"50","2017-06-05",20.34
"51","2017-06-06",19.4
"52","2017-06-07",18.049999
"53","2017-06-08",19.35
"54","2017-06-09",19.42
"55","2017-06-12",18.799999
"56","2017-06-13",19.379999
"57","2017-06-14",19.26
"58","2017-06-15",18.799999
"59","2017-06-16",18.690001
"60","2017-06-19",18.690001
"61","2017-06-20",18.940001
"62","2017-06-21",19.27
"63","2017-06-22",19.120001
"64","2017-06-23",19.57
"65","2017-06-26",20.24
"66","2017-06-27",19.49
"67","2017-06-28",19.73
"68","2017-06-29",19.51
"69","2017-06-30",19.52
"70","2017-07-03",19.469999
"71","2017-07-05",19.77
"72","2017-07-06",19.280001
"73","2017-07-07",19.700001
"74","2017-07-10",19.959999
"75","2017-07-11",20.190001
"76","2017-07-12",21.690001
"77","2017-07-13",21.540001
"78","2017-07-14",22.18
"79","2017-07-17",22.17
"80","2017-07-18",22.67
"81","2017-07-19",22.450001
"82","2017-07-20",22.23
"83","2017-07-21",21.49
"84","2017-07-24",21.719999
"85","2017-07-25",21.469999
"86","2017-07-26",21.24
"87","2017-07-27",20.940001
"88","2017-07-28",20.35
"89","2017-07-31",20.120001
