"","date","TWLO"
"1","2016-06-23",28.790001
"2","2016-06-24",26.299999
"3","2016-06-27",27.25
"4","2016-06-28",29.92
"5","2016-06-29",37.080002
"6","2016-06-30",36.5
"7","2016-07-01",34.029999
"8","2016-07-05",34.040001
"9","2016-07-06",37.93
"10","2016-07-07",36.509998
"11","2016-07-08",35.540001
"12","2016-07-11",37.299999
"13","2016-07-12",38.299999
"14","2016-07-13",42.25
"15","2016-07-14",41.75
"16","2016-07-15",43
"17","2016-07-18",41.029999
"18","2016-07-19",39.07
"19","2016-07-20",41.73
"20","2016-07-21",40.119999
"21","2016-07-22",40.810001
"22","2016-07-25",40.75
"23","2016-07-26",40.389999
"24","2016-07-27",42.540001
"25","2016-07-28",42.169998
"26","2016-07-29",40.630001
"27","2016-08-01",39.330002
"28","2016-08-02",37.93
"29","2016-08-03",38.549999
"30","2016-08-04",40.59
"31","2016-08-05",41.490002
"32","2016-08-08",42.5
"33","2016-08-09",43.009998
"34","2016-08-10",43.630001
"35","2016-08-11",48.709999
"36","2016-08-12",53.290001
"37","2016-08-15",58.470001
"38","2016-08-16",59.34
"39","2016-08-17",58.860001
"40","2016-08-18",54.400002
"41","2016-08-19",54.880001
"42","2016-08-22",58.650002
"43","2016-08-23",56.080002
"44","2016-08-24",53.599998
"45","2016-08-25",51.93
"46","2016-08-26",54.25
"47","2016-08-29",53.82
"48","2016-08-30",53.799999
"49","2016-08-31",53.619999
"50","2016-09-01",54.380001
"51","2016-09-02",57.619999
"52","2016-09-06",59.18
"53","2016-09-07",56.630001
"54","2016-09-08",57.450001
"55","2016-09-09",56
"56","2016-09-12",56.700001
"57","2016-09-13",53.970001
"58","2016-09-14",53.119999
"59","2016-09-15",54
"60","2016-09-16",56.75
"61","2016-09-19",57.279999
"62","2016-09-20",56.759998
"63","2016-09-21",61.700001
"64","2016-09-22",64.919998
"65","2016-09-23",64.07
"66","2016-09-26",64.239998
"67","2016-09-27",68.220001
"68","2016-09-28",68.970001
"69","2016-09-29",68.720001
"70","2016-09-30",64.360001
"71","2016-10-03",65.019997
"72","2016-10-04",60.939999
"73","2016-10-05",61.470001
"74","2016-10-06",60.689999
"75","2016-10-07",60.580002
