"","date","CPS"
"1","2010-05-27",34.5
"2","2010-05-28",35.75
"3","2010-06-01",35.75
"4","2010-06-02",34.509998
"5","2010-06-03",34.5
"6","2010-06-04",34
"7","2010-06-07",33.25
"8","2010-06-08",33
"9","2010-06-09",33
"10","2010-06-10",33
"11","2010-06-11",32.5
"12","2010-06-14",33
"13","2010-06-15",34
"14","2010-06-16",33
"15","2010-06-17",33
"16","2010-06-18",32.75
"17","2010-06-21",32.75
"18","2010-06-22",33
"19","2010-06-23",33
"20","2010-06-24",32.5
"21","2010-06-25",32.5
"22","2010-06-28",32.5
"23","2010-06-29",32.5
"24","2010-06-30",32.5
"25","2010-07-01",29
"26","2010-07-02",29
"27","2010-07-06",29.5
"28","2010-07-07",30
"29","2010-07-08",31
"30","2010-07-09",30
"31","2010-07-12",28
"32","2010-07-13",28
"33","2010-07-14",28.25
"34","2010-07-15",29.5
"35","2010-07-16",31
"36","2010-07-19",29.879999
"37","2010-07-20",30
"38","2010-07-21",29.9
"39","2010-07-22",30.5
"40","2010-07-23",32
"41","2010-07-26",32
"42","2010-07-27",34
"43","2010-07-28",33.5
"44","2010-07-29",34
"45","2010-07-30",34.25
"46","2010-08-02",34.75
"47","2010-08-03",35.5
"48","2010-08-04",35.5
"49","2010-08-05",35.5
"50","2010-08-06",35.25
"51","2010-08-09",35.279999
"52","2010-08-10",35.400002
"53","2010-08-11",35.25
"54","2010-08-12",35.25
"55","2010-08-13",35.25
"56","2010-08-16",35.25
"57","2010-08-17",36
"58","2010-08-18",36.5
"59","2010-08-19",35.700001
"60","2010-08-20",36
"61","2010-08-23",35.650002
"62","2010-08-24",34.25
"63","2010-08-25",34.099998
"64","2010-08-26",35.25
"65","2010-08-27",34.75
"66","2010-08-30",35.5
"67","2010-08-31",36.75
"68","2010-09-01",36.5
"69","2010-09-02",36.5
"70","2010-09-03",36.5
"71","2010-09-07",36.5
"72","2010-09-08",36
"73","2010-09-09",36
"74","2010-09-10",35.75
"75","2010-09-13",36
"76","2010-09-14",36
"77","2010-09-15",35.900002
"78","2010-09-16",35.900002
"79","2010-09-17",35.900002
"80","2010-09-20",35.900002
"81","2010-09-21",36
"82","2010-09-22",36
"83","2010-09-23",36.25
"84","2010-09-24",36.25
"85","2010-09-27",36
"86","2010-09-28",36.5
"87","2010-09-29",36.099998
"88","2010-09-30",36.099998
"89","2010-10-01",36.200001
"90","2010-10-04",36.200001
"91","2010-10-05",37
"92","2010-10-06",37
"93","2010-10-07",37.5
"94","2010-10-08",37.5
"95","2010-10-11",37.5
"96","2010-10-12",37.25
