"","date","PACK"
"1","2018-03-13",9.57
"2","2018-03-14",9.57
"3","2018-03-15",9.6
"4","2018-03-16",9.6
"5","2018-03-19",9.59
"6","2018-03-20",9.59
"7","2018-03-21",9.57
"8","2018-03-22",9.57
"9","2018-03-23",9.58
"10","2018-03-26",9.6
"11","2018-03-27",9.6
"12","2018-03-28",9.6
"13","2018-03-29",9.55
"14","2018-04-02",9.55
"15","2018-04-03",9.63
"16","2018-04-04",9.65
"17","2018-04-05",9.65
"18","2018-04-06",9.6
"19","2018-04-09",9.65
"20","2018-04-10",9.6
"21","2018-04-11",9.64
"22","2018-04-12",9.6
"23","2018-04-13",9.6
"24","2018-04-16",9.6
"25","2018-04-17",9.6
"26","2018-04-18",9.6
"27","2018-04-19",9.6
"28","2018-04-20",9.6
"29","2018-04-23",9.6
"30","2018-04-24",9.6
"31","2018-04-25",9.6
"32","2018-04-26",9.6
"33","2018-04-27",9.6
"34","2018-04-30",9.62
"35","2018-05-01",9.62
"36","2018-05-02",9.6
"37","2018-05-03",9.6
"38","2018-05-04",9.6
"39","2018-05-07",9.6
"40","2018-05-08",9.62
"41","2018-05-09",9.61
"42","2018-05-10",9.61
"43","2018-05-11",9.59
"44","2018-05-14",9.59
"45","2018-05-15",9.59
"46","2018-05-16",9.59
"47","2018-05-17",9.59
"48","2018-05-18",9.59
"49","2018-05-21",9.59
"50","2018-05-22",9.62
"51","2018-05-23",9.65
"52","2018-05-24",9.64
"53","2018-05-25",9.63
"54","2018-05-29",9.66
"55","2018-05-30",9.66
"56","2018-05-31",9.64
"57","2018-06-01",9.64
"58","2018-06-04",9.64
"59","2018-06-05",9.65
"60","2018-06-06",9.655
"61","2018-06-07",9.65
"62","2018-06-08",9.65
"63","2018-06-11",9.65
"64","2018-06-12",9.65
"65","2018-06-13",9.65
"66","2018-06-14",9.651
"67","2018-06-15",9.673
"68","2018-06-18",9.69
"69","2018-06-19",9.69
"70","2018-06-20",9.67
"71","2018-06-21",9.67
"72","2018-06-22",9.69
"73","2018-06-25",9.68
"74","2018-06-26",9.71
"75","2018-06-27",9.7
"76","2018-06-28",9.7
"77","2018-06-29",9.7
"78","2018-07-02",9.7
"79","2018-07-03",9.7
"80","2018-07-05",9.7
"81","2018-07-06",9.7
"82","2018-07-09",9.7
"83","2018-07-10",9.7
"84","2018-07-11",9.7
"85","2018-07-12",9.71
"86","2018-07-13",9.71
"87","2018-07-16",9.71
"88","2018-07-17",9.74
"89","2018-07-18",9.75
"90","2018-07-19",9.75
"91","2018-07-20",9.77
"92","2018-07-23",9.77
"93","2018-07-24",9.77
"94","2018-07-25",9.72
"95","2018-07-26",9.74
"96","2018-07-27",9.74
"97","2018-07-30",9.74
"98","2018-07-31",9.74
"99","2018-08-01",9.73
"100","2018-08-02",9.73
"101","2018-08-03",9.73
"102","2018-08-06",9.73
"103","2018-08-07",9.73
"104","2018-08-08",9.74
"105","2018-08-09",9.74
"106","2018-08-10",9.73
"107","2018-08-13",9.73
"108","2018-08-14",9.73
"109","2018-08-15",9.73
"110","2018-08-16",9.73
"111","2018-08-17",9.73
"112","2018-08-20",9.71
"113","2018-08-21",9.72
"114","2018-08-22",9.72
"115","2018-08-23",9.72
"116","2018-08-24",9.72
"117","2018-08-27",9.72
"118","2018-08-28",9.73
"119","2018-08-29",9.73
"120","2018-08-30",9.73
"121","2018-08-31",9.73
"122","2018-09-04",9.72
"123","2018-09-05",9.72
"124","2018-09-06",9.72
"125","2018-09-07",9.72
"126","2018-09-10",9.72
"127","2018-09-11",9.73
"128","2018-09-12",9.72
"129","2018-09-13",9.72
"130","2018-09-14",9.7
"131","2018-09-17",9.7
"132","2018-09-18",9.7
"133","2018-09-19",9.73
"134","2018-09-20",9.73
"135","2018-09-21",9.73
"136","2018-09-24",9.73
"137","2018-09-25",9.72
"138","2018-09-26",9.72
"139","2018-09-27",9.72
"140","2018-09-28",9.72
"141","2018-10-01",9.72
"142","2018-10-02",9.72
"143","2018-10-03",9.72
"144","2018-10-04",9.72
"145","2018-10-05",9.72
"146","2018-10-08",9.72
"147","2018-10-09",9.72
"148","2018-10-10",9.72
"149","2018-10-11",9.72
"150","2018-10-12",9.72
"151","2018-10-15",9.72
"152","2018-10-16",9.735
"153","2018-10-17",9.735
"154","2018-10-18",9.735
"155","2018-10-19",9.735
"156","2018-10-22",9.735
"157","2018-10-23",9.735
"158","2018-10-24",9.735
"159","2018-10-25",9.735
"160","2018-10-26",9.73
"161","2018-10-29",9.73
"162","2018-10-30",9.73
"163","2018-10-31",9.72
"164","2018-11-01",9.72
"165","2018-11-02",9.72
"166","2018-11-05",9.73
"167","2018-11-06",9.75
"168","2018-11-07",9.75
"169","2018-11-08",9.75
"170","2018-11-09",9.75
"171","2018-11-12",9.75
"172","2018-11-13",9.75
"173","2018-11-14",9.75
"174","2018-11-15",9.75
"175","2018-11-16",9.73
"176","2018-11-19",9.73
"177","2018-11-20",9.73
"178","2018-11-21",9.75
"179","2018-11-23",9.75
"180","2018-11-26",9.75
"181","2018-11-27",9.75
"182","2018-11-28",9.75
"183","2018-11-29",9.75
"184","2018-11-30",9.77
"185","2018-12-03",9.77
"186","2018-12-04",9.78
"187","2018-12-06",9.759
"188","2018-12-07",9.78
"189","2018-12-10",9.81
"190","2018-12-11",9.81
"191","2018-12-12",9.81
"192","2018-12-13",10.06
"193","2018-12-14",10.07
"194","2018-12-17",10.06
"195","2018-12-18",10.07
"196","2018-12-19",10.06
"197","2018-12-20",10.06
"198","2018-12-21",10.06
"199","2018-12-24",10.06
"200","2018-12-26",10.05
"201","2018-12-27",10.05
"202","2018-12-28",10.05
"203","2018-12-31",10.03
"204","2019-01-02",10.03
"205","2019-01-03",10.03
"206","2019-01-04",10.03
"207","2019-01-07",10.03
"208","2019-01-08",10.06
"209","2019-01-09",10.04
"210","2019-01-10",10.08
