"","date","BWXT"
"1","2010-08-02",16.55937
"2","2010-08-03",16.001431
"3","2010-08-04",16.816881
"4","2010-08-05",17.653791
"5","2010-08-06",17.246065
"6","2010-08-09",16.995708
"7","2010-08-10",16.781116
"8","2010-08-11",16.416309
"9","2010-08-12",16.015738
"10","2010-08-13",15.758226
"11","2010-08-16",15.83691
"12","2010-08-17",16.173105
"13","2010-08-18",16.480686
"14","2010-08-19",16.816881
"15","2010-08-20",16.781116
"16","2010-08-23",16.795422
"17","2010-08-24",16.55937
"18","2010-08-25",16.459227
"19","2010-08-26",16.180258
"20","2010-08-27",16.74535
"21","2010-08-30",16.630901
"22","2010-08-31",16.02289
"23","2010-09-01",16.323318
"24","2010-09-02",16.237482
"25","2010-09-03",16.080114
"26","2010-09-07",15.951359
"27","2010-09-08",15.765379
"28","2010-09-09",15.908441
"29","2010-09-10",15.736767
"30","2010-09-13",15.751073
"31","2010-09-14",15.693849
"32","2010-09-15",15.786839
"33","2010-09-16",15.736767
"34","2010-09-17",15.808297
"35","2010-09-20",16.080114
"36","2010-09-21",15.672389
"37","2010-09-22",15.486409
"38","2010-09-23",15.901287
"39","2010-09-24",15.736767
"40","2010-09-27",15.672389
"41","2010-09-28",15.393419
"42","2010-09-29",15.407725
"43","2010-09-30",15.221745
"44","2010-10-01",15.522175
"45","2010-10-04",15.393419
"46","2010-10-05",15.200286
"47","2010-10-06",15.643777
"48","2010-10-07",16.02289
"49","2010-10-08",16.437769
"50","2010-10-11",16.18741
"51","2010-10-12",16.094421
"52","2010-10-13",16.416309
"53","2010-10-14",15.808297
"54","2010-10-15",15.629471
"55","2010-10-18",15.858369
"56","2010-10-19",15.844063
"57","2010-10-20",16.530758
"58","2010-10-21",16.545065
"59","2010-10-22",16.487841
"60","2010-10-25",16.638054
"61","2010-10-26",16.652361
"62","2010-10-27",16.430614
"63","2010-10-28",16.444921
"64","2010-10-29",16.323318
"65","2010-11-01",16.523605
"66","2010-11-02",16.659513
"67","2010-11-03",16.702433
"68","2010-11-04",16.766809
"69","2010-11-05",16.516453
"70","2010-11-08",16.709585
"71","2010-11-09",16.502146
"72","2010-11-10",16.595137
"73","2010-11-11",16.680973
"74","2010-11-12",16.766809
"75","2010-11-15",17.052933
"76","2010-11-16",16.752504
"77","2010-11-17",17.353361
"78","2010-11-18",17.896996
"79","2010-11-19",18.261803
"80","2010-11-22",18.376251
"81","2010-11-23",18.097282
"82","2010-11-24",18.097282
"83","2010-11-26",18.018599
"84","2010-11-29",17.696709
"85","2010-11-30",17.374821
"86","2010-12-01",17.832619
"87","2010-12-02",17.632332
"88","2010-12-03",17.753935
"89","2010-12-06",17.668097
"90","2010-12-07",17.718168
"91","2010-12-08",17.567955
"92","2010-12-09",17.439199
"93","2010-12-10",17.496424
"94","2010-12-13",17.782547
"95","2010-12-14",17.88269
"96","2010-12-15",18.397711
"97","2010-12-16",18.369099
"98","2010-12-17",18.576538
"99","2010-12-20",18.347639
"100","2010-12-21",17.982832
"101","2010-12-22",18.075823
"102","2010-12-23",18.06867
"103","2010-12-27",17.925608
"104","2010-12-28",18.047211
"105","2010-12-29",18.147354
