"","date","SNSS"
"216","2007-11-08",752.400024
"217","2007-11-09",799.200012
"218","2007-11-12",828
"219","2007-11-13",774
"220","2007-11-14",763.200012
"221","2007-11-15",784.799988
"222","2007-11-16",777.599976
"223","2007-11-19",738
"224","2007-11-20",727.200012
"225","2007-11-21",720
"226","2007-11-23",748.799988
"227","2007-11-26",756
"228","2007-11-27",759.599976
"229","2007-11-28",748.799988
"230","2007-11-29",741.599976
"231","2007-11-30",770.400024
"232","2007-12-03",802.799988
"233","2007-12-04",766.799988
"234","2007-12-05",756
"235","2007-12-06",756
"236","2007-12-07",777.599976
"237","2007-12-10",741.599976
"238","2007-12-11",730.799988
"239","2007-12-12",720
"240","2007-12-13",723.599976
"241","2007-12-14",727.200012
"242","2007-12-17",716.400024
"243","2007-12-18",673.200012
"244","2007-12-19",684
"245","2007-12-20",720
"246","2007-12-21",655.200012
"247","2007-12-24",640.799988
"248","2007-12-26",619.200012
"249","2007-12-27",612
"250","2007-12-28",694.799988
"251","2007-12-31",716.400024
"252","2008-01-02",684
"253","2008-01-03",712.799988
"254","2008-01-04",691.200012
"255","2008-01-07",698.400024
"256","2008-01-08",709.200012
"257","2008-01-09",550.799988
"258","2008-01-10",561.599976
"259","2008-01-11",568.799988
"260","2008-01-14",579.599976
"261","2008-01-15",554.400024
"262","2008-01-16",576
"263","2008-01-17",576
"264","2008-01-18",565.200012
"265","2008-01-22",500.399994
"266","2008-01-23",489.600006
"267","2008-01-24",460.799988
"268","2008-01-25",450
"269","2008-01-28",421.200012
"270","2008-01-29",406.799988
"271","2008-01-30",410.399994
"272","2008-01-31",468
"273","2008-02-01",468
"274","2008-02-04",442.799988
"275","2008-02-05",435.600006
"276","2008-02-06",439.200012
"277","2008-02-07",428.399994
"278","2008-02-08",439.200012
"279","2008-02-11",442.799988
"280","2008-02-12",475.200012
"281","2008-02-13",475.200012
"282","2008-02-14",504
"283","2008-02-15",504
"284","2008-02-19",511.200012
"285","2008-02-20",500.399994
"286","2008-02-21",500.399994
"287","2008-02-22",500.399994
"288","2008-02-25",511.200012
"289","2008-02-26",507.600006
