"","date","JBSS"
"1","2007-01-03",12.48
"2","2007-01-04",12.38
"3","2007-01-05",12.39
"4","2007-01-08",12.35
"5","2007-01-09",12.27
"6","2007-01-10",12.04
"7","2007-01-11",12.2
"8","2007-01-12",12.18
"9","2007-01-16",12.35
"10","2007-01-17",12.41
"11","2007-01-18",12.85
"12","2007-01-19",12.86
"13","2007-01-22",12.37
"14","2007-01-23",12.79
"15","2007-01-24",12.99
"16","2007-01-25",13
"17","2007-01-26",13.39
"18","2007-01-29",13.3
"19","2007-01-30",13.27
"20","2007-01-31",13.67
"21","2007-02-01",14.37
"22","2007-02-02",15
"23","2007-02-05",14.3
"24","2007-02-06",14.5
"25","2007-02-07",14.65
"26","2007-02-08",14.51
"27","2007-02-09",14.93
"28","2007-02-12",14.48
"29","2007-02-13",14.65
"30","2007-02-14",14.76
"31","2007-02-15",14.53
"32","2007-02-16",14.53
"33","2007-02-20",14.5
"34","2007-02-21",14.43
"35","2007-02-22",14.45
"36","2007-02-23",14.35
"37","2007-02-26",14.64
"38","2007-02-27",14.29
"39","2007-02-28",14.15
"40","2007-03-01",14.05
"41","2007-03-02",13.96
"42","2007-03-05",14.78
"43","2007-03-06",14.67
"44","2007-03-07",14.14
"45","2007-03-08",13.89
"46","2007-03-09",14.05
"47","2007-03-12",14.11
"48","2007-03-13",13.88
"49","2007-03-14",13.65
"50","2007-03-15",13.7
"51","2007-03-16",13.5
"52","2007-03-19",13.22
"53","2007-03-20",13.31
"54","2007-03-21",13.5
"55","2007-03-22",13.5
"56","2007-03-23",13.52
"57","2007-03-26",13.43
"58","2007-03-27",13.5
"59","2007-03-28",13.27
"60","2007-03-29",13.54
"61","2007-03-30",13.33
"62","2007-04-02",13.69
"63","2007-04-03",13.88
"64","2007-04-04",13.98
"65","2007-04-05",13.99
"66","2007-04-09",13.67
"67","2007-04-10",13.62
"68","2007-04-11",14.04
"69","2007-04-12",13.88
"70","2007-04-13",13.58
"71","2007-04-16",13.58
"72","2007-04-17",13.65
"73","2007-04-18",13.7
"74","2007-04-19",13.66
"75","2007-04-20",13.69
"76","2007-04-23",13.7
"77","2007-04-24",13.59
"78","2007-04-25",13.64
"79","2007-04-26",13.57
"80","2007-04-27",13.6
"81","2007-04-30",13.45
"82","2007-05-01",13.31
"83","2007-05-02",13.4
"84","2007-05-03",13.55
"85","2007-05-04",13.7
"86","2007-05-07",13.99
"87","2007-05-08",12.27
"88","2007-05-09",12.21
"89","2007-05-10",12.25
"90","2007-05-11",12.82
"91","2007-05-14",12.55
"92","2007-05-15",12.2
"93","2007-05-16",12.16
"94","2007-05-17",11.87
"95","2007-05-18",11.55
"96","2007-05-21",11.89
"97","2007-05-22",11.98
"98","2007-05-23",11.64
"99","2007-05-24",11.48
"100","2007-05-25",11.47
"101","2007-05-29",11.02
"102","2007-05-30",11.18
"103","2007-05-31",11.06
"104","2007-06-01",11.01
"105","2007-06-04",10.99
"106","2007-06-05",11
"107","2007-06-06",10.97
"108","2007-06-07",10.85
"109","2007-06-08",10.66
"110","2007-06-11",10.61
"111","2007-06-12",10.55
"112","2007-06-13",10.59
"113","2007-06-14",10.5
"114","2007-06-15",10.43
"115","2007-06-18",10.48
"116","2007-06-19",10.4
"117","2007-06-20",10.38
"118","2007-06-21",10.73
"119","2007-06-22",11.22
"120","2007-06-25",11.3
"121","2007-06-26",11.08
"122","2007-06-27",11.05
"123","2007-06-28",11.03
"124","2007-06-29",11
"125","2007-07-02",11.11
"126","2007-07-03",11.1
"127","2007-07-05",11.14
"128","2007-07-06",11.05
"129","2007-07-09",11.04
"130","2007-07-10",11.41
"131","2007-07-11",11.51
"132","2007-07-12",11.78
"133","2007-07-13",11.3
"134","2007-07-16",11.08
"135","2007-07-17",11.33
"136","2007-07-18",11.11
"137","2007-07-19",11.17
"138","2007-07-20",11.13
"139","2007-07-23",11.75
"140","2007-07-24",11.48
"141","2007-07-25",11.69
"142","2007-07-26",11.07
"143","2007-07-27",11.27
"144","2007-07-30",11.02
"145","2007-07-31",11.08
"146","2007-08-01",11.33
"147","2007-08-02",11.38
"148","2007-08-03",11.08
"149","2007-08-06",11.02
"150","2007-08-07",11.13
"151","2007-08-08",11.27
"152","2007-08-09",11.79
"153","2007-08-10",11.05
"154","2007-08-13",11.06
"155","2007-08-14",11.05
"156","2007-08-15",10.5
"157","2007-08-16",10.06
"158","2007-08-17",10.13
"159","2007-08-20",9.97
"160","2007-08-21",10.5
"161","2007-08-22",10.89
"162","2007-08-23",10.11
"163","2007-08-24",10.03
"164","2007-08-27",10.21
"165","2007-08-28",9.89
"166","2007-08-29",9.82
"167","2007-08-30",9.85
"168","2007-08-31",9.76
"169","2007-09-04",9.87
"170","2007-09-05",9.69
"171","2007-09-06",9.72
"172","2007-09-07",9.72
"173","2007-09-10",9.5
"174","2007-09-11",8.87
"175","2007-09-12",8.83
"176","2007-09-13",8.58
"177","2007-09-14",8.32
"178","2007-09-17",8.29
"179","2007-09-18",8.1
"180","2007-09-19",8.12
"181","2007-09-20",8.27
"182","2007-09-21",7.99
"183","2007-09-24",7.27
"184","2007-09-25",7.49
"185","2007-09-26",7.65
"186","2007-09-27",8.07
"187","2007-09-28",8.17
"188","2007-10-01",8.02
"189","2007-10-02",7.98
"190","2007-10-03",8.97
"191","2007-10-04",9.67
"192","2007-10-05",9.82
"193","2007-10-08",9.79
"194","2007-10-09",10.33
"195","2007-10-10",10.08
"196","2007-10-11",10.06
"197","2007-10-12",9.99
"198","2007-10-15",10.18
"199","2007-10-16",10.05
"200","2007-10-17",10.05
"201","2007-10-18",9.84
"202","2007-10-19",9.9
"203","2007-10-22",9.7
"204","2007-10-23",9.77
"205","2007-10-24",9.56
"206","2007-10-25",9.48
"207","2007-10-26",9.11
"208","2007-10-29",9.17
"209","2007-10-30",9.06
"210","2007-10-31",8.53
"211","2007-11-01",8.41
"212","2007-11-02",8.35
"213","2007-11-05",8.75
"214","2007-11-06",9.15
"215","2007-11-07",8.72
"216","2007-11-08",8.5
"217","2007-11-09",8.43
"218","2007-11-12",8.78
"219","2007-11-13",8.79
"220","2007-11-14",8.71
"221","2007-11-15",8.55
"222","2007-11-16",8.53
"223","2007-11-19",7.95
"224","2007-11-20",8.08
"225","2007-11-21",7.9
"226","2007-11-23",7.96
"227","2007-11-26",7.87
"228","2007-11-27",7.89
"229","2007-11-28",7.85
"230","2007-11-29",7.85
"231","2007-11-30",8.49
"232","2007-12-03",8.01
"233","2007-12-04",7.96
"234","2007-12-05",7.97
"235","2007-12-06",7.99
"236","2007-12-07",8.03
"237","2007-12-10",8.12
"238","2007-12-11",8.09
"239","2007-12-12",7.83
"240","2007-12-13",7.83
"241","2007-12-14",7.57
"242","2007-12-17",7.48
"243","2007-12-18",7.4
"244","2007-12-19",7.34
"245","2007-12-20",7.55
"246","2007-12-21",7.64
