"","date","CENTA"
"1","2007-02-06",15.05
"2","2007-02-07",15.05
"3","2007-02-08",13.37
"4","2007-02-09",12.85
"5","2007-02-12",12.7
"6","2007-02-13",12.5
"7","2007-02-14",12.32
"8","2007-02-15",12.82
"9","2007-02-16",13.01
"10","2007-02-20",13.64
"11","2007-02-21",13.8
"12","2007-02-22",14.06
"13","2007-02-23",14.2
"14","2007-02-26",14.1
"15","2007-02-27",13.91
"16","2007-02-28",14.02
"17","2007-03-01",14.22
"18","2007-03-02",14.13
"19","2007-03-05",13.64
"20","2007-03-06",13.75
"21","2007-03-07",13.39
"22","2007-03-08",13.3
"23","2007-03-09",13.34
"24","2007-03-12",13.16
"25","2007-03-13",13.05
"26","2007-03-14",13.42
"27","2007-03-15",13.74
"28","2007-03-16",13.95
"29","2007-03-19",14.32
"30","2007-03-20",14.43
"31","2007-03-21",14.69
"32","2007-03-22",14.75
"33","2007-03-23",15.17
"34","2007-03-26",14.95
"35","2007-03-27",14.7
"36","2007-03-28",14.69
"37","2007-03-29",14.66
"38","2007-03-30",14.7
"39","2007-04-02",14.7
"40","2007-04-03",14.89
"41","2007-04-04",14.9
"42","2007-04-05",14.76
"43","2007-04-09",14.98
"44","2007-04-10",15.13
"45","2007-04-11",14.95
"46","2007-04-12",14.92
"47","2007-04-13",14.95
"48","2007-04-16",14.9
"49","2007-04-17",14.95
"50","2007-04-18",14.77
"51","2007-04-19",14.52
"52","2007-04-20",14.67
"53","2007-04-23",14.73
"54","2007-04-24",14.79
"55","2007-04-25",14.6
"56","2007-04-26",14.79
"57","2007-04-27",14.44
"58","2007-04-30",14.32
"59","2007-05-01",14.74
"60","2007-05-02",14.82
"61","2007-05-03",14.56
"62","2007-05-04",14.72
"63","2007-05-07",14.78
"64","2007-05-08",14.07
"65","2007-05-09",13.98
"66","2007-05-10",13.46
"67","2007-05-11",13.74
"68","2007-05-14",13.81
"69","2007-05-15",13.75
"70","2007-05-16",13.76
"71","2007-05-17",13.33
"72","2007-05-18",13.2
"73","2007-05-21",13.52
"74","2007-05-22",13.88
"75","2007-05-23",13.8
"76","2007-05-24",13.28
"77","2007-05-25",13.29
"78","2007-05-29",13.43
"79","2007-05-30",13.21
"80","2007-05-31",13.32
"81","2007-06-01",13.01
"82","2007-06-04",12.57
"83","2007-06-05",12.58
"84","2007-06-06",12.47
"85","2007-06-07",12.27
"86","2007-06-08",12.22
"87","2007-06-11",12.35
"88","2007-06-12",12.43
"89","2007-06-13",12.52
"90","2007-06-14",12.72
"91","2007-06-15",12.65
"92","2007-06-18",12.7
"93","2007-06-19",12.65
"94","2007-06-20",12.66
"95","2007-06-21",12.61
"96","2007-06-22",12.4
"97","2007-06-25",12.13
"98","2007-06-26",12.04
"99","2007-06-27",12.02
"100","2007-06-28",11.86
"101","2007-06-29",11.73
"102","2007-07-02",11.54
"103","2007-07-03",11.76
"104","2007-07-05",12.19
"105","2007-07-06",12.36
"106","2007-07-09",12.2
"107","2007-07-10",11.8
"108","2007-07-11",12.04
"109","2007-07-12",12.23
"110","2007-07-13",12.57
"111","2007-07-16",12.78
"112","2007-07-17",12.83
"113","2007-07-18",12.69
"114","2007-07-19",12.86
"115","2007-07-20",12.57
"116","2007-07-23",12.59
"117","2007-07-24",12.19
"118","2007-07-25",12.32
"119","2007-07-26",12.26
"120","2007-07-27",11.88
"121","2007-07-30",11.85
"122","2007-07-31",12.24
"123","2007-08-01",12.36
"124","2007-08-02",12.71
"125","2007-08-03",12.14
"126","2007-08-06",12.63
"127","2007-08-07",13.02
"128","2007-08-08",13.85
"129","2007-08-09",13
"130","2007-08-10",12.6
"131","2007-08-13",12.39
"132","2007-08-14",11.92
"133","2007-08-15",12.33
"134","2007-08-16",12.79
"135","2007-08-17",13.35
"136","2007-08-20",13
"137","2007-08-21",12.59
"138","2007-08-22",12.86
"139","2007-08-23",12.57
"140","2007-08-24",12.77
"141","2007-08-27",12.5
"142","2007-08-28",12.08
"143","2007-08-29",12.21
"144","2007-08-30",12.16
"145","2007-08-31",12.6
"146","2007-09-04",12.44
"147","2007-09-05",12.15
"148","2007-09-06",12.13
"149","2007-09-07",12.01
"150","2007-09-10",11.04
"151","2007-09-11",11.06
"152","2007-09-12",10.64
"153","2007-09-13",10.49
"154","2007-09-14",10.44
"155","2007-09-17",9.75
"156","2007-09-18",10
"157","2007-09-19",10
"158","2007-09-20",9.91
"159","2007-09-21",9.85
"160","2007-09-24",9.69
"161","2007-09-25",9.46
"162","2007-09-26",9.39
"163","2007-09-27",9.04
"164","2007-09-28",8.98
"165","2007-10-01",9.49
"166","2007-10-02",9.32
"167","2007-10-03",9.08
"168","2007-10-04",9.12
"169","2007-10-05",9.21
"170","2007-10-08",9.02
"171","2007-10-09",9.1
"172","2007-10-10",9.07
"173","2007-10-11",9.11
"174","2007-10-12",9.11
"175","2007-10-15",8.96
"176","2007-10-16",8.72
"177","2007-10-17",8.73
"178","2007-10-18",8.61
"179","2007-10-19",8.4
"180","2007-10-22",8.67
"181","2007-10-23",8.75
"182","2007-10-24",8.6
"183","2007-10-25",8.45
"184","2007-10-26",8.43
"185","2007-10-29",8.15
"186","2007-10-30",8.33
"187","2007-10-31",8.32
"188","2007-11-01",7.92
"189","2007-11-02",7.77
"190","2007-11-05",7.69
"191","2007-11-06",7.59
"192","2007-11-07",7.24
"193","2007-11-08",7.18
"194","2007-11-09",7.03
"195","2007-11-12",7.05
"196","2007-11-13",7.22
"197","2007-11-14",7.3
"198","2007-11-15",7.11
"199","2007-11-16",6.64
"200","2007-11-19",6.15
"201","2007-11-20",5.97
"202","2007-11-21",5.9
"203","2007-11-23",6.17
"204","2007-11-26",6.25
"205","2007-11-27",6.5
"206","2007-11-28",4.15
"207","2007-11-29",5.03
"208","2007-11-30",5.25
"209","2007-12-03",5.26
"210","2007-12-04",5.22
"211","2007-12-05",5.42
"212","2007-12-06",5.57
"213","2007-12-07",5.62
"214","2007-12-10",6.12
"215","2007-12-11",6.16
"216","2007-12-12",6.24
"217","2007-12-13",6.11
"218","2007-12-14",5.95
"219","2007-12-17",5.32
"220","2007-12-18",5.39
"221","2007-12-19",5.21
"222","2007-12-20",5.21
"223","2007-12-21",5.63
"224","2007-12-24",5.67
"225","2007-12-26",5.63
"226","2007-12-27",5.35
"227","2007-12-28",5.26
"228","2007-12-31",5.36
"229","2008-01-02",5.21
"230","2008-01-03",4.91
"231","2008-01-04",4.63
"232","2008-01-07",4.7
"233","2008-01-08",4.74
"234","2008-01-09",4.78
"235","2008-01-10",4.75
"236","2008-01-11",4.56
"237","2008-01-14",4.52
"238","2008-01-15",4.21
"239","2008-01-16",4.5
"240","2008-01-17",4.18
"241","2008-01-18",3.99
"242","2008-01-22",4.08
"243","2008-01-23",3.96
"244","2008-01-24",4.16
"245","2008-01-25",4.13
"246","2008-01-28",4.19
"247","2008-01-29",4.16
"248","2008-01-30",4.29
"249","2008-01-31",4.97
"250","2008-02-01",5.51
"251","2008-02-04",5.36
"252","2008-02-05",5.02
"253","2008-02-06",5.32
"254","2008-02-07",5.08
"255","2008-02-08",4.99
"256","2008-02-11",4.94
"257","2008-02-12",5.13
"258","2008-02-13",5.2
"259","2008-02-14",5.19
"260","2008-02-15",5.05
"261","2008-02-19",5.03
"262","2008-02-20",5.13
"263","2008-02-21",4.98
"264","2008-02-22",4.98
"265","2008-02-25",5.31
"266","2008-02-26",4.84
"267","2008-02-27",4.78
"268","2008-02-28",4.67
"269","2008-02-29",4.4
"270","2008-03-03",4.45
"271","2008-03-04",4.6
"272","2008-03-05",4.56
"273","2008-03-06",4.16
"274","2008-03-07",4.12
"275","2008-03-10",3.93
"276","2008-03-11",4.14
"277","2008-03-12",3.96
"278","2008-03-13",4.19
"279","2008-03-14",4.07
"280","2008-03-17",3.89
"281","2008-03-18",3.84
"282","2008-03-19",4.03
"283","2008-03-20",4.4
"284","2008-03-24",4.59
"285","2008-03-25",4.64
"286","2008-03-26",4.79
"287","2008-03-27",4.52
"288","2008-03-28",4.39
"289","2008-03-31",4.44
"290","2008-04-01",4.52
"291","2008-04-02",4.45
"292","2008-04-03",4.49
"293","2008-04-04",4.29
"294","2008-04-07",4.14
"295","2008-04-08",4.09
"296","2008-04-09",3.8
"297","2008-04-10",4.01
"298","2008-04-11",3.99
"299","2008-04-14",3.96
"300","2008-04-15",3.87
"301","2008-04-16",3.95
"302","2008-04-17",3.96
"303","2008-04-18",4.24
"304","2008-04-21",4.33
"305","2008-04-22",4.12
"306","2008-04-23",4.2
"307","2008-04-24",4.58
"308","2008-04-25",4.49
"309","2008-04-28",4.69
"310","2008-04-29",4.72
"311","2008-04-30",5.02
"312","2008-05-01",5.02
"313","2008-05-02",5.03
"314","2008-05-05",4.91
"315","2008-05-06",4.58
"316","2008-05-07",3.98
"317","2008-05-08",5.03
"318","2008-05-09",5.57
"319","2008-05-12",5.94
"320","2008-05-13",6.58
"321","2008-05-14",6.41
"322","2008-05-15",6.55
"323","2008-05-16",6.4
"324","2008-05-19",6.62
"325","2008-05-20",6.46
"326","2008-05-21",6.97
"327","2008-05-22",6.92
"328","2008-05-23",6.85
"329","2008-05-27",6.81
"330","2008-05-28",6.71
"331","2008-05-29",7.18
"332","2008-05-30",7.46
"333","2008-06-02",7
"334","2008-06-03",7.05
"335","2008-06-04",7.35
"336","2008-06-05",7.38
"337","2008-06-06",7.12
"338","2008-06-09",7
"339","2008-06-10",6.98
"340","2008-06-11",4.29
"341","2008-06-12",4.18
"342","2008-06-13",4.34
"343","2008-06-16",4.18
"344","2008-06-17",4.16
"345","2008-06-18",4.07
"346","2008-06-19",4.2
"347","2008-06-20",4.09
"348","2008-06-23",3.95
"349","2008-06-24",3.8
"350","2008-06-25",4.1
"351","2008-06-26",4.13
"352","2008-06-27",4
"353","2008-06-30",4.1
"354","2008-07-01",4.07
"355","2008-07-02",4.08
"356","2008-07-03",4
"357","2008-07-07",4
"358","2008-07-08",4.33
"359","2008-07-09",4.2
"360","2008-07-10",4.26
"361","2008-07-11",4.75
"362","2008-07-14",4.24
"363","2008-07-15",4.45
"364","2008-07-16",4.53
"365","2008-07-17",4.6
"366","2008-07-18",4.49
"367","2008-07-21",4.41
"368","2008-07-22",4.4
"369","2008-07-23",4.4
"370","2008-07-24",4.25
"371","2008-07-25",4.25
"372","2008-07-28",3.99
"373","2008-07-29",4.01
"374","2008-07-30",4.23
"375","2008-07-31",4.18
"376","2008-08-01",4.45
"377","2008-08-04",4.17
"378","2008-08-05",4.42
"379","2008-08-06",4.73
"380","2008-08-07",4.34
"381","2008-08-08",4.58
"382","2008-08-11",5.12
"383","2008-08-12",5.03
"384","2008-08-13",5.2
"385","2008-08-14",5.24
"386","2008-08-15",5.44
"387","2008-08-18",5.42
"388","2008-08-19",5.23
"389","2008-08-20",5.04
"390","2008-08-21",4.99
"391","2008-08-22",5.24
"392","2008-08-25",5.05
"393","2008-08-26",5.07
"394","2008-08-27",4.98
"395","2008-08-28",5.2
"396","2008-08-29",5.3
"397","2008-09-02",5.37
"398","2008-09-03",6.03
"399","2008-09-04",5.47
