"","date","SPT"
"1","2019-12-13",16.6
"2","2019-12-16",16.75
"3","2019-12-17",16.780001
"4","2019-12-18",16.559999
"5","2019-12-19",16.02
"6","2019-12-20",16
"7","2019-12-23",15.98
"8","2019-12-24",16
"9","2019-12-26",16
"10","2019-12-27",16.120001
"11","2019-12-30",16.01
"12","2019-12-31",16.049999
"13","2020-01-02",16.549999
"14","2020-01-03",16.58
"15","2020-01-06",17.299999
"16","2020-01-07",17.780001
"17","2020-01-08",17.440001
"18","2020-01-09",17.700001
"19","2020-01-10",18.129999
"20","2020-01-13",18.52
"21","2020-01-14",19.030001
"22","2020-01-15",19.110001
"23","2020-01-16",19.110001
"24","2020-01-17",18.709999
"25","2020-01-21",20
"26","2020-01-22",21.01
"27","2020-01-23",20.969999
"28","2020-01-24",20.24
"29","2020-01-27",19.24
"30","2020-01-28",19.58
"31","2020-01-29",20
"32","2020-01-30",20.68
"33","2020-01-31",20.530001
"34","2020-02-03",20.969999
"35","2020-02-04",21.719999
"36","2020-02-05",20.85
"37","2020-02-06",20.24
"38","2020-02-07",19.129999
"39","2020-02-10",18.9
"40","2020-02-11",19.450001
"41","2020-02-12",19.99
"42","2020-02-13",20.950001
"43","2020-02-14",21.049999
"44","2020-02-18",20.219999
"45","2020-02-19",20.42
"46","2020-02-20",19.690001
"47","2020-02-21",20.110001
"48","2020-02-24",19.549999
"49","2020-02-25",18.870001
"50","2020-02-26",17.700001
"51","2020-02-27",20.290001
"52","2020-02-28",19.65
"53","2020-03-02",20.49
"54","2020-03-03",20.59
"55","2020-03-04",20.120001
"56","2020-03-05",18.940001
"57","2020-03-06",18.799999
"58","2020-03-09",15.29
"59","2020-03-10",17.52
"60","2020-03-11",16.540001
"61","2020-03-12",14.5
"62","2020-03-13",15.33
"63","2020-03-16",14.53
"64","2020-03-17",14.68
"65","2020-03-18",13.24
"66","2020-03-19",13.77
"67","2020-03-20",13.99
"68","2020-03-23",13
"69","2020-03-24",14.07
"70","2020-03-25",16.02
"71","2020-03-26",15.65
"72","2020-03-27",14.25
"73","2020-03-30",15.06
"74","2020-03-31",15.96
"75","2020-04-01",13.88
"76","2020-04-02",13
"77","2020-04-03",12.97
"78","2020-04-06",13.55
"79","2020-04-07",13.75
"80","2020-04-08",13.47
"81","2020-04-09",13.17
"82","2020-04-13",12.04
"83","2020-04-14",12.95
"84","2020-04-15",13.13
