"","date","MARA"
"1","2012-05-04",119.599998
"2","2012-05-07",119.599998
"3","2012-05-08",104
"4","2012-05-09",104
"5","2012-05-10",104
"6","2012-05-11",105.040001
"7","2012-05-14",107.120003
"8","2012-05-15",105.040001
"9","2012-05-16",105.040001
"10","2012-05-17",97.760002
"11","2012-05-18",97.760002
"12","2012-05-21",97.760002
"13","2012-05-22",97.760002
"14","2012-05-23",97.760002
"15","2012-05-24",97.760002
"16","2012-05-25",97.760002
"17","2012-05-29",97.760002
"18","2012-05-30",97.760002
"19","2012-05-31",104
"20","2012-06-01",78
"21","2012-06-04",104
"22","2012-06-05",102.959999
"23","2012-06-06",102.959999
"24","2012-06-07",102.959999
"25","2012-06-08",102.959999
"26","2012-06-11",102.959999
"27","2012-06-12",102.959999
"28","2012-06-13",102.959999
"29","2012-06-14",102.959999
"30","2012-06-15",102.959999
"31","2012-06-18",102.959999
"32","2012-06-19",102.959999
"33","2012-06-20",102.959999
"34","2012-06-21",102.959999
"35","2012-06-22",102.959999
"36","2012-06-25",53.040001
"37","2012-06-26",93.599998
"38","2012-06-27",93.599998
"39","2012-06-28",93.599998
"40","2012-06-29",93.599998
"41","2012-07-02",93.599998
"42","2012-07-03",93.599998
"43","2012-07-05",93.599998
"44","2012-07-06",93.599998
"45","2012-07-09",93.599998
"46","2012-07-10",93.599998
"47","2012-07-11",93.599998
"48","2012-07-12",93.599998
"49","2012-07-13",93.599998
"50","2012-07-16",93.599998
"51","2012-07-17",105.040001
"52","2012-07-18",105.040001
"53","2012-07-19",105.040001
"54","2012-07-20",105.040001
"55","2012-07-23",105.040001
"56","2012-07-24",105.040001
"57","2012-07-25",105.040001
"58","2012-07-26",105.040001
"59","2012-07-27",105.040001
"60","2012-07-30",105.040001
"61","2012-07-31",105.040001
"62","2012-08-01",105.040001
"63","2012-08-02",105.040001
"64","2012-08-03",105.040001
"65","2012-08-06",105.040001
"66","2012-08-07",105.040001
"67","2012-08-08",105.040001
"68","2012-08-09",105.040001
"69","2012-08-10",105.040001
"70","2012-08-13",105.040001
"71","2012-08-14",105.040001
"72","2012-08-15",105.040001
"73","2012-08-16",105.040001
"74","2012-08-17",105.040001
"75","2012-08-20",105.040001
"76","2012-08-21",105.040001
"77","2012-08-22",105.040001
"78","2012-08-23",105.040001
"79","2012-08-24",105.040001
"80","2012-08-27",105.040001
