"","date","CBNK"
"1","2018-09-26",12.8
"2","2018-09-27",12.83
"3","2018-09-28",12.72
"4","2018-10-01",12.79
"5","2018-10-02",12.75
"6","2018-10-03",12.85
"7","2018-10-04",12.77
"8","2018-10-05",12.73
"9","2018-10-08",12.9
"10","2018-10-09",12.9
"11","2018-10-10",12.85
"12","2018-10-11",12.8
"13","2018-10-12",12.8
"14","2018-10-15",12.8
"15","2018-10-16",12.83
"16","2018-10-17",12.83
"17","2018-10-18",12.75
"18","2018-10-19",12.61
"19","2018-10-22",12.61
"20","2018-10-23",12.59
"21","2018-10-24",11.97
"22","2018-10-25",11.95
"23","2018-10-26",11.9
"24","2018-10-29",11.8
"25","2018-10-30",11.41
"26","2018-10-31",11.2
"27","2018-11-01",11.89
"28","2018-11-02",11.79
"29","2018-11-05",11.69
"30","2018-11-06",12.49
"31","2018-11-07",11.96
"32","2018-11-08",12.25
"33","2018-11-09",12.6
"34","2018-11-12",12.51
"35","2018-11-13",12.76
"36","2018-11-14",12.52
"37","2018-11-15",12.23
"38","2018-11-16",12.7
"39","2018-11-19",12.57
"40","2018-11-20",12.52
"41","2018-11-21",12.52
"42","2018-11-23",12.55
"43","2018-11-26",12.52
"44","2018-11-27",12.31
"45","2018-11-28",12.32
"46","2018-11-29",12.29
"47","2018-11-30",12.42
"48","2018-12-03",13.5
"49","2018-12-04",13.8
"50","2018-12-06",12.41
"51","2018-12-07",13.5
"52","2018-12-10",13.09
"53","2018-12-11",13.05
"54","2018-12-12",13.43
"55","2018-12-13",13.2
"56","2018-12-14",12.22
"57","2018-12-17",12.57
"58","2018-12-18",12.4
"59","2018-12-19",12.55
"60","2018-12-20",12.16
"61","2018-12-21",11.85
"62","2018-12-24",11.21
"63","2018-12-26",11.47
"64","2018-12-27",12
"65","2018-12-28",11.38
"66","2018-12-31",11.41
"67","2019-01-02",10.94
"68","2019-01-03",10.97
"69","2019-01-04",11.1
"70","2019-01-07",11.29
"71","2019-01-08",11.4
"72","2019-01-09",11.83
"73","2019-01-10",11.33
"74","2019-01-11",11.51
"75","2019-01-14",11.06
"76","2019-01-15",11.32
"77","2019-01-16",11.49
"78","2019-01-17",11.73
"79","2019-01-18",11.73
"80","2019-01-22",11.28
"81","2019-01-23",11.48
"82","2019-01-24",11.39
"83","2019-01-25",11.95
"84","2019-01-28",11.63
"85","2019-01-29",11.54
"86","2019-01-30",11.49
"87","2019-01-31",11.75
"88","2019-02-01",11.71
"89","2019-02-04",11.7
"90","2019-02-05",11.9
"91","2019-02-06",11.9
"92","2019-02-07",12.12
"93","2019-02-08",11.9
"94","2019-02-11",11.81
"95","2019-02-12",12
"96","2019-02-13",11.9
"97","2019-02-14",11.75
"98","2019-02-15",11.85
"99","2019-02-19",12.19
"100","2019-02-20",11.91
"101","2019-02-21",11.86
"102","2019-02-22",11.89
"103","2019-02-25",11.8
"104","2019-02-26",11.8
"105","2019-02-27",11.9
"106","2019-02-28",11.81
"107","2019-03-01",11.8
"108","2019-03-04",11.8
"109","2019-03-05",11.91
"110","2019-03-06",11.46
"111","2019-03-07",11.13
"112","2019-03-08",11.02
"113","2019-03-11",11.13
"114","2019-03-12",11.24
"115","2019-03-13",11.11
"116","2019-03-14",11.1
"117","2019-03-15",11.22
"118","2019-03-18",11.3
"119","2019-03-19",11.11
"120","2019-03-20",11.1
"121","2019-03-21",11.16
"122","2019-03-22",11.15
"123","2019-03-25",11.38
"124","2019-03-26",11.8
"125","2019-03-27",11.65
"126","2019-03-28",11.91
"127","2019-03-29",11.62
"128","2019-04-01",11.9
"129","2019-04-02",12
"130","2019-04-03",12.17
"131","2019-04-04",11.64
"132","2019-04-05",12.3
"133","2019-04-08",11.37
"134","2019-04-09",11.17
"135","2019-04-10",11.52
"136","2019-04-11",11.43
"137","2019-04-12",11.66
"138","2019-04-15",11.42
"139","2019-04-16",11.39
"140","2019-04-17",11.32
"141","2019-04-18",11.61
"142","2019-04-22",11.66
"143","2019-04-23",11.69
"144","2019-04-24",11.43
"145","2019-04-25",11.33
"146","2019-04-26",11.66
"147","2019-04-29",11.45
"148","2019-04-30",11.37
"149","2019-05-01",11.37
"150","2019-05-02",11.58
"151","2019-05-03",12
"152","2019-05-06",11.53
"153","2019-05-07",11.64
"154","2019-05-08",11.74
"155","2019-05-09",11.56
"156","2019-05-10",11.83
"157","2019-05-13",11.67
"158","2019-05-14",11.89
"159","2019-05-15",11.74
"160","2019-05-16",11.74
"161","2019-05-17",11.69
"162","2019-05-20",11.81
"163","2019-05-21",12.03
"164","2019-05-22",11.89
"165","2019-05-23",12.05
"166","2019-05-24",12.05
"167","2019-05-28",11.99
"168","2019-05-29",11.73
"169","2019-05-30",11.99
"170","2019-05-31",12
"171","2019-06-03",11.97
"172","2019-06-04",12
"173","2019-06-05",11.94
"174","2019-06-06",12
"175","2019-06-07",11.76
"176","2019-06-10",12
"177","2019-06-11",12
"178","2019-06-12",12.02
"179","2019-06-13",12
"180","2019-06-14",11.97
"181","2019-06-17",12.08
"182","2019-06-18",12.08
"183","2019-06-19",11.95
"184","2019-06-20",12.01
"185","2019-06-21",11.84
"186","2019-06-24",11.8
"187","2019-06-25",11.55
"188","2019-06-26",11.58
"189","2019-06-27",11.98
"190","2019-06-28",12.3
"191","2019-07-01",12.3
"192","2019-07-02",12.22
"193","2019-07-03",12.3
"194","2019-07-05",12.38
"195","2019-07-08",12.48
"196","2019-07-09",12.43
"197","2019-07-10",12.31
"198","2019-07-11",12.43
"199","2019-07-12",12.36
"200","2019-07-15",12.43
"201","2019-07-16",12.4
"202","2019-07-17",12.39
"203","2019-07-18",12.34
"204","2019-07-19",12.19
"205","2019-07-22",12.18
"206","2019-07-23",11.8
"207","2019-07-24",12.13
"208","2019-07-25",12.06
"209","2019-07-26",12.13
"210","2019-07-29",12.38
"211","2019-07-30",12.52
"212","2019-07-31",12.74
"213","2019-08-01",12.71
"214","2019-08-02",12.88
"215","2019-08-05",12.63
"216","2019-08-06",12.5
"217","2019-08-07",11.71
"218","2019-08-08",12.18
"219","2019-08-09",11.96
"220","2019-08-12",12.07
"221","2019-08-13",12.39
"222","2019-08-14",11.88
"223","2019-08-15",12.01
"224","2019-08-16",12.2
"225","2019-08-19",12.19
"226","2019-08-20",12.13
"227","2019-08-21",11.72
"228","2019-08-22",11.76
"229","2019-08-23",11.63
"230","2019-08-26",11.94
"231","2019-08-27",11.75
"232","2019-08-28",12.04
"233","2019-08-29",12.05
"234","2019-08-30",12.1
"235","2019-09-03",12
"236","2019-09-04",12.04
"237","2019-09-05",12
"238","2019-09-06",12.05
"239","2019-09-09",12.19
"240","2019-09-10",13.13
"241","2019-09-11",13.22
"242","2019-09-12",13.88
"243","2019-09-13",13.77
"244","2019-09-16",14.13
"245","2019-09-17",14.13
"246","2019-09-18",13.93
"247","2019-09-19",14.15
"248","2019-09-20",14.14
"249","2019-09-23",14.19
"250","2019-09-24",14.05
"251","2019-09-25",14.24
"252","2019-09-26",14.02
"253","2019-09-27",13.74
"254","2019-09-30",13.62
"255","2019-10-01",13.51
"256","2019-10-02",13.25
"257","2019-10-03",13.43
"258","2019-10-04",13.23
"259","2019-10-07",13.1
"260","2019-10-08",13.26
"261","2019-10-09",13.38
"262","2019-10-10",13.14
"263","2019-10-11",13.35
"264","2019-10-14",13.2
"265","2019-10-15",13.15
"266","2019-10-16",13.2
"267","2019-10-17",13.29
"268","2019-10-18",13.24
"269","2019-10-21",13.53
"270","2019-10-22",13.84
"271","2019-10-23",13.75
"272","2019-10-24",13.87
"273","2019-10-25",13.97
"274","2019-10-28",14.17
"275","2019-10-29",14.37
"276","2019-10-30",14.38
"277","2019-10-31",14.49
"278","2019-11-01",14.19
"279","2019-11-04",14.1
"280","2019-11-05",14.39
"281","2019-11-06",14.36
"282","2019-11-07",14.35
"283","2019-11-08",14.3
"284","2019-11-11",14.42
"285","2019-11-12",14.38
"286","2019-11-13",14.24
"287","2019-11-14",14.47
"288","2019-11-15",14.23
"289","2019-11-18",14.28
"290","2019-11-19",14.58
"291","2019-11-20",14.4
"292","2019-11-21",14.28
"293","2019-11-22",14.7
"294","2019-11-25",15.07
"295","2019-11-26",15.05
"296","2019-11-27",15.05
"297","2019-11-29",14.9
"298","2019-12-02",14.75
"299","2019-12-03",14.45
"300","2019-12-04",14.32
"301","2019-12-05",14.29
"302","2019-12-06",14.43
"303","2019-12-09",14.4
"304","2019-12-10",14.38
"305","2019-12-11",14.15
"306","2019-12-12",14.11
"307","2019-12-13",14.65
"308","2019-12-16",14.75
"309","2019-12-17",14.73
"310","2019-12-18",14.8
"311","2019-12-19",14.58
"312","2019-12-20",14.82
"313","2019-12-23",14.73
"314","2019-12-24",14.79
"315","2019-12-26",14.72
"316","2019-12-27",14.7
"317","2019-12-30",14.54
"318","2019-12-31",14.89
"319","2020-01-02",14.84
"320","2020-01-03",14.32
"321","2020-01-06",14.7
"322","2020-01-07",14.71
"323","2020-01-08",14.74
"324","2020-01-09",14.71
"325","2020-01-10",14.88
"326","2020-01-13",14.8
"327","2020-01-14",14.78
"328","2020-01-15",14.77
"329","2020-01-16",14.65
