"","date","GRIL"
"1","2020-02-13",3.86
"2","2020-02-14",3.95
"3","2020-02-18",4.06
"4","2020-02-19",3.66
"5","2020-02-20",3.69
"6","2020-02-21",3.7
"7","2020-02-24",3.65
"8","2020-02-25",3.86
"9","2020-02-26",3.7
"10","2020-02-27",4.33
"11","2020-02-28",4.08
"12","2020-03-02",3.079
"13","2020-03-03",3.39
"14","2020-03-04",3.5
"15","2020-03-05",3.37
"16","2020-03-06",3.24
"17","2020-03-09",2.81
"18","2020-03-10",3.05
"19","2020-03-11",2.89
"20","2020-03-12",2.45
"21","2020-03-13",2.19
"22","2020-03-16",2.38
"23","2020-03-17",3.35
"24","2020-03-18",3.6
"25","2020-03-19",2.76
"26","2020-03-20",2.3
"27","2020-03-23",2.05
"28","2020-03-24",1.94
"29","2020-03-25",1.95
"30","2020-03-26",2.25
"31","2020-03-27",1.95
"32","2020-03-30",1.9
"33","2020-03-31",1.66
"34","2020-04-01",1.7
"35","2020-04-02",1.65
"36","2020-04-03",1.57
"37","2020-04-06",1.74
"38","2020-04-07",1.73
"39","2020-04-08",1.7
"40","2020-04-09",1.65
"41","2020-04-13",1.68
"42","2020-04-14",1.74
"43","2020-04-15",2.02
"44","2020-04-16",1.93
"45","2020-04-17",1.82
"46","2020-04-20",1.87
"47","2020-04-21",1.83
"48","2020-04-22",1.81
"49","2020-04-23",1.82
"50","2020-04-24",1.79
"51","2020-04-27",1.73
"52","2020-04-28",1.75
"53","2020-04-29",1.8
"54","2020-04-30",1.92
"55","2020-05-01",1.76
"56","2020-05-04",1.87
"57","2020-05-05",1.76
"58","2020-05-06",1.74
"59","2020-05-07",1.8
"60","2020-05-08",1.86
"61","2020-05-11",1.779
"62","2020-05-12",1.883
"63","2020-05-13",1.833
"64","2020-05-14",1.76
"65","2020-05-15",1.8
"66","2020-05-18",2.091
"67","2020-05-19",2.02
"68","2020-05-20",1.91
"69","2020-05-21",1.93
"70","2020-05-22",1.92
"71","2020-05-26",1.92
"72","2020-05-27",2.04
"73","2020-05-28",1.96
"74","2020-05-29",1.932
"75","2020-06-01",2.03
"76","2020-06-02",2.21
"77","2020-06-03",2.22
"78","2020-06-04",2.18
"79","2020-06-05",2.272
"80","2020-06-08",2.5
"81","2020-06-09",2.312
"82","2020-06-10",2.26
"83","2020-06-11",2.46
"84","2020-06-12",2.168
"85","2020-06-15",2.31
"86","2020-06-16",2.63
"87","2020-06-17",2.45
"88","2020-06-18",2.5
"89","2020-06-19",2.23
"90","2020-06-22",2.3
