"","date","CLNY"
"1","2014-06-27",18.799999
"2","2014-06-30",17.700001
"3","2014-07-01",19.200001
"4","2014-07-02",18.41
"5","2014-07-03",19.040001
"6","2014-07-07",18.9
"7","2014-07-08",19.459999
"8","2014-07-09",19.799999
"9","2014-07-10",20
"10","2014-07-11",19.950001
"11","2014-07-14",19.940001
"12","2014-07-15",19.25
"13","2014-07-16",18.82
"14","2014-07-17",18.92
"15","2014-07-18",19.32
"16","2014-07-21",18.959999
"17","2014-07-22",18.889999
"18","2014-07-23",18.92
"19","2014-07-24",18.870001
"20","2014-07-25",18.879999
"21","2014-07-28",18.76
"22","2014-07-29",18.75
"23","2014-07-30",18.440001
"24","2014-07-31",17.91
"25","2014-08-01",17.780001
"26","2014-08-04",17.719999
"27","2014-08-05",18.059999
"28","2014-08-06",17.92
"29","2014-08-07",18.200001
"30","2014-08-08",18.33
"31","2014-08-11",18.809999
"32","2014-08-12",18.459999
"33","2014-08-13",18.370001
"34","2014-08-14",18.42
"35","2014-08-15",18.450001
"36","2014-08-18",18.540001
"37","2014-08-19",18.360001
"38","2014-08-20",18.42
"39","2014-08-21",18.709999
"40","2014-08-22",18.6
"41","2014-08-25",18.700001
"42","2014-08-26",18.82
"43","2014-08-27",18.719999
"44","2014-08-28",18.549999
"45","2014-08-29",18.49
"46","2014-09-02",18.75
"47","2014-09-03",18.719999
"48","2014-09-04",19.09
"49","2014-09-05",19.709999
"50","2014-09-08",19.42
"51","2014-09-09",19.66
"52","2014-09-10",19.41
"53","2014-09-11",19.42
"54","2014-09-12",19.15
"55","2014-09-15",18.950001
"56","2014-09-16",18.879999
"57","2014-09-17",18.940001
"58","2014-09-18",18.9
"59","2014-09-19",19
"60","2014-09-22",18.66
"61","2014-09-23",18.43
"62","2014-09-24",18.4
"63","2014-09-25",18.48
"64","2014-09-26",18.66
"65","2014-09-29",18.620001
"66","2014-09-30",18.42
"67","2014-10-01",18.16
"68","2014-10-02",18.219999
"69","2014-10-03",18.66
"70","2014-10-06",18.93
"71","2014-10-07",18.82
"72","2014-10-08",18.92
"73","2014-10-09",18.290001
"74","2014-10-10",17.379999
"75","2014-10-13",16.459999
"76","2014-10-14",16.700001
"77","2014-10-15",16.799999
"78","2014-10-16",16.780001
"79","2014-10-17",17.32
"80","2014-10-20",17.6
"81","2014-10-21",17.719999
"82","2014-10-22",17.459999
"83","2014-10-23",17.559999
"84","2014-10-24",17.76
"85","2014-10-27",17.65
"86","2014-10-28",17.969999
"87","2014-10-29",17.43
"88","2014-10-30",17.5
"89","2014-10-31",18.120001
"90","2014-11-03",17.799999
"91","2014-11-04",17.799999
"92","2014-11-05",18
"93","2014-11-06",19.540001
"94","2014-11-07",20.139999
"95","2014-11-10",20.27
"96","2014-11-11",20.719999
"97","2014-11-12",20.83
"98","2014-11-13",20.59
"99","2014-11-14",20.98
"100","2014-11-17",20.99
"101","2014-11-18",21.42
"102","2014-11-19",20.99
"103","2014-11-20",20.83
"104","2014-11-21",20.85
"105","2014-11-24",21.219999
"106","2014-11-25",21.18
"107","2014-11-26",21.18
"108","2014-11-28",20.950001
"109","2014-12-01",20.450001
"110","2014-12-02",20.879999
"111","2014-12-03",20.75
"112","2014-12-04",21.379999
"113","2014-12-05",21.52
"114","2014-12-08",21.200001
"115","2014-12-09",21.5
