"","date","ZYME"
"1","2017-04-28",13
"2","2017-05-01",13.07
"3","2017-05-02",13.1
"4","2017-05-03",13.28
"5","2017-05-04",13.11
"6","2017-05-05",13.05
"7","2017-05-08",13.03
"8","2017-05-09",13
"9","2017-05-10",13.09
"10","2017-05-11",13.09
"11","2017-05-12",13
"12","2017-05-15",13.11
"13","2017-05-16",13
"14","2017-05-17",13
"15","2017-05-18",13.05
"16","2017-05-19",13.04
"17","2017-05-22",13.06
"18","2017-05-23",13.07
"19","2017-05-24",13.11
"20","2017-05-25",13.07
"21","2017-05-26",12.59
"22","2017-05-30",12.17
"23","2017-05-31",11.73
"24","2017-06-01",10.99
"25","2017-06-02",10.48
"26","2017-06-05",10.43
"27","2017-06-06",9.97
"28","2017-06-07",9.85
"29","2017-06-08",9.62
"30","2017-06-09",9.38
"31","2017-06-12",9.53
"32","2017-06-13",8.88
"33","2017-06-14",8.69
"34","2017-06-15",8.3
"35","2017-06-16",9.51
"36","2017-06-19",9.3
"37","2017-06-20",9.81
"38","2017-06-21",9.54
"39","2017-06-22",9.41
"40","2017-06-23",8.75
"41","2017-06-26",9.21
"42","2017-06-27",8.95
"43","2017-06-28",8.77
"44","2017-06-29",8.39
"45","2017-06-30",8.35
"46","2017-07-03",8.28
"47","2017-07-05",8.48
"48","2017-07-06",8.32
"49","2017-07-07",8.39
"50","2017-07-10",8.47
"51","2017-07-11",8.39
"52","2017-07-12",8.2
"53","2017-07-13",8.21
"54","2017-07-14",8.128
"55","2017-07-17",8.22
"56","2017-07-18",8.08
"57","2017-07-19",8.09
"58","2017-07-20",7.97
"59","2017-07-21",7.93
"60","2017-07-24",7.472
"61","2017-07-25",7.29
"62","2017-07-26",7.11
"63","2017-07-27",7.76
"64","2017-07-28",7.24
"65","2017-07-31",7.33
"66","2017-08-01",7.08
"67","2017-08-02",7.04
"68","2017-08-03",7.12
"69","2017-08-04",6.81
"70","2017-08-07",6.48
"71","2017-08-08",6.71
"72","2017-08-09",7.235
"73","2017-08-10",7.01
"74","2017-08-11",7.09
"75","2017-08-14",7.63
"76","2017-08-15",7.4
"77","2017-08-16",7.64
"78","2017-08-17",6.92
"79","2017-08-18",7.39
"80","2017-08-21",7.1
"81","2017-08-22",7.22
"82","2017-08-23",7.1
"83","2017-08-24",6.91
"84","2017-08-25",7.29
"85","2017-08-28",7.78
"86","2017-08-29",8.38
"87","2017-08-30",8.73
"88","2017-08-31",8.64
"89","2017-09-01",8.21
"90","2017-09-05",8.15
"91","2017-09-06",8.27
"92","2017-09-07",7.7
"93","2017-09-08",8.32
"94","2017-09-11",8.56
"95","2017-09-12",8.23
"96","2017-09-13",8.1
"97","2017-09-14",7.72
"98","2017-09-15",7.65
"99","2017-09-18",7.93
"100","2017-09-19",8.25
"101","2017-09-20",7.93
"102","2017-09-21",8.05
"103","2017-09-22",7.99
"104","2017-09-25",7.95
"105","2017-09-26",7.97
"106","2017-09-27",7.93
"107","2017-09-28",7.95
"108","2017-09-29",7.98
"109","2017-10-02",8.25
"110","2017-10-03",8.44
"111","2017-10-04",8.72
"112","2017-10-05",9.185
"113","2017-10-06",8.8
"114","2017-10-09",8.87
"115","2017-10-10",8.8
"116","2017-10-11",8.78
"117","2017-10-12",8.98
"118","2017-10-13",8.902
"119","2017-10-16",8.97
"120","2017-10-17",9
"121","2017-10-18",9.01
"122","2017-10-19",9
"123","2017-10-20",9
"124","2017-10-23",8.5
"125","2017-10-24",9
"126","2017-10-25",8.34
"127","2017-10-26",8.33
"128","2017-10-27",8.31
"129","2017-10-30",8.39
"130","2017-10-31",8.4
"131","2017-11-01",8.06
"132","2017-11-02",8.06
"133","2017-11-03",8
"134","2017-11-06",7.671
"135","2017-11-07",7.3
"136","2017-11-08",7.1
"137","2017-11-09",7
"138","2017-11-10",6.87
"139","2017-11-13",8.57
"140","2017-11-14",8.75
"141","2017-11-15",8.6
"142","2017-11-16",8.24
"143","2017-11-17",7.6
"144","2017-11-20",7.97
"145","2017-11-21",8.16
"146","2017-11-22",8.27
"147","2017-11-24",8.18
"148","2017-11-27",8.2
"149","2017-11-28",8.25
"150","2017-11-29",8.25
"151","2017-11-30",8.13
"152","2017-12-01",7.88
"153","2017-12-04",7.933
"154","2017-12-05",8.478
"155","2017-12-06",8.79
"156","2017-12-07",8.58
"157","2017-12-08",8.73
"158","2017-12-11",8.5
"159","2017-12-12",8.36
"160","2017-12-13",8.24
"161","2017-12-14",8.13
"162","2017-12-15",7.62
"163","2017-12-18",7.41
"164","2017-12-19",7.47
"165","2017-12-20",7.42
"166","2017-12-21",7.62
"167","2017-12-22",7.5
"168","2017-12-26",7.27
"169","2017-12-27",7.55
"170","2017-12-28",7.553
"171","2017-12-29",7.593
"172","2018-01-02",7.933
"173","2018-01-03",7.965
"174","2018-01-04",8.43
"175","2018-01-05",8.4
"176","2018-01-08",8.31
"177","2018-01-09",8.57
"178","2018-01-10",9.06
"179","2018-01-11",9.49
"180","2018-01-12",9.492
"181","2018-01-16",9.86
"182","2018-01-17",10.28
"183","2018-01-18",9.95
"184","2018-01-19",10.276
"185","2018-01-22",10.04
"186","2018-01-23",11.845
"187","2018-01-24",12.02
"188","2018-01-25",11.88
"189","2018-01-26",13.1
"190","2018-01-29",12.54
"191","2018-01-30",13.09
"192","2018-01-31",13.19
"193","2018-02-01",13.41
"194","2018-02-02",12.88
"195","2018-02-05",12.22
"196","2018-02-06",12.04
"197","2018-02-07",12.08
"198","2018-02-08",12.129
"199","2018-02-09",11.4
"200","2018-02-12",11.22
"201","2018-02-13",10.959
"202","2018-02-14",10.2
"203","2018-02-15",9.85
"204","2018-02-16",9.63
"205","2018-02-20",10.41
"206","2018-02-21",10.45
"207","2018-02-22",10.43
"208","2018-02-23",10.46
"209","2018-02-26",10.53
"210","2018-02-27",10.34
"211","2018-02-28",10.35
"212","2018-03-01",10.421
"213","2018-03-02",9.94
"214","2018-03-05",10.3
"215","2018-03-06",10.39
"216","2018-03-07",10.78
"217","2018-03-08",10.263
"218","2018-03-09",10.339
"219","2018-03-12",10.49
"220","2018-03-13",10.67
"221","2018-03-14",10.68
"222","2018-03-15",11.05
"223","2018-03-16",11.86
"224","2018-03-19",11.84
"225","2018-03-20",12.35
"226","2018-03-21",12.4
"227","2018-03-22",12.18
"228","2018-03-23",11.99
"229","2018-03-26",11.22
"230","2018-03-27",10.58
"231","2018-03-28",11.41
"232","2018-03-29",12.02
"233","2018-04-02",12.07
"234","2018-04-03",11.13
"235","2018-04-04",11.6
"236","2018-04-05",11.9
"237","2018-04-06",11.44
"238","2018-04-09",11.45
"239","2018-04-10",11.91
"240","2018-04-11",12.48
"241","2018-04-12",11.84
"242","2018-04-13",12.15
"243","2018-04-16",12.05
"244","2018-04-17",12.5
"245","2018-04-18",12.455
"246","2018-04-19",12.015
"247","2018-04-20",11.98
"248","2018-04-23",12.14
"249","2018-04-24",12.36
"250","2018-04-25",13.14
"251","2018-04-26",15.25
"252","2018-04-27",16.07
"253","2018-04-30",15.7
"254","2018-05-01",15.9
"255","2018-05-02",15.9
"256","2018-05-03",15.9
"257","2018-05-04",15.98
"258","2018-05-07",14.91
"259","2018-05-08",14.4
"260","2018-05-09",14.5
"261","2018-05-10",14.54
"262","2018-05-11",15.83
"263","2018-05-14",15.84
"264","2018-05-15",16.57
"265","2018-05-16",16.42
"266","2018-05-17",17.34
"267","2018-05-18",17.01
"268","2018-05-21",17.700001
"269","2018-05-22",17.9
"270","2018-05-23",17.799999
"271","2018-05-24",17.91
"272","2018-05-25",20.27
"273","2018-05-29",20.18
"274","2018-05-30",21.6
"275","2018-05-31",20.6
"276","2018-06-01",21.860001
"277","2018-06-04",19.190001
"278","2018-06-05",18.969999
"279","2018-06-06",16.879999
"280","2018-06-07",16.370001
"281","2018-06-08",17.889999
"282","2018-06-11",17.6
"283","2018-06-12",17.200001
"284","2018-06-13",17
"285","2018-06-14",16.52
"286","2018-06-15",16.82
"287","2018-06-18",16.450001
"288","2018-06-19",17.059999
"289","2018-06-20",16.559999
"290","2018-06-21",16.110001
"291","2018-06-22",16.049999
"292","2018-06-25",14.94
"293","2018-06-26",15.36
"294","2018-06-27",14.51
"295","2018-06-28",14.61
"296","2018-06-29",14.78
"297","2018-07-02",15.04
"298","2018-07-03",15.3
"299","2018-07-05",15.34
"300","2018-07-06",15.05
"301","2018-07-09",15.09
"302","2018-07-10",14.88
"303","2018-07-11",14.86
"304","2018-07-12",14.91
"305","2018-07-13",14.93
"306","2018-07-16",14.73
"307","2018-07-17",14.73
"308","2018-07-18",14.3
"309","2018-07-19",13.95
