"","date","INVA"
"1","2007-01-03",25.269943
"2","2007-01-04",25.455278
"3","2007-01-05",25.414988
"4","2007-01-08",25.535858
"5","2007-01-09",25.785656
"6","2007-01-10",25.680902
"7","2007-01-11",25.834005
"8","2007-01-12",27.07494
"9","2007-01-16",28.887993
"10","2007-01-17",28.62208
"11","2007-01-18",27.703465
"12","2007-01-19",28.025785
"13","2007-01-22",27.953264
"14","2007-01-23",28.17083
"15","2007-01-24",28.195004
"16","2007-01-25",27.953264
"17","2007-01-26",27.292505
"18","2007-01-29",27.679291
"19","2007-01-30",27.655117
"20","2007-01-31",27.655117
"21","2007-02-01",28.57373
"22","2007-02-02",28.203062
"23","2007-02-05",28.340048
"24","2007-02-06",28.646254
"25","2007-02-07",29.202257
"26","2007-02-08",29.605158
"27","2007-02-09",28.646254
"28","2007-02-12",28.195004
"29","2007-02-13",27.582594
"30","2007-02-14",27.397261
"31","2007-02-15",26.921837
"32","2007-02-16",26.817083
"33","2007-02-20",26.583401
"34","2007-02-21",27.961321
"35","2007-02-22",27.381144
"36","2007-02-23",27.308622
"37","2007-02-26",26.825142
"38","2007-02-27",26.406124
"39","2007-02-28",25.987106
"40","2007-03-01",25.664787
"41","2007-03-02",24.88316
"42","2007-03-05",25.012087
"43","2007-03-06",24.971796
"44","2007-03-07",24.762289
"45","2007-03-08",24.673651
"46","2007-03-09",24.649477
"47","2007-03-12",24.83481
"48","2007-03-13",24.246574
"49","2007-03-14",24.174053
"50","2007-03-15",24.512489
"51","2007-03-16",24.174053
"52","2007-03-19",23.972603
"53","2007-03-20",23.972603
"54","2007-03-21",24.061241
"55","2007-03-22",23.988718
"56","2007-03-23",24.02095
"57","2007-03-26",23.755035
"58","2007-03-27",23.626108
"59","2007-03-28",23.545528
"60","2007-03-29",23.634167
"61","2007-03-30",23.771152
"62","2007-04-02",23.932312
"63","2007-04-03",23.158743
"64","2007-04-04",23.787268
"65","2007-04-05",24.174053
"66","2007-04-09",24.560839
"67","2007-04-10",25.688961
"68","2007-04-11",25.600323
"69","2007-04-12",26.067688
"70","2007-04-13",26.116035
"71","2007-04-16",26.301371
"72","2007-04-17",26.132151
