"","date","ACC"
"1","2007-01-03",29
"2","2007-01-04",29.25
"3","2007-01-05",28.91
"4","2007-01-08",28.82
"5","2007-01-09",29.440001
"6","2007-01-10",29.4
"7","2007-01-11",29.51
"8","2007-01-12",29.469999
"9","2007-01-16",29.9
"10","2007-01-17",30.440001
"11","2007-01-18",30.120001
"12","2007-01-19",31.360001
"13","2007-01-22",30.870001
"14","2007-01-23",30.889999
"15","2007-01-24",31
"16","2007-01-25",30.98
"17","2007-01-26",31
"18","2007-01-29",31.110001
"19","2007-01-30",31.299999
"20","2007-01-31",31.870001
"21","2007-02-01",32.049999
"22","2007-02-02",32.259998
"23","2007-02-05",32.09
"24","2007-02-06",32.389999
"25","2007-02-07",32.299999
"26","2007-02-08",32.34
"27","2007-02-09",32.16
"28","2007-02-12",31.48
"29","2007-02-13",32.200001
"30","2007-02-14",31.530001
"31","2007-02-15",31.84
"32","2007-02-16",31.93
"33","2007-02-20",32.080002
"34","2007-02-21",31.59
"35","2007-02-22",31.76
"36","2007-02-23",31.59
"37","2007-02-26",31.299999
"38","2007-02-27",30.16
"39","2007-02-28",30.25
"40","2007-03-01",30.77
"41","2007-03-02",29.959999
"42","2007-03-05",28.59
"43","2007-03-06",29.52
"44","2007-03-07",29.190001
"45","2007-03-08",29.67
"46","2007-03-09",30.190001
"47","2007-03-12",30.9
"48","2007-03-13",30.360001
"49","2007-03-14",30.65
"50","2007-03-15",30.940001
"51","2007-03-16",30.43
"52","2007-03-19",30.33
"53","2007-03-20",30.549999
"54","2007-03-21",31.030001
"55","2007-03-22",31.17
"56","2007-03-23",31.030001
"57","2007-03-26",30.780001
"58","2007-03-27",30.27
"59","2007-03-28",29.950001
"60","2007-03-29",29.620001
"61","2007-03-30",30.290001
"62","2007-04-02",30.49
"63","2007-04-03",30.690001
"64","2007-04-04",30.57
"65","2007-04-05",30.379999
"66","2007-04-09",30.040001
"67","2007-04-10",29.91
"68","2007-04-11",29.780001
"69","2007-04-12",29.790001
"70","2007-04-13",29.77
"71","2007-04-16",30.42
"72","2007-04-17",30.700001
"73","2007-04-18",30.540001
"74","2007-04-19",30.15
"75","2007-04-20",30.26
"76","2007-04-23",30.82
"77","2007-04-24",30.780001
"78","2007-04-25",30.9
"79","2007-04-26",30.98
"80","2007-04-27",31.030001
"81","2007-04-30",30.620001
"82","2007-05-01",29.219999
"83","2007-05-02",29.719999
"84","2007-05-03",29.57
"85","2007-05-04",29.5
"86","2007-05-07",29.299999
"87","2007-05-08",29.32
"88","2007-05-09",29.469999
"89","2007-05-10",28.719999
"90","2007-05-11",29.18
"91","2007-05-14",28.58
"92","2007-05-15",28.719999
"93","2007-05-16",28.5
"94","2007-05-17",27.860001
"95","2007-05-18",27.4
"96","2007-05-21",27.92
"97","2007-05-22",27.690001
"98","2007-05-23",27.93
"99","2007-05-24",27.799999
"100","2007-05-25",27.83
"101","2007-05-29",28.34
"102","2007-05-30",28.9
"103","2007-05-31",29.42
"104","2007-06-01",29.6
"105","2007-06-04",29.709999
"106","2007-06-05",29.559999
"107","2007-06-06",29.6
"108","2007-06-07",28.950001
"109","2007-06-08",29.190001
"110","2007-06-11",29
"111","2007-06-12",28.49
"112","2007-06-13",28.799999
"113","2007-06-14",28.35
"114","2007-06-15",28.9
"115","2007-06-18",28.719999
"116","2007-06-19",29.040001
"117","2007-06-20",28.299999
"118","2007-06-21",28.1
"119","2007-06-22",28.040001
"120","2007-06-25",27.629999
"121","2007-06-26",27.57
"122","2007-06-27",28.049999
"123","2007-06-28",28.08
"124","2007-06-29",28.290001
"125","2007-07-02",28.870001
"126","2007-07-03",28.92
"127","2007-07-05",29.25
"128","2007-07-06",29.360001
"129","2007-07-09",29.360001
"130","2007-07-10",28.950001
"131","2007-07-11",28.41
"132","2007-07-12",28.440001
"133","2007-07-13",28.870001
"134","2007-07-16",28.790001
"135","2007-07-17",28.34
"136","2007-07-18",28.07
"137","2007-07-19",28.200001
"138","2007-07-20",27.75
"139","2007-07-23",27.030001
"140","2007-07-24",26.6
"141","2007-07-25",26.9
"142","2007-07-26",26.41
"143","2007-07-27",25.02
"144","2007-07-30",24.67
"145","2007-07-31",25.549999
"146","2007-08-01",25.5
"147","2007-08-02",25.780001
"148","2007-08-03",25.67
"149","2007-08-06",25.93
"150","2007-08-07",26.5
"151","2007-08-08",27.700001
"152","2007-08-09",26.65
"153","2007-08-10",26.85
"154","2007-08-13",26.709999
"155","2007-08-14",26
"156","2007-08-15",26
"157","2007-08-16",25.700001
"158","2007-08-17",27
"159","2007-08-20",28
"160","2007-08-21",27.9
"161","2007-08-22",28.09
"162","2007-08-23",27.719999
"163","2007-08-24",27.93
"164","2007-08-27",27.719999
"165","2007-08-28",26.92
"166","2007-08-29",27.370001
"167","2007-08-30",27.42
"168","2007-08-31",28.34
"169","2007-09-04",28.27
"170","2007-09-05",27.879999
"171","2007-09-06",27.82
"172","2007-09-07",27.290001
"173","2007-09-10",27.540001
"174","2007-09-11",27.780001
"175","2007-09-12",27.870001
