"","date","TXRH"
"1","2007-01-03",12.93
"2","2007-01-04",12.98
"3","2007-01-05",12.77
"4","2007-01-08",12.59
"5","2007-01-09",13
"6","2007-01-10",13.42
"7","2007-01-11",13.58
"8","2007-01-12",13.65
"9","2007-01-16",13.34
"10","2007-01-17",13.52
"11","2007-01-18",13.37
"12","2007-01-19",13.33
"13","2007-01-22",12.91
"14","2007-01-23",13.32
"15","2007-01-24",13.61
"16","2007-01-25",13.51
"17","2007-01-26",13.56
"18","2007-01-29",13.32
"19","2007-01-30",13.5
"20","2007-01-31",13.54
"21","2007-02-01",13.58
"22","2007-02-02",13.56
"23","2007-02-05",13.41
"24","2007-02-06",13.59
"25","2007-02-07",13.88
"26","2007-02-08",13.78
"27","2007-02-09",13.52
"28","2007-02-12",13.33
"29","2007-02-13",13.88
"30","2007-02-14",13.92
"31","2007-02-15",13.75
"32","2007-02-16",14.21
"33","2007-02-20",14.25
"34","2007-02-21",15.78
"35","2007-02-22",16.02
"36","2007-02-23",15.74
"37","2007-02-26",15.35
"38","2007-02-27",14.89
"39","2007-02-28",14.65
"40","2007-03-01",14.89
"41","2007-03-02",14.53
"42","2007-03-05",14.37
"43","2007-03-06",14.8
"44","2007-03-07",14.59
"45","2007-03-08",14.8
"46","2007-03-09",14.96
"47","2007-03-12",15.28
"48","2007-03-13",14.61
"49","2007-03-14",14.72
"50","2007-03-15",14.9
"51","2007-03-16",14.35
"52","2007-03-19",14.92
"53","2007-03-20",14.55
"54","2007-03-21",14.59
"55","2007-03-22",14.59
"56","2007-03-23",14.67
"57","2007-03-26",14.38
"58","2007-03-27",14.59
"59","2007-03-28",14.3
"60","2007-03-29",14.18
"61","2007-03-30",14.25
"62","2007-04-02",14.14
"63","2007-04-03",14.73
"64","2007-04-04",14.41
"65","2007-04-05",14.3
"66","2007-04-09",14.45
"67","2007-04-10",14.59
"68","2007-04-11",14.2
"69","2007-04-12",14.13
"70","2007-04-13",14.1
"71","2007-04-16",14.21
"72","2007-04-17",14.25
"73","2007-04-18",14.19
"74","2007-04-19",14.17
"75","2007-04-20",14.42
"76","2007-04-23",14.64
"77","2007-04-24",14.54
"78","2007-04-25",14.97
"79","2007-04-26",15
"80","2007-04-27",15
"81","2007-04-30",14.62
"82","2007-05-01",15.16
"83","2007-05-02",15.28
"84","2007-05-03",15.63
"85","2007-05-04",15.47
"86","2007-05-07",15.6
"87","2007-05-08",15.54
"88","2007-05-09",15.49
"89","2007-05-10",15.13
"90","2007-05-11",15.15
"91","2007-05-14",14.8
"92","2007-05-15",14.25
"93","2007-05-16",14.23
"94","2007-05-17",13.93
"95","2007-05-18",14.08
"96","2007-05-21",14.19
"97","2007-05-22",14.06
"98","2007-05-23",14.07
"99","2007-05-24",13.69
"100","2007-05-25",13.88
"101","2007-05-29",13.81
"102","2007-05-30",14.09
"103","2007-05-31",13.85
"104","2007-06-01",14.03
"105","2007-06-04",14.38
"106","2007-06-05",14.21
"107","2007-06-06",13.87
"108","2007-06-07",13.34
"109","2007-06-08",13.41
"110","2007-06-11",13.49
"111","2007-06-12",13.12
"112","2007-06-13",13.53
"113","2007-06-14",13.72
"114","2007-06-15",13.72
"115","2007-06-18",13.71
"116","2007-06-19",13.41
"117","2007-06-20",12.96
"118","2007-06-21",12.75
"119","2007-06-22",12.6
"120","2007-06-25",12.6
"121","2007-06-26",12.65
"122","2007-06-27",13.37
"123","2007-06-28",13.24
"124","2007-06-29",12.79
"125","2007-07-02",12.81
"126","2007-07-03",12.78
"127","2007-07-05",12.56
"128","2007-07-06",13.4
"129","2007-07-09",13.21
"130","2007-07-10",13.35
"131","2007-07-11",13.63
"132","2007-07-12",13.79
"133","2007-07-13",13.85
"134","2007-07-16",13.63
"135","2007-07-17",13.25
"136","2007-07-18",13.3
"137","2007-07-19",13.01
"138","2007-07-20",12.78
"139","2007-07-23",13.07
"140","2007-07-24",12.95
"141","2007-07-25",12.98
"142","2007-07-26",12.93
"143","2007-07-27",12.83
"144","2007-07-30",12.56
"145","2007-07-31",11.87
"146","2007-08-01",11.7
"147","2007-08-02",11.87
"148","2007-08-03",11.7
"149","2007-08-06",12.42
"150","2007-08-07",12.25
"151","2007-08-08",12.47
"152","2007-08-09",13.1
"153","2007-08-10",12.97
"154","2007-08-13",12.44
"155","2007-08-14",12.15
"156","2007-08-15",12.23
"157","2007-08-16",13.26
"158","2007-08-17",13.77
"159","2007-08-20",13.51
"160","2007-08-21",13.2
"161","2007-08-22",13.22
"162","2007-08-23",12.89
"163","2007-08-24",12.87
"164","2007-08-27",12.71
"165","2007-08-28",12.43
"166","2007-08-29",12.59
"167","2007-08-30",12.46
"168","2007-08-31",12.81
"169","2007-09-04",12.9
"170","2007-09-05",12.69
"171","2007-09-06",12.55
"172","2007-09-07",12.18
"173","2007-09-10",12
"174","2007-09-11",12.23
"175","2007-09-12",12.02
"176","2007-09-13",12.09
"177","2007-09-14",12
"178","2007-09-17",11.62
"179","2007-09-18",12.21
"180","2007-09-19",12.59
"181","2007-09-20",12.1
"182","2007-09-21",12.25
"183","2007-09-24",12.22
"184","2007-09-25",11.65
"185","2007-09-26",11.91
"186","2007-09-27",12.01
"187","2007-09-28",11.7
"188","2007-10-01",12.06
"189","2007-10-02",11.99
"190","2007-10-03",11.81
"191","2007-10-04",11.98
"192","2007-10-05",11.94
"193","2007-10-08",11.55
"194","2007-10-09",11.53
"195","2007-10-10",11.5
"196","2007-10-11",10.91
"197","2007-10-12",11.19
"198","2007-10-15",10.64
"199","2007-10-16",10.85
"200","2007-10-17",11.21
"201","2007-10-18",11.4
"202","2007-10-19",11.25
"203","2007-10-22",11.7
"204","2007-10-23",11.66
"205","2007-10-24",11.4
"206","2007-10-25",11.01
"207","2007-10-26",10.97
"208","2007-10-29",10.78
"209","2007-10-30",12.46
"210","2007-10-31",12.67
"211","2007-11-01",11.93
"212","2007-11-02",12.18
"213","2007-11-05",11.97
"214","2007-11-06",12.49
"215","2007-11-07",11.81
"216","2007-11-08",12.03
"217","2007-11-09",11.86
"218","2007-11-12",11.83
"219","2007-11-13",12.19
"220","2007-11-14",11.83
"221","2007-11-15",11.9
"222","2007-11-16",12.28
"223","2007-11-19",12.11
"224","2007-11-20",12
"225","2007-11-21",12.02
"226","2007-11-23",12.31
"227","2007-11-26",12.12
"228","2007-11-27",11.98
"229","2007-11-28",12.69
"230","2007-11-29",13.01
"231","2007-11-30",12.59
"232","2007-12-03",12.41
"233","2007-12-04",11.98
"234","2007-12-05",12.43
"235","2007-12-06",12.75
"236","2007-12-07",12.84
"237","2007-12-10",13.18
"238","2007-12-11",13.1
"239","2007-12-12",12.89
"240","2007-12-13",12.48
"241","2007-12-14",12.19
"242","2007-12-17",12.15
"243","2007-12-18",12.51
"244","2007-12-19",11.89
"245","2007-12-20",11.47
"246","2007-12-21",11.03
"247","2007-12-24",11.32
"248","2007-12-26",11.19
"249","2007-12-27",10.92
"250","2007-12-28",11.01
"251","2007-12-31",11.06
"252","2008-01-02",10.63
"253","2008-01-03",10.26
"254","2008-01-04",10.32
"255","2008-01-07",10.53
"256","2008-01-08",10.15
"257","2008-01-09",10.23
"258","2008-01-10",10.17
"259","2008-01-11",9.77
"260","2008-01-14",9.7
"261","2008-01-15",9.39
"262","2008-01-16",9.25
"263","2008-01-17",9.74
"264","2008-01-18",9.33
"265","2008-01-22",9.55
"266","2008-01-23",11.03
"267","2008-01-24",10.82
"268","2008-01-25",10.9
"269","2008-01-28",11.11
"270","2008-01-29",11.79
"271","2008-01-30",11.77
"272","2008-01-31",12.07
"273","2008-02-01",12.2
"274","2008-02-04",12.09
"275","2008-02-05",11.48
"276","2008-02-06",10.85
"277","2008-02-07",11.28
"278","2008-02-08",10.56
"279","2008-02-11",11.07
"280","2008-02-12",11.23
"281","2008-02-13",11.74
"282","2008-02-14",11.13
"283","2008-02-15",11.14
"284","2008-02-19",10.67
"285","2008-02-20",9.96
"286","2008-02-21",9.64
"287","2008-02-22",9.74
"288","2008-02-25",9.57
"289","2008-02-26",9.82
"290","2008-02-27",9.45
"291","2008-02-28",9.39
"292","2008-02-29",9.3
"293","2008-03-03",9.35
"294","2008-03-04",9.21
"295","2008-03-05",9.64
"296","2008-03-06",9.23
"297","2008-03-07",9.15
"298","2008-03-10",9.06
"299","2008-03-11",9.2
"300","2008-03-12",9.27
"301","2008-03-13",9.72
"302","2008-03-14",9.55
"303","2008-03-17",9.58
"304","2008-03-18",9.93
"305","2008-03-19",9.89
"306","2008-03-20",10.45
"307","2008-03-24",10.9
"308","2008-03-25",10.87
"309","2008-03-26",10.47
"310","2008-03-27",10.1
"311","2008-03-28",9.65
"312","2008-03-31",9.8
"313","2008-04-01",10.5
"314","2008-04-02",10.84
"315","2008-04-03",10.8
"316","2008-04-04",10.54
"317","2008-04-07",10.18
"318","2008-04-08",10.14
"319","2008-04-09",9.88
"320","2008-04-10",10.2
"321","2008-04-11",9.79
"322","2008-04-14",9.58
"323","2008-04-15",9.64
"324","2008-04-16",9.95
"325","2008-04-17",9.72
"326","2008-04-18",10.03
"327","2008-04-21",10.12
"328","2008-04-22",9.97
"329","2008-04-23",9.99
"330","2008-04-24",10.38
"331","2008-04-25",10.46
"332","2008-04-28",10.43
"333","2008-04-29",11.72
"334","2008-04-30",11.8
"335","2008-05-01",12.08
"336","2008-05-02",11.83
"337","2008-05-05",11.83
"338","2008-05-06",11.6
"339","2008-05-07",11.24
"340","2008-05-08",11.13
"341","2008-05-09",11.07
"342","2008-05-12",11.27
"343","2008-05-13",11.48
"344","2008-05-14",11.49
"345","2008-05-15",11.45
"346","2008-05-16",11.38
"347","2008-05-19",11.31
"348","2008-05-20",10.97
"349","2008-05-21",10.8
"350","2008-05-22",11
"351","2008-05-23",10.67
"352","2008-05-27",10.91
"353","2008-05-28",10.97
"354","2008-05-29",11.13
"355","2008-05-30",11.03
"356","2008-06-02",10.48
"357","2008-06-03",10.35
"358","2008-06-04",10.44
"359","2008-06-05",10.8
"360","2008-06-06",10.37
"361","2008-06-09",10.03
"362","2008-06-10",9.83
"363","2008-06-11",9.59
"364","2008-06-12",9.61
"365","2008-06-13",9.36
"366","2008-06-16",9.4
"367","2008-06-17",9.3
"368","2008-06-18",9.26
"369","2008-06-19",9.24
"370","2008-06-20",9.1
"371","2008-06-23",9.02
