"","date","NGVC"
"1","2012-07-25",17.860001
"2","2012-07-26",19.25
"3","2012-07-27",19.9
"4","2012-07-30",20
"5","2012-07-31",20.280001
"6","2012-08-01",19.74
"7","2012-08-02",19.370001
"8","2012-08-03",19.77
"9","2012-08-06",19.860001
"10","2012-08-07",19.690001
"11","2012-08-08",19.02
"12","2012-08-09",18.540001
"13","2012-08-10",19.049999
"14","2012-08-13",18.77
"15","2012-08-14",18.700001
"16","2012-08-15",18.450001
"17","2012-08-16",18.719999
"18","2012-08-17",18.57
"19","2012-08-20",18.690001
"20","2012-08-21",18.48
"21","2012-08-22",18.42
"22","2012-08-23",18.700001
"23","2012-08-24",19.58
"24","2012-08-27",20.93
"25","2012-08-28",20.709999
"26","2012-08-29",20.5
"27","2012-08-30",21.540001
"28","2012-08-31",21.48
"29","2012-09-04",21.49
"30","2012-09-05",21.41
"31","2012-09-06",21.15
"32","2012-09-07",20.940001
"33","2012-09-10",20.610001
"34","2012-09-11",20.6
"35","2012-09-12",19.76
"36","2012-09-13",20.9
"37","2012-09-14",21.110001
"38","2012-09-17",22.09
"39","2012-09-18",22.440001
"40","2012-09-19",22.700001
"41","2012-09-20",22.190001
"42","2012-09-21",22.84
"43","2012-09-24",22.74
"44","2012-09-25",22.059999
"45","2012-09-26",22.43
"46","2012-09-27",22.190001
"47","2012-09-28",22.32
"48","2012-10-01",23.43
"49","2012-10-02",23.49
"50","2012-10-03",24.75
"51","2012-10-04",24.65
"52","2012-10-05",24.030001
"53","2012-10-08",23.379999
"54","2012-10-09",22.059999
"55","2012-10-10",22.379999
"56","2012-10-11",22.5
"57","2012-10-12",22.4
"58","2012-10-15",22.389999
"59","2012-10-16",22.049999
"60","2012-10-17",22
"61","2012-10-18",21.82
"62","2012-10-19",21.42
"63","2012-10-22",20.190001
"64","2012-10-23",20.540001
"65","2012-10-24",19.959999
"66","2012-10-25",20.110001
"67","2012-10-26",20.32
"68","2012-10-31",20.280001
"69","2012-11-01",20.41
"70","2012-11-02",19.75
"71","2012-11-05",19.15
"72","2012-11-06",19.280001
"73","2012-11-07",18.59
"74","2012-11-08",18.68
"75","2012-11-09",18.120001
"76","2012-11-12",18.26
