"","date","NH"
"1","2016-06-02",18.59
"2","2016-06-03",18.540001
"3","2016-06-06",16.41
"4","2016-06-07",15.64
"5","2016-06-08",15.8
"6","2016-06-09",15.5
"7","2016-06-10",14.25
"8","2016-06-13",14
"9","2016-06-14",14.01
"10","2016-06-15",14.05
"11","2016-06-16",14.01
"12","2016-06-17",14.1
"13","2016-06-20",14.04
"14","2016-06-21",14.02
"15","2016-06-22",14.09
"16","2016-06-23",14.03
"17","2016-06-24",12.71
"18","2016-06-27",12.95
"19","2016-06-28",13.22
"20","2016-06-29",12.62
"21","2016-06-30",12.5
"22","2016-07-01",12.87
"23","2016-07-05",13.51
"24","2016-07-06",13.74
"25","2016-07-07",13.99
"26","2016-07-08",13.67
"27","2016-07-11",12.91
"28","2016-07-12",12.72
"29","2016-07-13",12.82
"30","2016-07-14",12.64
"31","2016-07-15",12.46
"32","2016-07-18",12.55
"33","2016-07-19",11.44
"34","2016-07-20",11.15
"35","2016-07-21",11.15
"36","2016-07-22",11.27
"37","2016-07-25",10.65
"38","2016-07-26",10.71
"39","2016-07-27",10.42
"40","2016-07-28",10.11
"41","2016-07-29",10.1
"42","2016-08-01",9.98
"43","2016-08-02",9.99
"44","2016-08-03",9.98
"45","2016-08-04",10.05
"46","2016-08-05",10.08
"47","2016-08-08",9.96
"48","2016-08-09",9.97
"49","2016-08-10",10.4
"50","2016-08-11",10.6
"51","2016-08-12",11.5
"52","2016-08-15",11.86
"53","2016-08-16",11.73
"54","2016-08-17",12.44
"55","2016-08-18",12.7
"56","2016-08-19",12.79
"57","2016-08-22",12.32
"58","2016-08-23",12.76
"59","2016-08-24",12.11
"60","2016-08-25",12.26
"61","2016-08-26",12.39
"62","2016-08-29",12.61
"63","2016-08-30",13.22
"64","2016-08-31",13.11
"65","2016-09-01",12.465
"66","2016-09-02",12.52
"67","2016-09-06",12.47
"68","2016-09-07",12.81
"69","2016-09-08",13.25
"70","2016-09-09",13.18
"71","2016-09-12",13.205
"72","2016-09-13",13
"73","2016-09-14",13.2
"74","2016-09-15",15.35
"75","2016-09-16",14.5
"76","2016-09-19",13.62
"77","2016-09-20",13.21
"78","2016-09-21",13.51
"79","2016-09-22",13.76
"80","2016-09-23",13.41
"81","2016-09-26",12.85
"82","2016-09-27",12.78
"83","2016-09-28",13.72
"84","2016-09-29",13.42
"85","2016-09-30",13.15
"86","2016-10-03",13.22
"87","2016-10-04",13.06
"88","2016-10-05",13.09
"89","2016-10-06",13.07
"90","2016-10-07",13.41
"91","2016-10-10",13.33
"92","2016-10-11",13.67
"93","2016-10-12",13.22
"94","2016-10-13",12.84
"95","2016-10-14",12.79
"96","2016-10-17",12.85
"97","2016-10-18",13.69
"98","2016-10-19",13.62
"99","2016-10-20",13.68
"100","2016-10-21",13.45
"101","2016-10-24",13.25
"102","2016-10-25",13.14
"103","2016-10-26",13.03
"104","2016-10-27",12.92
"105","2016-10-28",13.01
"106","2016-10-31",13.13
"107","2016-11-01",12.86
"108","2016-11-02",12.46
"109","2016-11-03",11.05
"110","2016-11-04",11.1
"111","2016-11-07",11.17
"112","2016-11-08",10.09
"113","2016-11-09",10.1
"114","2016-11-10",10.5
"115","2016-11-11",11.04
"116","2016-11-14",11.55
"117","2016-11-15",11.75
"118","2016-11-16",11.77
"119","2016-11-17",11.98
"120","2016-11-18",11.72
"121","2016-11-21",11.98
"122","2016-11-22",11.98
"123","2016-11-23",12.24
"124","2016-11-25",12.54
"125","2016-11-28",12.99
"126","2016-11-29",11.94
"127","2016-11-30",11.53
"128","2016-12-01",11.32
"129","2016-12-02",10.6
"130","2016-12-05",9.97
"131","2016-12-06",9.92
"132","2016-12-07",9.91
"133","2016-12-08",10
"134","2016-12-09",10.48
"135","2016-12-12",10.58
"136","2016-12-13",10.86
"137","2016-12-14",11.61
"138","2016-12-15",9.71
"139","2016-12-16",10.345
"140","2016-12-19",10.37
"141","2016-12-20",11.14
"142","2016-12-21",11.69
"143","2016-12-22",10.57
"144","2016-12-23",10.96
"145","2016-12-27",10.86
"146","2016-12-28",10.38
"147","2016-12-29",10.09
"148","2016-12-30",9.94
"149","2017-01-03",9.83
"150","2017-01-04",10.31
"151","2017-01-05",10.27
"152","2017-01-06",10.56
"153","2017-01-09",10.07
"154","2017-01-10",10.16
"155","2017-01-11",9.93
"156","2017-01-12",9.88
"157","2017-01-13",10
"158","2017-01-17",9.76
"159","2017-01-18",9.87
"160","2017-01-19",9.56
"161","2017-01-20",9.57
"162","2017-01-23",9.51
"163","2017-01-24",9.55
"164","2017-01-25",9.6
"165","2017-01-26",9.4
"166","2017-01-27",9.11
"167","2017-01-30",8.25
"168","2017-01-31",8.14
"169","2017-02-01",8.08
"170","2017-02-02",7.98
"171","2017-02-03",7.95
"172","2017-02-06",7.58
"173","2017-02-07",7.66
"174","2017-02-08",7.59
"175","2017-02-09",7.8
"176","2017-02-10",7.89
"177","2017-02-13",7.95
"178","2017-02-14",7.84
"179","2017-02-15",7.95
"180","2017-02-16",7.8
"181","2017-02-17",7.84
"182","2017-02-21",7.76
"183","2017-02-22",7.7
"184","2017-02-23",7.62
"185","2017-02-24",7.54
"186","2017-02-27",7.74
"187","2017-02-28",7.57
"188","2017-03-01",7.64
"189","2017-03-02",7.57
"190","2017-03-03",7.17
"191","2017-03-06",5.5
"192","2017-03-07",4.94
"193","2017-03-08",4.64
"194","2017-03-09",4.55
"195","2017-03-10",4.33
"196","2017-03-13",4.1
"197","2017-03-14",4.11
"198","2017-03-15",4.21
"199","2017-03-16",5.06
"200","2017-03-17",5.51
"201","2017-03-20",5.52
"202","2017-03-21",5.1
"203","2017-03-22",5.07
"204","2017-03-23",4.76
"205","2017-03-24",4.75
"206","2017-03-27",4.7
"207","2017-03-28",4.72
"208","2017-03-29",4.96
"209","2017-03-30",5.09
"210","2017-03-31",4.96
"211","2017-04-03",5.31
"212","2017-04-04",5.22
"213","2017-04-05",5.45
"214","2017-04-06",5.42
"215","2017-04-07",5.2
"216","2017-04-10",4.45
"217","2017-04-11",4.24
"218","2017-04-12",4.06
"219","2017-04-13",3.86
"220","2017-04-17",3.64
"221","2017-04-18",3.48
"222","2017-04-19",3.52
"223","2017-04-20",3.49
"224","2017-04-21",3.3
"225","2017-04-24",3.2
"226","2017-04-25",3.53
"227","2017-04-26",3.24
"228","2017-04-27",3.32
"229","2017-04-28",3.11
"230","2017-05-01",2.98
"231","2017-05-02",3.12
"232","2017-05-03",3.12
"233","2017-05-04",3.12
"234","2017-05-05",3.17
"235","2017-05-08",3.24
"236","2017-05-09",3.24
"237","2017-05-10",3.44
"238","2017-05-11",3.36
"239","2017-05-12",3.22
"240","2017-05-15",3.17
"241","2017-05-16",3.21
"242","2017-05-17",3.05
"243","2017-05-18",3.2
"244","2017-05-19",3.08
"245","2017-05-22",3.17
"246","2017-05-23",3.19
"247","2017-05-24",3.17
"248","2017-05-25",3.09
"249","2017-05-26",3.07
"250","2017-05-30",3.15
"251","2017-05-31",3.09
"252","2017-06-01",3.42
"253","2017-06-02",3.48
"254","2017-06-05",3.19
"255","2017-06-06",3.13
"256","2017-06-07",3.58
"257","2017-06-08",3.4
"258","2017-06-09",3.39
