"","date","RST"
"1","2009-04-16",25.120001
"2","2009-04-17",28.25
"3","2009-04-20",27.299999
"4","2009-04-21",26.940001
"5","2009-04-22",26.18
"6","2009-04-23",25.6
"7","2009-04-24",26.129999
"8","2009-04-27",25.700001
"9","2009-04-28",26.450001
"10","2009-04-29",26.85
"11","2009-04-30",29.950001
"12","2009-05-01",29.83
"13","2009-05-04",31.02
"14","2009-05-05",31.67
"15","2009-05-06",30.02
"16","2009-05-07",28.290001
"17","2009-05-08",28.959999
"18","2009-05-11",29.469999
"19","2009-05-12",26.799999
"20","2009-05-13",22.5
"21","2009-05-14",22.1
"22","2009-05-15",23.82
"23","2009-05-18",24.200001
"24","2009-05-19",25.01
"25","2009-05-20",25
"26","2009-05-21",23.139999
"27","2009-05-22",24.23
"28","2009-05-26",23.700001
"29","2009-05-27",22.83
"30","2009-05-28",22.299999
"31","2009-05-29",24.110001
"32","2009-06-01",24.049999
"33","2009-06-02",23.92
"34","2009-06-03",23.41
"35","2009-06-04",23.549999
"36","2009-06-05",23.98
"37","2009-06-08",23.51
"38","2009-06-09",23.6
"39","2009-06-10",23.76
"40","2009-06-11",26.51
"41","2009-06-12",26.98
"42","2009-06-15",25.26
"43","2009-06-16",24.82
"44","2009-06-17",25.629999
"45","2009-06-18",25.879999
"46","2009-06-19",26.5
"47","2009-06-22",25.24
"48","2009-06-23",24.309999
"49","2009-06-24",24.83
"50","2009-06-25",25.76
"51","2009-06-26",27.200001
"52","2009-06-29",27.6
"53","2009-06-30",27.440001
"54","2009-07-01",27.379999
"55","2009-07-02",27
"56","2009-07-06",26.799999
"57","2009-07-07",26.08
"58","2009-07-08",25.48
"59","2009-07-09",26.1
"60","2009-07-10",26.23
"61","2009-07-13",25.99
"62","2009-07-14",25.959999
"63","2009-07-15",26.709999
"64","2009-07-16",26.76
"65","2009-07-17",27.58
"66","2009-07-20",27.84
"67","2009-07-21",27.200001
"68","2009-07-22",26.82
"69","2009-07-23",26.889999
"70","2009-07-24",26.91
"71","2009-07-27",25.889999
"72","2009-07-28",25.74
"73","2009-07-29",25.99
"74","2009-07-30",27.309999
"75","2009-07-31",30.690001
"76","2009-08-03",30.32
"77","2009-08-04",29.959999
"78","2009-08-05",29.75
"79","2009-08-06",29.67
"80","2009-08-07",29.860001
"81","2009-08-10",29.91
"82","2009-08-11",28.889999
"83","2009-08-12",28.68
"84","2009-08-13",28.09
"85","2009-08-14",28.35
"86","2009-08-17",20.629999
"87","2009-08-18",20.91
"88","2009-08-19",20.35
"89","2009-08-20",20.75
"90","2009-08-21",20.870001
"91","2009-08-24",21.379999
"92","2009-08-25",21.6
"93","2009-08-26",21.889999
"94","2009-08-27",22.110001
"95","2009-08-28",22.58
"96","2009-08-31",22.049999
"97","2009-09-01",21.58
"98","2009-09-02",22.6
"99","2009-09-03",22.870001
"100","2009-09-04",22.860001
"101","2009-09-08",22.719999
"102","2009-09-09",23.120001
"103","2009-09-10",23.32
"104","2009-09-11",23.129999
"105","2009-09-14",22.91
"106","2009-09-15",22.59
"107","2009-09-16",22.799999
"108","2009-09-17",22.639999
"109","2009-09-18",22.620001
"110","2009-09-21",23.42
"111","2009-09-22",23.639999
"112","2009-09-23",22.719999
"113","2009-09-24",22.15
"114","2009-09-25",22.610001
"115","2009-09-28",23.280001
"116","2009-09-29",23.23
"117","2009-09-30",22.959999
"118","2009-10-01",23.190001
"119","2009-10-02",23.52
"120","2009-10-05",23.719999
"121","2009-10-06",23.700001
"122","2009-10-07",23.110001
"123","2009-10-08",22.389999
"124","2009-10-09",22.25
"125","2009-10-12",22.299999
"126","2009-10-13",22.620001
"127","2009-10-14",22.620001
"128","2009-10-15",22.67
"129","2009-10-16",21.76
"130","2009-10-19",22.040001
"131","2009-10-20",22.110001
"132","2009-10-21",21.620001
"133","2009-10-22",21.66
"134","2009-10-23",21.370001
"135","2009-10-26",20.99
"136","2009-10-27",20.52
"137","2009-10-28",20.07
"138","2009-10-29",20.59
"139","2009-10-30",20.75
