"","date","INSE"
"1","2014-12-16",9.55
"2","2014-12-17",9.55
"3","2014-12-18",9.55
"4","2014-12-19",9.55
"5","2014-12-22",9.55
"6","2014-12-23",9.55
"7","2014-12-24",9.54
"8","2014-12-26",9.54
"9","2014-12-29",9.54
"10","2014-12-30",9.54
"11","2014-12-31",9.54
"12","2015-01-02",9.54
"13","2015-01-05",9.54
"14","2015-01-06",9.54
"15","2015-01-07",9.54
"16","2015-01-08",9.54
"17","2015-01-09",9.54
"18","2015-01-12",9.54
"19","2015-01-13",9.54
"20","2015-01-14",9.54
"21","2015-01-15",9.54
"22","2015-01-16",9.54
"23","2015-01-20",9.54
"24","2015-01-21",9.54
"25","2015-01-22",9.54
"26","2015-01-23",9.54
"27","2015-01-26",9.54
"28","2015-01-27",9.56
"29","2015-01-28",9.52
"30","2015-01-29",9.52
"31","2015-01-30",9.48
"32","2015-02-02",9.5
"33","2015-02-03",9.5
"34","2015-02-04",9.5
"35","2015-02-05",9.5
"36","2015-02-06",9.5
"37","2015-02-09",9.5
"38","2015-02-10",9.5
"39","2015-02-11",9.5
"40","2015-02-12",9.5
"41","2015-02-13",9.5
"42","2015-02-17",9.5
"43","2015-02-18",9.5
"44","2015-02-19",9.5
"45","2015-02-20",9.5
"46","2015-02-23",9.5
"47","2015-02-24",9.5
"48","2015-02-25",9.5
"49","2015-02-26",9.5
"50","2015-02-27",9.5
"51","2015-03-02",9.49
"52","2015-03-03",9.53
"53","2015-03-04",9.53
"54","2015-03-05",9.53
"55","2015-03-06",9.49
"56","2015-03-09",9.5
"57","2015-03-10",9.5
"58","2015-03-11",9.5
"59","2015-03-12",9.5
"60","2015-03-13",9.5
"61","2015-03-16",9.5
"62","2015-03-17",9.52
"63","2015-03-18",9.52
"64","2015-03-19",9.52
"65","2015-03-20",9.55
"66","2015-03-23",9.54
"67","2015-03-24",9.54
"68","2015-03-25",9.54
"69","2015-03-26",9.57
"70","2015-03-27",9.57
"71","2015-03-30",9.56
"72","2015-03-31",9.56
"73","2015-04-01",9.57
"74","2015-04-02",9.59
"75","2015-04-06",9.59
"76","2015-04-07",9.59
"77","2015-04-08",9.59
"78","2015-04-09",9.59
"79","2015-04-10",9.59
"80","2015-04-13",9.61
"81","2015-04-14",9.61
"82","2015-04-15",9.61
"83","2015-04-16",9.61
"84","2015-04-17",9.61
"85","2015-04-20",9.61
"86","2015-04-21",9.61
"87","2015-04-22",9.61
"88","2015-04-23",9.63
"89","2015-04-24",9.63
"90","2015-04-27",9.63
"91","2015-04-28",9.63
"92","2015-04-29",9.63
"93","2015-04-30",9.65
"94","2015-05-01",9.65
"95","2015-05-04",9.64
"96","2015-05-05",9.64
"97","2015-05-06",9.64
"98","2015-05-07",9.59
"99","2015-05-08",9.6
"100","2015-05-11",9.6
"101","2015-05-12",9.6
"102","2015-05-13",9.6
"103","2015-05-14",9.6
"104","2015-05-15",9.6
"105","2015-05-18",9.6
"106","2015-05-19",9.6
"107","2015-05-20",9.6
"108","2015-05-21",9.6
"109","2015-05-22",9.6
"110","2015-05-26",9.6
"111","2015-05-27",9.62
"112","2015-05-28",9.62
"113","2015-05-29",9.62
"114","2015-06-01",9.62
"115","2015-06-02",9.62
"116","2015-06-03",9.63
"117","2015-06-04",9.68
"118","2015-06-05",9.63
"119","2015-06-08",9.63
"120","2015-06-09",9.68
"121","2015-06-10",9.68
"122","2015-06-11",9.68
"123","2015-06-12",9.68
"124","2015-06-15",9.635
"125","2015-06-16",9.67
"126","2015-06-17",9.67
"127","2015-06-18",9.67
"128","2015-06-19",9.67
"129","2015-06-22",9.66
"130","2015-06-23",9.67
"131","2015-06-24",9.64
"132","2015-06-25",9.669
"133","2015-06-26",9.669
"134","2015-06-29",9.669
"135","2015-06-30",9.669
"136","2015-07-01",9.669
"137","2015-07-02",9.66
"138","2015-07-06",9.66
"139","2015-07-07",9.66
"140","2015-07-08",9.66
"141","2015-07-09",9.66
"142","2015-07-10",9.66
"143","2015-07-13",9.66
"144","2015-07-14",9.66
"145","2015-07-15",9.66
"146","2015-07-16",9.662
"147","2015-07-17",9.662
"148","2015-07-20",9.66
"149","2015-07-21",9.66
"150","2015-07-22",9.66
"151","2015-07-23",9.66
"152","2015-07-24",9.663
"153","2015-07-27",9.663
"154","2015-07-28",9.663
"155","2015-07-29",9.663
"156","2015-07-30",9.663
"157","2015-07-31",9.663
"158","2015-08-03",9.663
"159","2015-08-04",9.663
"160","2015-08-05",9.663
"161","2015-08-06",9.663
"162","2015-08-07",9.663
"163","2015-08-10",9.663
"164","2015-08-11",9.663
"165","2015-08-12",9.663
"166","2015-08-13",9.67
"167","2015-08-14",9.67
"168","2015-08-17",9.67
"169","2015-08-18",9.66
"170","2015-08-19",9.66
"171","2015-08-20",9.66
"172","2015-08-21",9.66
"173","2015-08-24",9.66
"174","2015-08-25",9.67
"175","2015-08-26",9.67
"176","2015-08-27",9.69
"177","2015-08-28",9.69
"178","2015-08-31",9.69
"179","2015-09-01",9.69
"180","2015-09-02",9.69
"181","2015-09-03",9.69
"182","2015-09-04",9.69
"183","2015-09-08",9.68
"184","2015-09-09",9.68
"185","2015-09-10",9.66
"186","2015-09-11",9.66
"187","2015-09-14",9.66
"188","2015-09-15",9.66
"189","2015-09-16",9.66
"190","2015-09-17",9.66
"191","2015-09-18",9.69
"192","2015-09-21",9.69
"193","2015-09-22",9.69
"194","2015-09-23",9.69
"195","2015-09-24",9.65
"196","2015-09-25",9.7
"197","2015-09-28",9.65
"198","2015-09-29",9.65
"199","2015-09-30",9.7
"200","2015-10-01",9.66
"201","2015-10-02",9.66
"202","2015-10-05",9.69
"203","2015-10-06",9.69
"204","2015-10-07",9.73
"205","2015-10-08",9.7
"206","2015-10-09",9.7
"207","2015-10-12",10
"208","2015-10-13",9.89
"209","2015-10-14",9.89
"210","2015-10-15",9.89
"211","2015-10-16",9.89
"212","2015-10-19",9.89
"213","2015-10-20",9.89
"214","2015-10-21",9.89
"215","2015-10-22",9.89
"216","2015-10-23",9.89
"217","2015-10-26",9.75
"218","2015-10-27",9.82
"219","2015-10-28",9.82
"220","2015-10-29",9.82
"221","2015-10-30",9.82
"222","2015-11-02",9.82
"223","2015-11-03",9.82
"224","2015-11-04",9.82
"225","2015-11-05",9.82
"226","2015-11-06",9.82
"227","2015-11-09",9.68
"228","2015-11-10",9.82
"229","2015-11-11",9.82
"230","2015-11-12",9.82
"231","2015-11-13",9.82
"232","2015-11-16",9.82
"233","2015-11-17",9.82
"234","2015-11-18",9.82
"235","2015-11-19",9.82
"236","2015-11-20",9.82
