"","date","MCHP"
"1","2007-01-03",33.209999
"2","2007-01-04",33.720001
"3","2007-01-05",33.529999
"4","2007-01-08",34.029999
"5","2007-01-09",34.599998
"6","2007-01-10",35.150002
"7","2007-01-11",35.869999
"8","2007-01-12",35.860001
"9","2007-01-16",35.970001
"10","2007-01-17",35.790001
"11","2007-01-18",34.650002
"12","2007-01-19",34.830002
"13","2007-01-22",34.459999
"14","2007-01-23",34.639999
"15","2007-01-24",35.16
"16","2007-01-25",34.889999
"17","2007-01-26",35.080002
"18","2007-01-29",34.990002
"19","2007-01-30",34.599998
"20","2007-01-31",34.759998
"21","2007-02-01",35.799999
"22","2007-02-02",35.580002
"23","2007-02-05",35.18
"24","2007-02-06",35.130001
"25","2007-02-07",35.700001
"26","2007-02-08",35.650002
"27","2007-02-09",35.41
"28","2007-02-12",35.299999
"29","2007-02-13",35.5
"30","2007-02-14",36.189999
"31","2007-02-15",36.099998
"32","2007-02-16",36.02
"33","2007-02-20",36.25
"34","2007-02-21",36.040001
"35","2007-02-22",37.25
"36","2007-02-23",37.490002
"37","2007-02-26",37.18
"38","2007-02-27",36.049999
"39","2007-02-28",35.599998
"40","2007-03-01",35.360001
"41","2007-03-02",35.169998
"42","2007-03-05",35.439999
"43","2007-03-06",36.349998
"44","2007-03-07",36.25
"45","2007-03-08",36.689999
"46","2007-03-09",36.959999
"47","2007-03-12",37
"48","2007-03-13",36.529999
"49","2007-03-14",36.560001
"50","2007-03-15",36.75
"51","2007-03-16",36.439999
"52","2007-03-19",36.060001
"53","2007-03-20",36.16
"54","2007-03-21",36.91
"55","2007-03-22",36.700001
"56","2007-03-23",36.509998
"57","2007-03-26",36.630001
"58","2007-03-27",36.310001
"59","2007-03-28",35.91
"60","2007-03-29",35.349998
"61","2007-03-30",35.529999
"62","2007-04-02",35.470001
"63","2007-04-03",35.59
"64","2007-04-04",35.700001
"65","2007-04-05",36.310001
"66","2007-04-09",36.150002
"67","2007-04-10",36.759998
"68","2007-04-11",36.470001
"69","2007-04-12",36.919998
"70","2007-04-13",36.900002
"71","2007-04-16",37.360001
"72","2007-04-17",36.93
"73","2007-04-18",37.029999
"74","2007-04-19",37.360001
