"","date","WRB"
"1","2007-01-03",23.040001
"2","2007-01-04",22.719999
"3","2007-01-05",22.373333
"4","2007-01-08",22.68
"5","2007-01-09",22.406666
"6","2007-01-10",22.086666
"7","2007-01-11",22.4
"8","2007-01-12",22.246666
"9","2007-01-16",22.093334
"10","2007-01-17",21.959999
"11","2007-01-18",21.620001
"12","2007-01-19",21.98
"13","2007-01-22",21.686666
"14","2007-01-23",21.959999
"15","2007-01-24",22.533333
"16","2007-01-25",22.053333
"17","2007-01-26",22.206667
"18","2007-01-29",22.226667
"19","2007-01-30",22.366667
"20","2007-01-31",22.059999
"21","2007-02-01",22.386667
"22","2007-02-02",22.620001
"23","2007-02-05",22.373333
"24","2007-02-06",22.5
"25","2007-02-07",22.206667
"26","2007-02-08",22.566668
"27","2007-02-09",22.673334
"28","2007-02-12",22.186666
"29","2007-02-13",22.586666
"30","2007-02-14",22.68
"31","2007-02-15",22.613333
"32","2007-02-16",22.566668
"33","2007-02-20",22.860001
"34","2007-02-21",22.833334
"35","2007-02-22",23.120001
"36","2007-02-23",22.620001
"37","2007-02-26",22.486666
"38","2007-02-27",21.713333
"39","2007-02-28",21.733334
"40","2007-03-01",21.873333
"41","2007-03-02",21.666666
"42","2007-03-05",21.293333
"43","2007-03-06",21.253334
"44","2007-03-07",21.266666
"45","2007-03-08",21.34
"46","2007-03-09",21.353333
"47","2007-03-12",21.586666
"48","2007-03-13",21.379999
"49","2007-03-14",21.306667
"50","2007-03-15",21.386667
"51","2007-03-16",21.146667
"52","2007-03-19",21.406666
"53","2007-03-20",21.68
"54","2007-03-21",21.766666
"55","2007-03-22",21.706667
"56","2007-03-23",22
"57","2007-03-26",21.913334
"58","2007-03-27",22.053333
"59","2007-03-28",22.02
"60","2007-03-29",22.113333
"61","2007-03-30",22.08
"62","2007-04-02",22.053333
"63","2007-04-03",22.113333
"64","2007-04-04",22
"65","2007-04-05",21.966667
"66","2007-04-09",21.74
"67","2007-04-10",22.006666
"68","2007-04-11",21.733334
"69","2007-04-12",21.613333
