"","date","LYL"
"1","2017-10-20",13.67
"2","2017-10-23",11.5
"3","2017-10-24",10.42
"4","2017-10-25",10.518
"5","2017-10-26",11.07
"6","2017-10-27",9.1
"7","2017-10-30",6.98
"8","2017-10-31",6.91
"9","2017-11-01",5.44
"10","2017-11-02",5.05
"11","2017-11-03",5.56
"12","2017-11-06",5.71
"13","2017-11-07",6.55
"14","2017-11-08",7.51
"15","2017-11-09",6.91
"16","2017-11-10",6.3
"17","2017-11-13",6.21
"18","2017-11-14",6.14
"19","2017-11-15",5.9
"20","2017-11-16",5.85
"21","2017-11-17",5.96
"22","2017-11-20",6.03
"23","2017-11-21",5.76
"24","2017-11-22",5.49
"25","2017-11-24",5.48
"26","2017-11-27",5.45
"27","2017-11-28",5.09
"28","2017-11-29",4.85
"29","2017-11-30",4.89
"30","2017-12-01",4.63
"31","2017-12-04",4.4
"32","2017-12-05",4.46
"33","2017-12-06",4.44
"34","2017-12-07",4.124
"35","2017-12-08",4.18
"36","2017-12-11",4.07
"37","2017-12-12",4.15
"38","2017-12-13",4.2
"39","2017-12-14",4.67
"40","2017-12-15",4.88
"41","2017-12-18",5.38
"42","2017-12-19",5.03
"43","2017-12-20",5.06
"44","2017-12-21",5.13
"45","2017-12-22",5.03
"46","2017-12-26",4.81
"47","2017-12-27",4.61
"48","2017-12-28",4.64
"49","2017-12-29",4.36
"50","2018-01-02",4.57
"51","2018-01-03",4.45
"52","2018-01-04",4.33
"53","2018-01-05",4.7
"54","2018-01-08",5.83
"55","2018-01-09",5.87
"56","2018-01-10",6.38
"57","2018-01-11",6.28
"58","2018-01-12",5.34
"59","2018-01-16",5.51
"60","2018-01-17",5.247
"61","2018-01-18",5.19
"62","2018-01-19",5.03
"63","2018-01-22",4.84
"64","2018-01-23",4.85
"65","2018-01-24",5.01
"66","2018-01-25",4.58
"67","2018-01-26",4.6
"68","2018-01-29",4.66
"69","2018-01-30",4.63
"70","2018-01-31",4.677
"71","2018-02-01",4.8
"72","2018-02-02",4.62
"73","2018-02-05",4.59
"74","2018-02-06",4.04
"75","2018-02-07",3.95
"76","2018-02-08",4.14
"77","2018-02-09",3.92
"78","2018-02-12",3.88
"79","2018-02-13",4.68
"80","2018-02-14",4.63
"81","2018-02-15",4.63
"82","2018-02-16",4.32
"83","2018-02-20",4.32
"84","2018-02-21",4.18
"85","2018-02-22",4.231
"86","2018-02-23",4.299
"87","2018-02-26",4.19
"88","2018-02-27",3.7
"89","2018-02-28",3.84
"90","2018-03-01",3.2
"91","2018-03-02",3.43
"92","2018-03-05",3.86
"93","2018-03-06",3.95
"94","2018-03-07",4
"95","2018-03-08",3.87
"96","2018-03-09",4.01
"97","2018-03-12",4.02
"98","2018-03-13",4.09
"99","2018-03-14",4.02
"100","2018-03-15",4.02
"101","2018-03-16",3.8
"102","2018-03-19",3.99
"103","2018-03-20",3.66
"104","2018-03-21",3.65
"105","2018-03-22",3.5
"106","2018-03-23",3.37
"107","2018-03-26",3.38
"108","2018-03-27",3.25
"109","2018-03-28",3.23
"110","2018-03-29",3.44
"111","2018-04-02",3.61
"112","2018-04-03",3.81
"113","2018-04-04",3.64
"114","2018-04-05",3.808
"115","2018-04-06",3.758
"116","2018-04-09",3.79
"117","2018-04-10",3.66
"118","2018-04-11",3.79
"119","2018-04-12",3.62
"120","2018-04-13",3.8
"121","2018-04-16",3.6
"122","2018-04-17",3.6
"123","2018-04-18",3.68
"124","2018-04-19",3.61
"125","2018-04-20",3.38
"126","2018-04-23",3.6
"127","2018-04-24",3.96
"128","2018-04-25",3.89
"129","2018-04-26",3.88
"130","2018-04-27",4.01
"131","2018-04-30",4.06
"132","2018-05-01",3.975
"133","2018-05-02",3.92
"134","2018-05-03",3.83
"135","2018-05-04",4.14
"136","2018-05-07",3.82
"137","2018-05-08",3.33
"138","2018-05-09",3.74
"139","2018-05-10",3.9
"140","2018-05-11",3.92
"141","2018-05-14",4.07
"142","2018-05-15",4.11
"143","2018-05-16",4.26
"144","2018-05-17",4.32
"145","2018-05-18",4.455
"146","2018-05-21",4.675
"147","2018-05-22",4.65
"148","2018-05-23",4.75
"149","2018-05-24",4.66
"150","2018-05-25",4.56
"151","2018-05-29",3.71
"152","2018-05-30",3.93
"153","2018-05-31",3.65
