"","date","CDEV"
"1","2016-04-15",10
"2","2016-04-18",10
"3","2016-04-19",10
"4","2016-04-20",10
"5","2016-04-21",10
"6","2016-04-22",10
"7","2016-04-25",10
"8","2016-04-26",10
"9","2016-04-27",10
"10","2016-04-28",10
"11","2016-04-29",10
"12","2016-05-02",10.1
"13","2016-05-03",10.1
"14","2016-05-04",10.1
"15","2016-05-05",10
"16","2016-05-06",10
"17","2016-05-09",10
"18","2016-05-10",10
"19","2016-05-11",10
"20","2016-05-12",10.1
"21","2016-05-13",10.1
"22","2016-05-16",10.042
"23","2016-05-17",9.932
"24","2016-05-18",9.93
"25","2016-05-19",10
"26","2016-05-20",10.08
"27","2016-05-23",10.02
"28","2016-05-24",10.05
"29","2016-05-25",10.05
"30","2016-05-26",10
"31","2016-05-27",10
"32","2016-05-31",10.04
"33","2016-06-01",9.942
"34","2016-06-02",10.05
"35","2016-06-03",10.08
"36","2016-06-06",10.08
"37","2016-06-07",10.06
"38","2016-06-08",10.05
"39","2016-06-09",10.05
"40","2016-06-10",10.01
"41","2016-06-13",10.01
"42","2016-06-14",9.99
"43","2016-06-15",9.99
"44","2016-06-16",10.59
"45","2016-06-17",10.59
"46","2016-06-20",9.9
"47","2016-06-21",9.81
"48","2016-06-22",9.94
"49","2016-06-23",9.94
"50","2016-06-24",9.94
"51","2016-06-27",9.8
"52","2016-06-28",9.8
"53","2016-06-29",9.8
"54","2016-06-30",9.8
"55","2016-07-01",9.7
"56","2016-07-05",9.82
"57","2016-07-06",9.8
"58","2016-07-07",9.8
"59","2016-07-08",9.8
"60","2016-07-11",9.85
"61","2016-07-12",9.8
"62","2016-07-13",9.9
"63","2016-07-14",9.9
"64","2016-07-15",9.85
"65","2016-07-18",9.85
"66","2016-07-19",10.15
"67","2016-07-20",10.2
"68","2016-07-21",10.2
"69","2016-07-22",10.58
"70","2016-07-25",10.69
"71","2016-07-26",10.75
"72","2016-07-27",11.15
"73","2016-07-28",11.165
"74","2016-07-29",11.24
"75","2016-08-01",11.29
"76","2016-08-02",11.29
"77","2016-08-03",11.24
"78","2016-08-04",11.42
"79","2016-08-05",11.41
"80","2016-08-08",11.41
"81","2016-08-09",11.59
"82","2016-08-10",12.24
"83","2016-08-11",12.2
"84","2016-08-12",12.35
"85","2016-08-15",12.2
"86","2016-08-16",12.14
"87","2016-08-17",11.89
"88","2016-08-18",12.2
"89","2016-08-19",12.03
"90","2016-08-22",12.04
"91","2016-08-23",11.98
"92","2016-08-24",12.25
"93","2016-08-25",12.2
"94","2016-08-26",12.15
"95","2016-08-29",12.32
"96","2016-08-30",12.575
"97","2016-08-31",12.54
"98","2016-09-01",12.95
"99","2016-09-02",12.81
"100","2016-09-06",13
"101","2016-09-07",13.5
"102","2016-09-08",14.58
"103","2016-09-09",14.63
"104","2016-09-12",13.89
"105","2016-09-13",14
"106","2016-09-14",14.03
"107","2016-09-15",14.04
"108","2016-09-16",13.99
"109","2016-09-19",14.05
"110","2016-09-20",14.12
"111","2016-09-21",14.16
"112","2016-09-22",14.33
"113","2016-09-23",14.36
"114","2016-09-26",14.44
"115","2016-09-27",14.43
"116","2016-09-28",14.57
"117","2016-09-29",14.84
"118","2016-09-30",15.75
"119","2016-10-03",15.88
"120","2016-10-04",16.139999
"121","2016-10-05",16.450001
"122","2016-10-06",16.190001
"123","2016-10-07",16.120001
"124","2016-10-10",15.76
"125","2016-10-11",15.86
"126","2016-10-12",16.4
"127","2016-10-13",15.99
"128","2016-10-14",15.5
"129","2016-10-17",15.14
"130","2016-10-18",14.92
"131","2016-10-19",14.9
"132","2016-10-20",14.49
"133","2016-10-21",14.86
"134","2016-10-24",14.54
"135","2016-10-25",14.3
"136","2016-10-26",14.24
"137","2016-10-27",14.52
"138","2016-10-28",14.88
"139","2016-10-31",14.85
"140","2016-11-01",15.1
"141","2016-11-02",15.1
"142","2016-11-03",14.86
"143","2016-11-04",15.09
"144","2016-11-07",15.29
"145","2016-11-08",15.07
"146","2016-11-09",15.16
"147","2016-11-10",14.81
