"","date","ACCD"
"1","2020-07-01",0.55
"2","2020-07-02",29.700001
"3","2020-07-06",30
"4","2020-07-07",30.15
"5","2020-07-08",34.310001
"6","2020-07-09",34
"7","2020-07-10",34.900002
"8","2020-07-13",32.990002
"9","2020-07-14",31.540001
"10","2020-07-15",32.41
"11","2020-07-16",32.209999
"12","2020-07-17",33.619999
"13","2020-07-20",32.720001
"14","2020-07-21",32.279999
"15","2020-07-22",32.209999
"16","2020-07-23",32.540001
"17","2020-07-24",32.939999
"18","2020-07-27",35.189999
"19","2020-07-28",33.669998
"20","2020-07-29",35.5
"21","2020-07-30",33.689999
"22","2020-07-31",32.439999
"23","2020-08-03",33.029999
"24","2020-08-04",34.580002
"25","2020-08-05",37.970001
"26","2020-08-06",41.34
"27","2020-08-07",37
"28","2020-08-10",37.52
"29","2020-08-11",36.150002
"30","2020-08-12",37.630001
"31","2020-08-13",37.27
"32","2020-08-14",36.810001
"33","2020-08-17",37.900002
"34","2020-08-18",37.48
"35","2020-08-19",38.740002
"36","2020-08-20",39.970001
"37","2020-08-21",39.689999
"38","2020-08-24",40.139999
"39","2020-08-25",38.23
"40","2020-08-26",36
"41","2020-08-27",35.279999
"42","2020-08-28",34.470001
"43","2020-08-31",33.610001
"44","2020-09-01",32.73
"45","2020-09-02",34.470001
"46","2020-09-03",32.959999
"47","2020-09-04",32.599998
"48","2020-09-08",32.139999
"49","2020-09-09",33.560001
"50","2020-09-10",34.07
"51","2020-09-11",32.650002
"52","2020-09-14",33.849998
"53","2020-09-15",34.5
"54","2020-09-16",33.400002
"55","2020-09-17",32.439999
"56","2020-09-18",32.360001
"57","2020-09-21",29.93
"58","2020-09-22",30.4
"59","2020-09-23",30.34
"60","2020-09-24",32.330002
"61","2020-09-25",34.32
"62","2020-09-28",36.040001
"63","2020-09-29",38.419998
"64","2020-09-30",38.869999
"65","2020-10-01",37.810001
"66","2020-10-02",38.740002
"67","2020-10-05",39.759998
"68","2020-10-06",37.599998
"69","2020-10-07",40.279999
"70","2020-10-08",41.18
"71","2020-10-09",38.935001
"72","2020-10-12",40.799999
"73","2020-10-13",43.950001
"74","2020-10-14",44.490002
"75","2020-10-15",41.98
"76","2020-10-16",41.630001
"77","2020-10-19",41.330002
"78","2020-10-20",39.099998
"79","2020-10-21",39.830002
"80","2020-10-22",38.380001
"81","2020-10-23",42.009998
"82","2020-10-26",37.18
"83","2020-10-27",38.240002
"84","2020-10-28",33.560001
"85","2020-10-29",34.990002
"86","2020-10-30",35.02
"87","2020-11-02",33.259998
"88","2020-11-03",35
"89","2020-11-04",34.369999
"90","2020-11-05",37.099998
"91","2020-11-06",37.459999
"92","2020-11-09",40.07
"93","2020-11-10",35.889999
"94","2020-11-11",37.529999
"95","2020-11-12",37
"96","2020-11-13",37.349998
"97","2020-11-16",38.200001
"98","2020-11-17",39.990002
"99","2020-11-18",42.16
"100","2020-11-19",46.095001
"101","2020-11-20",48.93
"102","2020-11-23",50.209999
"103","2020-11-24",50.330002
"104","2020-11-25",50.540001
"105","2020-11-27",51.84
