"","date","KB"
"1","2007-01-03",78.269997
"2","2007-01-04",76.300003
"3","2007-01-05",75.550003
"4","2007-01-08",76.110001
"5","2007-01-09",75.519997
"6","2007-01-10",75.669998
"7","2007-01-11",76.57
"8","2007-01-12",78.849998
"9","2007-01-16",79.5
"10","2007-01-17",79.989998
"11","2007-01-18",79.290001
"12","2007-01-19",79.190002
"13","2007-01-22",77.400002
"14","2007-01-23",78.5
"15","2007-01-24",79.650002
"16","2007-01-25",77.610001
"17","2007-01-26",77.639999
"18","2007-01-29",77.489998
"19","2007-01-30",78.5
"20","2007-01-31",79.529999
"21","2007-02-01",84.989998
"22","2007-02-02",87.050003
"23","2007-02-05",87.370003
"24","2007-02-06",88.150002
"25","2007-02-07",87.120003
"26","2007-02-08",89.660004
"27","2007-02-09",88.699997
"28","2007-02-12",88
"29","2007-02-13",88.910004
"30","2007-02-14",92.470001
"31","2007-02-15",93.459999
"32","2007-02-16",94.07
"33","2007-02-20",93.389999
"34","2007-02-21",92.629997
"35","2007-02-22",94.889999
"36","2007-02-23",94.190002
"37","2007-02-26",95.290001
"38","2007-02-27",87.510002
"39","2007-02-28",89.360001
"40","2007-03-01",88.029999
"41","2007-03-02",86.889999
"42","2007-03-05",84.669998
"43","2007-03-06",89.080002
"44","2007-03-07",88.43
"45","2007-03-08",90.449997
"46","2007-03-09",88.910004
"47","2007-03-12",91.349998
"48","2007-03-13",87.790001
"49","2007-03-14",88.029999
"50","2007-03-15",88.019997
"51","2007-03-16",87.25
"52","2007-03-19",91.059998
"53","2007-03-20",91.75
"54","2007-03-21",93.779999
"55","2007-03-22",92.68
"56","2007-03-23",92.099998
"57","2007-03-26",90.489998
"58","2007-03-27",90.150002
"59","2007-03-28",89.379997
"60","2007-03-29",91.050003
"61","2007-03-30",90.150002
"62","2007-04-02",91.449997
"63","2007-04-03",92.75
"64","2007-04-04",92.629997
"65","2007-04-05",91.839996
"66","2007-04-09",93.459999
"67","2007-04-10",95.25
"68","2007-04-11",94.099998
"69","2007-04-12",96.57
"70","2007-04-13",96.110001
"71","2007-04-16",95.309998
"72","2007-04-17",92.970001
"73","2007-04-18",92.370003
"74","2007-04-19",91.690002
"75","2007-04-20",92.529999
"76","2007-04-23",89.220001
"77","2007-04-24",87.779999
"78","2007-04-25",88.559998
"79","2007-04-26",91.160004
"80","2007-04-27",90.019997
"81","2007-04-30",89.82
"82","2007-05-01",90.449997
"83","2007-05-02",91.550003
"84","2007-05-03",91.809998
"85","2007-05-04",89.68
"86","2007-05-07",88.660004
"87","2007-05-08",88.110001
"88","2007-05-09",90
"89","2007-05-10",87.25
"90","2007-05-11",89.330002
"91","2007-05-14",90.459999
"92","2007-05-15",91.150002
"93","2007-05-16",93.349998
"94","2007-05-17",90.800003
"95","2007-05-18",90.669998
"96","2007-05-21",88.5
"97","2007-05-22",90
"98","2007-05-23",90.110001
"99","2007-05-24",88.199997
"100","2007-05-25",89.889999
"101","2007-05-29",90.360001
"102","2007-05-30",90.330002
"103","2007-05-31",90.389999
"104","2007-06-01",93.970001
"105","2007-06-04",95.900002
"106","2007-06-05",95.900002
"107","2007-06-06",94.199997
"108","2007-06-07",91.400002
"109","2007-06-08",92.25
"110","2007-06-11",92.309998
"111","2007-06-12",91.709999
"112","2007-06-13",93.75
"113","2007-06-14",94.459999
"114","2007-06-15",94.489998
"115","2007-06-18",93.32
"116","2007-06-19",92.639999
"117","2007-06-20",96.449997
"118","2007-06-21",95.559998
"119","2007-06-22",90.25
"120","2007-06-25",89.419998
"121","2007-06-26",89.099998
"122","2007-06-27",89.400002
"123","2007-06-28",89.309998
"124","2007-06-29",87.720001
"125","2007-07-02",89.709999
"126","2007-07-03",91.690002
"127","2007-07-05",91.290001
"128","2007-07-06",92.989998
"129","2007-07-09",93.07
"130","2007-07-10",93
"131","2007-07-11",92.800003
"132","2007-07-12",96.099998
"133","2007-07-13",93.830002
"134","2007-07-16",91.959999
"135","2007-07-17",91.5
"136","2007-07-18",89.209999
"137","2007-07-19",91.169998
"138","2007-07-20",90.410004
"139","2007-07-23",95.510002
"140","2007-07-24",93.75
"141","2007-07-25",94.709999
"142","2007-07-26",90.699997
"143","2007-07-27",89
