"","date","CNNE"
"1","2017-11-20",18.389999
"2","2017-11-21",17.709999
"3","2017-11-22",17.68
"4","2017-11-24",18.02
"5","2017-11-27",18.139999
"6","2017-11-28",18.450001
"7","2017-11-29",18.33
"8","2017-11-30",18.209999
"9","2017-12-01",17.709999
"10","2017-12-04",16.43
"11","2017-12-05",16.9
"12","2017-12-06",16.719999
"13","2017-12-07",16.969999
"14","2017-12-08",17.120001
"15","2017-12-11",17.030001
"16","2017-12-12",16.860001
"17","2017-12-13",16.84
"18","2017-12-14",16.610001
"19","2017-12-15",16.690001
"20","2017-12-18",16.77
"21","2017-12-19",16.51
"22","2017-12-20",16.690001
"23","2017-12-21",16.92
"24","2017-12-22",17.02
"25","2017-12-26",17.120001
"26","2017-12-27",17.1
"27","2017-12-28",17.24
"28","2017-12-29",17.030001
"29","2018-01-02",16.959999
"30","2018-01-03",16.93
"31","2018-01-04",17.040001
"32","2018-01-05",16.940001
"33","2018-01-08",17.139999
"34","2018-01-09",16.969999
"35","2018-01-10",16.92
"36","2018-01-11",16.99
"37","2018-01-12",17.1
"38","2018-01-16",16.75
"39","2018-01-17",17.74
"40","2018-01-18",17.83
"41","2018-01-19",18.4
"42","2018-01-22",18.25
"43","2018-01-23",18.02
"44","2018-01-24",18
"45","2018-01-25",17.719999
"46","2018-01-26",17.68
"47","2018-01-29",17.5
"48","2018-01-30",17.530001
"49","2018-01-31",17.41
"50","2018-02-01",17.57
"51","2018-02-02",17.23
"52","2018-02-05",16.68
"53","2018-02-06",16.940001
"54","2018-02-07",17.16
"55","2018-02-08",16.68
"56","2018-02-09",16.92
"57","2018-02-12",17.16
"58","2018-02-13",17.48
"59","2018-02-14",17.91
"60","2018-02-15",17.65
"61","2018-02-16",18.190001
"62","2018-02-20",17.75
"63","2018-02-21",17.92
"64","2018-02-22",17.700001
"65","2018-02-23",17.870001
"66","2018-02-26",18.25
"67","2018-02-27",18.190001
"68","2018-02-28",18.379999
"69","2018-03-01",18.610001
"70","2018-03-02",18.65
"71","2018-03-05",18.969999
"72","2018-03-06",18.700001
"73","2018-03-07",19.07
"74","2018-03-08",19.1
"75","2018-03-09",19
"76","2018-03-12",18.76
"77","2018-03-13",18.809999
"78","2018-03-14",18.59
"79","2018-03-15",18.790001
"80","2018-03-16",18.6
"81","2018-03-19",19.440001
"82","2018-03-20",19.040001
"83","2018-03-21",18.950001
"84","2018-03-22",18.77
"85","2018-03-23",18.549999
"86","2018-03-26",18.98
"87","2018-03-27",18.73
"88","2018-03-28",18.93
"89","2018-03-29",18.860001
"90","2018-04-02",18.540001
"91","2018-04-03",18.59
"92","2018-04-04",18.709999
"93","2018-04-05",18.82
"94","2018-04-06",18.77
"95","2018-04-09",18.67
"96","2018-04-10",18.83
"97","2018-04-11",18.870001
"98","2018-04-12",18.92
"99","2018-04-13",19.299999
"100","2018-04-16",19.27
"101","2018-04-17",19.91
"102","2018-04-18",19.969999
"103","2018-04-19",19.66
"104","2018-04-20",20.1
"105","2018-04-23",20.51
"106","2018-04-24",20.66
"107","2018-04-25",20.34
"108","2018-04-26",20.700001
"109","2018-04-27",20.65
"110","2018-04-30",20.66
"111","2018-05-01",20.639999
"112","2018-05-02",20.58
"113","2018-05-03",20.790001
"114","2018-05-04",20.98
"115","2018-05-07",21.120001
"116","2018-05-08",21.17
"117","2018-05-09",21.18
"118","2018-05-10",20.83
"119","2018-05-11",20.77
"120","2018-05-14",20.280001
"121","2018-05-15",20.110001
"122","2018-05-16",19.99
"123","2018-05-17",20.42
"124","2018-05-18",20.02
"125","2018-05-21",20.09
"126","2018-05-22",19.860001
"127","2018-05-23",19.870001
"128","2018-05-24",20.190001
"129","2018-05-25",20.25
"130","2018-05-29",20.24
"131","2018-05-30",20.200001
"132","2018-05-31",19.99
"133","2018-06-01",20.07
"134","2018-06-04",20.190001
