"","date","ORN"
"1","2007-12-20",15.8
"2","2007-12-21",15.25
"3","2007-12-24",15.25
"4","2007-12-26",15.25
"5","2007-12-27",15
"6","2007-12-28",15.05
"7","2007-12-31",15
"8","2008-01-02",14.99
"9","2008-01-03",14.74
"10","2008-01-04",14.64
"11","2008-01-07",14.25
"12","2008-01-08",14.2
"13","2008-01-09",13.95
"14","2008-01-10",11.75
"15","2008-01-11",11.65
"16","2008-01-14",11.7
"17","2008-01-15",11.75
"18","2008-01-16",12.05
"19","2008-01-17",11.66
"20","2008-01-18",11.5
"21","2008-01-22",11.5
"22","2008-01-23",11.88
"23","2008-01-24",11.85
"24","2008-01-25",12
"25","2008-01-28",12
"26","2008-01-29",12.74
"27","2008-01-30",13.63
"28","2008-01-31",14.2
"29","2008-02-01",13.75
"30","2008-02-04",14.15
"31","2008-02-05",14.15
"32","2008-02-06",14
"33","2008-02-07",13.84
"34","2008-02-08",13.84
"35","2008-02-11",14.09
"36","2008-02-12",14
"37","2008-02-13",13.99
"38","2008-02-14",13.91
"39","2008-02-15",14
"40","2008-02-19",14.09
"41","2008-02-20",14
"42","2008-02-21",13.9
"43","2008-02-22",13.55
"44","2008-02-25",13.5
"45","2008-02-26",13.46
"46","2008-02-27",13.25
"47","2008-02-28",12.68
"48","2008-02-29",13
"49","2008-03-03",13.2
"50","2008-03-04",13.36
"51","2008-03-05",12.88
"52","2008-03-06",13.2
"53","2008-03-07",13
"54","2008-03-10",13.06
"55","2008-03-11",13.15
"56","2008-03-12",12.97
"57","2008-03-13",13.06
"58","2008-03-14",12.5
"59","2008-03-17",11.99
"60","2008-03-18",11.89
"61","2008-03-19",11.95
"62","2008-03-20",12
"63","2008-03-24",12
"64","2008-03-25",12.16
"65","2008-03-26",11.99
"66","2008-03-27",11.85
"67","2008-03-28",11.99
"68","2008-03-31",11.95
"69","2008-04-01",12.31
"70","2008-04-02",12.19
"71","2008-04-03",12.25
"72","2008-04-04",12.64
"73","2008-04-07",12.63
"74","2008-04-08",13
"75","2008-04-09",13
"76","2008-04-10",13
"77","2008-04-11",13
"78","2008-04-14",13
"79","2008-04-15",12.84
"80","2008-04-16",12.64
"81","2008-04-17",12.6
"82","2008-04-18",12.6
"83","2008-04-21",12.65
"84","2008-04-22",13
"85","2008-04-23",13
"86","2008-04-24",13
"87","2008-04-25",13.02
"88","2008-04-28",13.35
"89","2008-04-29",13.62
"90","2008-04-30",13.68
"91","2008-05-01",13.43
"92","2008-05-02",13.99
"93","2008-05-05",13.6
"94","2008-05-06",13.6
"95","2008-05-07",13.57
"96","2008-05-08",13.41
"97","2008-05-09",13.1
"98","2008-05-12",13
"99","2008-05-13",12.99
"100","2008-05-14",13.25
"101","2008-05-15",14.35
"102","2008-05-16",14.42
"103","2008-05-19",14.35
"104","2008-05-20",14.1
"105","2008-05-21",14
"106","2008-05-22",14.35
"107","2008-05-23",14.71
"108","2008-05-27",14.97
"109","2008-05-28",15
"110","2008-05-29",14.98
"111","2008-05-30",15.02
"112","2008-06-02",15.2
"113","2008-06-03",15.35
"114","2008-06-04",14.84
"115","2008-06-05",14.74
"116","2008-06-06",14.74
"117","2008-06-09",14.83
"118","2008-06-10",14.39
"119","2008-06-11",14.29
"120","2008-06-12",14.04
"121","2008-06-13",14.2
"122","2008-06-16",14.43
"123","2008-06-17",14.79
"124","2008-06-18",14.66
"125","2008-06-19",14.78
"126","2008-06-20",14.75
"127","2008-06-23",14.66
"128","2008-06-24",14.54
"129","2008-06-25",14.62
"130","2008-06-26",14.6
"131","2008-06-27",14.49
"132","2008-06-30",14.13
"133","2008-07-01",14.31
"134","2008-07-02",13.89
"135","2008-07-03",13.45
"136","2008-07-07",13.05
"137","2008-07-08",13.92
"138","2008-07-09",13.36
"139","2008-07-10",13.13
"140","2008-07-11",13.1
"141","2008-07-14",13.16
"142","2008-07-15",13.21
"143","2008-07-16",13.25
"144","2008-07-17",13.8
"145","2008-07-18",14.42
"146","2008-07-21",14.18
"147","2008-07-22",14.25
"148","2008-07-23",14.24
"149","2008-07-24",13.94
"150","2008-07-25",14.01
"151","2008-07-28",13.93
"152","2008-07-29",14.02
"153","2008-07-30",14
"154","2008-07-31",13.85
"155","2008-08-01",13.38
"156","2008-08-04",12.88
"157","2008-08-05",13.57
"158","2008-08-06",13.18
"159","2008-08-07",12.47
"160","2008-08-08",12.86
"161","2008-08-11",12.9
"162","2008-08-12",12.58
"163","2008-08-13",12.27
"164","2008-08-14",12.48
"165","2008-08-15",12.44
"166","2008-08-18",12.18
"167","2008-08-19",11.75
"168","2008-08-20",11.83
"169","2008-08-21",11.86
"170","2008-08-22",11.8
"171","2008-08-25",11.48
"172","2008-08-26",11.76
"173","2008-08-27",12.9
"174","2008-08-28",13.13
"175","2008-08-29",12.99
"176","2008-09-02",12.82
"177","2008-09-03",12.7
"178","2008-09-04",12.21
"179","2008-09-05",11.3
"180","2008-09-08",11.01
"181","2008-09-09",10.84
"182","2008-09-10",11.2
"183","2008-09-11",11.05
"184","2008-09-12",11.41
"185","2008-09-15",10.92
"186","2008-09-16",10.9
"187","2008-09-17",10.57
"188","2008-09-18",11.15
"189","2008-09-19",11
"190","2008-09-22",10.8
"191","2008-09-23",10.51
"192","2008-09-24",10
"193","2008-09-25",10.77
"194","2008-09-26",11.14
"195","2008-09-29",10.62
"196","2008-09-30",10.49
"197","2008-10-01",9.85
"198","2008-10-02",8.59
"199","2008-10-03",8.02
"200","2008-10-06",7.88
"201","2008-10-07",6
"202","2008-10-08",6.25
"203","2008-10-09",6
"204","2008-10-10",6.47
"205","2008-10-13",7.75
"206","2008-10-14",7.15
"207","2008-10-15",6.36
"208","2008-10-16",6.3
"209","2008-10-17",7.4
"210","2008-10-20",7.77
"211","2008-10-21",6.98
"212","2008-10-22",6.25
"213","2008-10-23",6.46
