"","date","NICK"
"1","2007-01-03",10.518182
"2","2007-01-04",10.609091
"3","2007-01-05",10.590909
"4","2007-01-08",10.509091
"5","2007-01-09",10.518182
"6","2007-01-10",10.509091
"7","2007-01-11",10.5
"8","2007-01-12",10.454545
"9","2007-01-16",10.5
"10","2007-01-17",10.509091
"11","2007-01-18",10.518182
"12","2007-01-19",10.445455
"13","2007-01-22",10.345454
"14","2007-01-23",10.345454
"15","2007-01-24",10.5
"16","2007-01-25",10.418181
"17","2007-01-26",10.327272
"18","2007-01-29",10.272727
"19","2007-01-30",10.318182
"20","2007-01-31",10.272727
"21","2007-02-01",10.227273
"22","2007-02-02",10.036364
"23","2007-02-05",9.990909
"24","2007-02-06",10.027273
"25","2007-02-07",10.045455
"26","2007-02-08",10.127273
"27","2007-02-09",10.090909
"28","2007-02-12",10.090909
"29","2007-02-13",10.018182
"30","2007-02-14",10
"31","2007-02-15",10.018182
"32","2007-02-16",10.027273
"33","2007-02-20",9.972727
"34","2007-02-21",9.918181
"35","2007-02-22",10.154546
"36","2007-02-23",10.036364
"37","2007-02-26",10.090909
"38","2007-02-27",10.054545
"39","2007-02-28",10.027273
"40","2007-03-01",10.090909
"41","2007-03-02",10
"42","2007-03-05",9.772727
"43","2007-03-06",9.718182
"44","2007-03-07",10.318182
"45","2007-03-08",10.436363
"46","2007-03-09",10.427273
"47","2007-03-12",10.545455
"48","2007-03-13",10.163636
"49","2007-03-14",10.009091
"50","2007-03-15",9.990909
"51","2007-03-16",10.036364
"52","2007-03-19",10.072727
"53","2007-03-20",10.209091
"54","2007-03-21",10.281818
"55","2007-03-22",10.945455
"56","2007-03-23",10.918181
"57","2007-03-26",10.754545
"58","2007-03-27",10.3
"59","2007-03-28",10.154546
"60","2007-03-29",10.190909
"61","2007-03-30",10.145454
"62","2007-04-02",10.127273
"63","2007-04-03",10.363636
"64","2007-04-04",10.545455
"65","2007-04-05",10.509091
"66","2007-04-09",10.163636
"67","2007-04-10",10
"68","2007-04-11",10
"69","2007-04-12",10.027273
"70","2007-04-13",10.045455
"71","2007-04-16",10.054545
"72","2007-04-17",10.090909
"73","2007-04-18",10.063637
"74","2007-04-19",10.327272
"75","2007-04-20",10.4
"76","2007-04-23",10.454545
"77","2007-04-24",10.454545
"78","2007-04-25",10.590909
"79","2007-04-26",10.590909
"80","2007-04-27",11.018182
"81","2007-04-30",11.3
"82","2007-05-01",11.272727
"83","2007-05-02",11.1
"84","2007-05-03",11.136364
"85","2007-05-04",10.9
"86","2007-05-07",10.527273
"87","2007-05-08",10.209091
"88","2007-05-09",10.118182
"89","2007-05-10",10.409091
"90","2007-05-11",10.318182
"91","2007-05-14",10.154546
"92","2007-05-15",10.318182
"93","2007-05-16",10.454545
"94","2007-05-17",10.327272
"95","2007-05-18",10.545455
"96","2007-05-21",10.509091
"97","2007-05-22",10.6
"98","2007-05-23",10.581819
"99","2007-05-24",10.236363
"100","2007-05-25",10.118182
"101","2007-05-29",9.936363
"102","2007-05-30",10.136364
"103","2007-05-31",10.390909
"104","2007-06-01",10.090909
"105","2007-06-04",10.009091
"106","2007-06-05",10.063637
"107","2007-06-06",10.045455
"108","2007-06-07",10.054545
"109","2007-06-08",10.054545
"110","2007-06-11",10.1
"111","2007-06-12",10
"112","2007-06-13",10
"113","2007-06-14",10.009091
"114","2007-06-15",10.027273
"115","2007-06-18",10.009091
"116","2007-06-19",10
"117","2007-06-20",10
"118","2007-06-21",9.945455
"119","2007-06-22",10.027273
"120","2007-06-25",10
"121","2007-06-26",9.8
"122","2007-06-27",9.836364
"123","2007-06-28",9.781818
"124","2007-06-29",9.772727
"125","2007-07-02",10
"126","2007-07-03",9.818182
"127","2007-07-05",9.863636
"128","2007-07-06",9.827272
"129","2007-07-09",9.836364
