"","date","SGEN"
"1","2007-01-03",5.28
"2","2007-01-04",5.29
"3","2007-01-05",5.29
"4","2007-01-08",6.56
"5","2007-01-09",6.4
"6","2007-01-10",6.89
"7","2007-01-11",7.13
"8","2007-01-12",7.11
"9","2007-01-16",7.26
"10","2007-01-17",7.15
"11","2007-01-18",6.86
"12","2007-01-19",6.99
"13","2007-01-22",6.95
"14","2007-01-23",6.93
"15","2007-01-24",6.95
"16","2007-01-25",6.98
"17","2007-01-26",7.05
"18","2007-01-29",7.23
"19","2007-01-30",7.04
"20","2007-01-31",7.24
"21","2007-02-01",8.35
"22","2007-02-02",9.3
"23","2007-02-05",9.39
"24","2007-02-06",9.25
"25","2007-02-07",9.08
"26","2007-02-08",9.03
"27","2007-02-09",8.64
"28","2007-02-12",8.77
"29","2007-02-13",9.16
"30","2007-02-14",9.46
"31","2007-02-15",9.02
"32","2007-02-16",9.02
"33","2007-02-20",8.89
"34","2007-02-21",8.73
"35","2007-02-22",8.49
"36","2007-02-23",8.3
"37","2007-02-26",8.19
"38","2007-02-27",7.73
"39","2007-02-28",7.8
"40","2007-03-01",7.65
"41","2007-03-02",7.33
"42","2007-03-05",7.05
"43","2007-03-06",7.32
"44","2007-03-07",7.19
"45","2007-03-08",7.69
"46","2007-03-09",7.55
"47","2007-03-12",7.65
"48","2007-03-13",7.19
"49","2007-03-14",7.27
"50","2007-03-15",7.29
"51","2007-03-16",7.06
"52","2007-03-19",7.37
"53","2007-03-20",7.97
"54","2007-03-21",8.36
"55","2007-03-22",8.19
"56","2007-03-23",8.03
"57","2007-03-26",8.06
"58","2007-03-27",8.15
"59","2007-03-28",8.06
"60","2007-03-29",7.95
"61","2007-03-30",8.19
"62","2007-04-02",8.24
"63","2007-04-03",8.41
"64","2007-04-04",8.64
"65","2007-04-05",8.48
"66","2007-04-09",8.5
"67","2007-04-10",8.63
"68","2007-04-11",8.88
"69","2007-04-12",9.09
"70","2007-04-13",9.13
"71","2007-04-16",9.18
"72","2007-04-17",9.18
"73","2007-04-18",9.29
"74","2007-04-19",9.05
"75","2007-04-20",9.08
"76","2007-04-23",9.46
"77","2007-04-24",9.94
"78","2007-04-25",9.72
"79","2007-04-26",9.85
"80","2007-04-27",9.62
"81","2007-04-30",9.51
"82","2007-05-01",9.35
"83","2007-05-02",9.55
"84","2007-05-03",9.62
"85","2007-05-04",9.53
"86","2007-05-07",9.69
"87","2007-05-08",9.44
"88","2007-05-09",9.37
"89","2007-05-10",9.25
"90","2007-05-11",9.32
"91","2007-05-14",9.29
"92","2007-05-15",9.34
"93","2007-05-16",9.79
"94","2007-05-17",10.38
"95","2007-05-18",10.41
"96","2007-05-21",10.6
"97","2007-05-22",10.79
"98","2007-05-23",11.11
"99","2007-05-24",10.11
"100","2007-05-25",10.2
"101","2007-05-29",10.2
"102","2007-05-30",10.4
"103","2007-05-31",10.52
"104","2007-06-01",10.35
"105","2007-06-04",10.52
"106","2007-06-05",10.57
"107","2007-06-06",10.54
"108","2007-06-07",10.18
"109","2007-06-08",10.11
"110","2007-06-11",10.1
"111","2007-06-12",9.43
"112","2007-06-13",9.82
"113","2007-06-14",9.82
"114","2007-06-15",9.91
"115","2007-06-18",9.51
"116","2007-06-19",9.85
"117","2007-06-20",10.12
"118","2007-06-21",9.7
"119","2007-06-22",9.5
"120","2007-06-25",9.51
"121","2007-06-26",9.5
"122","2007-06-27",9.95
"123","2007-06-28",9.95
"124","2007-06-29",9.81
"125","2007-07-02",10.11
"126","2007-07-03",10.19
"127","2007-07-05",10.16
"128","2007-07-06",10.12
"129","2007-07-09",10.29
"130","2007-07-10",10.02
"131","2007-07-11",10.24
"132","2007-07-12",10.2
"133","2007-07-13",10.24
"134","2007-07-16",9.86
"135","2007-07-17",9.94
"136","2007-07-18",9.72
"137","2007-07-19",9.92
"138","2007-07-20",9.81
"139","2007-07-23",9.84
"140","2007-07-24",9.62
"141","2007-07-25",9.64
"142","2007-07-26",9.6
"143","2007-07-27",9.5
"144","2007-07-30",9.52
"145","2007-07-31",9.53
"146","2007-08-01",9.52
"147","2007-08-02",9.53
"148","2007-08-03",8.81
"149","2007-08-06",8.98
"150","2007-08-07",8.85
"151","2007-08-08",9.48
"152","2007-08-09",9.36
"153","2007-08-10",9.78
"154","2007-08-13",10.16
"155","2007-08-14",10.34
"156","2007-08-15",10.5
"157","2007-08-16",10.7
"158","2007-08-17",11.17
"159","2007-08-20",11.16
"160","2007-08-21",10.94
"161","2007-08-22",11.02
"162","2007-08-23",10.44
"163","2007-08-24",10.42
"164","2007-08-27",10.27
"165","2007-08-28",10.29
"166","2007-08-29",10.67
"167","2007-08-30",10.42
"168","2007-08-31",10.26
"169","2007-09-04",10.43
"170","2007-09-05",10.33
"171","2007-09-06",10.86
"172","2007-09-07",10.62
"173","2007-09-10",10.69
"174","2007-09-11",11
"175","2007-09-12",11.05
"176","2007-09-13",10.9
"177","2007-09-14",10.74
"178","2007-09-17",10.72
"179","2007-09-18",11.4
"180","2007-09-19",11.32
"181","2007-09-20",11.68
"182","2007-09-21",11.8
"183","2007-09-24",11.6
"184","2007-09-25",11.83
"185","2007-09-26",11.89
"186","2007-09-27",11.59
"187","2007-09-28",11.24
"188","2007-10-01",11.81
