"","date","MEG"
"1","2020-07-23",22
"2","2020-07-24",22.389999
"3","2020-07-27",21.75
"4","2020-07-28",21.48
"5","2020-07-29",22.280001
"6","2020-07-30",22.219999
"7","2020-07-31",21.75
"8","2020-08-03",23.99
"9","2020-08-04",24.370001
"10","2020-08-05",24.059999
"11","2020-08-06",25
"12","2020-08-07",23.25
"13","2020-08-10",22.799999
"14","2020-08-11",22.459999
"15","2020-08-12",23.700001
"16","2020-08-13",24.74
"17","2020-08-14",25.719999
"18","2020-08-17",23.809999
"19","2020-08-18",26.040001
"20","2020-08-19",25.620001
"21","2020-08-20",25.17
"22","2020-08-21",26.139999
"23","2020-08-24",25.24
"24","2020-08-25",26.219999
"25","2020-08-26",27.51
"26","2020-08-27",27.08
"27","2020-08-28",28.799999
"28","2020-08-31",28.190001
"29","2020-09-01",28.200001
"30","2020-09-02",31.42
"31","2020-09-03",29.219999
"32","2020-09-04",28.940001
"33","2020-09-08",30.639999
"34","2020-09-09",29
"35","2020-09-10",30.049999
"36","2020-09-11",29.07
"37","2020-09-14",29.59
"38","2020-09-15",26.98
"39","2020-09-16",26.75
"40","2020-09-17",25.700001
"41","2020-09-18",24.450001
"42","2020-09-21",22.370001
"43","2020-09-22",24.120001
"44","2020-09-23",23.540001
"45","2020-09-24",23.91
"46","2020-09-25",24.18
"47","2020-09-28",24.66
"48","2020-09-29",24.690001
"49","2020-09-30",23.82
"50","2020-10-01",24.540001
"51","2020-10-02",23.959999
"52","2020-10-05",24.35
"53","2020-10-06",23.26
"54","2020-10-07",23.309999
"55","2020-10-08",23.120001
"56","2020-10-09",23.370001
"57","2020-10-12",22.469999
"58","2020-10-13",24.48
"59","2020-10-14",24.24
"60","2020-10-15",25.34
"61","2020-10-16",26.52
"62","2020-10-19",26.049999
"63","2020-10-20",26.549999
"64","2020-10-21",28.32
"65","2020-10-22",28.040001
"66","2020-10-23",27.67
"67","2020-10-26",26.1
"68","2020-10-27",25.870001
"69","2020-10-28",26.77
"70","2020-10-29",26.790001
"71","2020-10-30",27.030001
"72","2020-11-02",26.6
"73","2020-11-03",27.780001
"74","2020-11-04",27.6
"75","2020-11-05",29.799999
"76","2020-11-06",28.35
"77","2020-11-09",28.57
"78","2020-11-10",29.530001
"79","2020-11-11",31.09
"80","2020-11-12",30
"81","2020-11-13",30.93
"82","2020-11-16",33.09
"83","2020-11-17",34.709999
"84","2020-11-18",34.380001
"85","2020-11-19",34.619999
"86","2020-11-20",33.669998
"87","2020-11-23",29.93
"88","2020-11-24",27.809999
"89","2020-11-25",29.58
"90","2020-11-27",28.440001
