"","date","XNCR"
"1","2013-12-03",8.34
"2","2013-12-04",7.85
"3","2013-12-05",7.55
"4","2013-12-06",7.76
"5","2013-12-09",8.2
"6","2013-12-10",8.99
"7","2013-12-11",8.76
"8","2013-12-12",8.49
"9","2013-12-13",8.54
"10","2013-12-16",8.74
"11","2013-12-17",8.5
"12","2013-12-18",8.6
"13","2013-12-19",8.59
"14","2013-12-20",8.68
"15","2013-12-23",8.76
"16","2013-12-24",8.95
"17","2013-12-26",9.275
"18","2013-12-27",9.2
"19","2013-12-30",8.62
"20","2013-12-31",9.14
"21","2014-01-02",8.88
"22","2014-01-03",9.15
"23","2014-01-06",9.06
"24","2014-01-07",9.23
"25","2014-01-08",9.62
"26","2014-01-09",9.75
"27","2014-01-10",9.61
"28","2014-01-13",9.25
"29","2014-01-14",8.95
"30","2014-01-15",9.79
"31","2014-01-16",9.63
"32","2014-01-17",9.71
"33","2014-01-21",8.95
"34","2014-01-22",8.71
"35","2014-01-23",8.51
"36","2014-01-24",8.49
"37","2014-01-27",8.59
"38","2014-01-28",9.04
"39","2014-01-29",9.02
"40","2014-01-30",8.97
"41","2014-01-31",8.79
"42","2014-02-03",9
"43","2014-02-04",8.96
"44","2014-02-05",9.49
"45","2014-02-06",9.17
"46","2014-02-07",9.15
"47","2014-02-10",9.29
"48","2014-02-11",9.09
"49","2014-02-12",9.14
"50","2014-02-13",9.08
"51","2014-02-14",8.89
"52","2014-02-18",9.5
"53","2014-02-19",10.05
"54","2014-02-20",10.19
"55","2014-02-21",11.05
"56","2014-02-24",11.14
"57","2014-02-25",11.15
"58","2014-02-26",11.43
"59","2014-02-27",11.33
"60","2014-02-28",11.24
"61","2014-03-03",11.3
"62","2014-03-04",11.44
"63","2014-03-05",11.91
"64","2014-03-06",12
"65","2014-03-07",12.5
"66","2014-03-10",13.05
"67","2014-03-11",13.66
"68","2014-03-12",13.9
"69","2014-03-13",13.68
"70","2014-03-14",13.9
"71","2014-03-17",13.61
"72","2014-03-18",13.4
"73","2014-03-19",13.13
"74","2014-03-20",13.06
"75","2014-03-21",12.47
"76","2014-03-24",11.15
"77","2014-03-25",12.01
"78","2014-03-26",11.12
"79","2014-03-27",11.23
"80","2014-03-28",10.55
"81","2014-03-31",11.73
"82","2014-04-01",11.95
"83","2014-04-02",11.48
"84","2014-04-03",11.59
"85","2014-04-04",10.9
"86","2014-04-07",10.26
"87","2014-04-08",10.25
"88","2014-04-09",10.29
"89","2014-04-10",9.81
"90","2014-04-11",9.59
"91","2014-04-14",9.74
"92","2014-04-15",9.52
"93","2014-04-16",10.2
"94","2014-04-17",10.34
"95","2014-04-21",10.14
"96","2014-04-22",10.28
"97","2014-04-23",10.22
"98","2014-04-24",10.26
"99","2014-04-25",10.3
"100","2014-04-28",9.89
"101","2014-04-29",9.88
"102","2014-04-30",9.9
"103","2014-05-01",9.83
"104","2014-05-02",9.3
"105","2014-05-05",9.26
"106","2014-05-06",8.71
"107","2014-05-07",8.76
"108","2014-05-08",8.32
"109","2014-05-09",8.35
"110","2014-05-12",8.83
"111","2014-05-13",8.27
"112","2014-05-14",8.2
"113","2014-05-15",8.08
"114","2014-05-16",8.07
"115","2014-05-19",8.01
"116","2014-05-20",7.99
"117","2014-05-21",8.05
"118","2014-05-22",8
"119","2014-05-23",8.04
"120","2014-05-27",8.21
"121","2014-05-28",8.44
"122","2014-05-29",8.56
"123","2014-05-30",8.8
"124","2014-06-02",8.65
"125","2014-06-03",8.9
"126","2014-06-04",8.92
"127","2014-06-05",9.32
"128","2014-06-06",10.18
"129","2014-06-09",10.17
"130","2014-06-10",10.42
"131","2014-06-11",11.01
"132","2014-06-12",11.46
"133","2014-06-13",11.39
"134","2014-06-16",11.1
"135","2014-06-17",11.17
"136","2014-06-18",11.3
"137","2014-06-19",11.21
"138","2014-06-20",11.21
"139","2014-06-23",11.23
"140","2014-06-24",11.06
"141","2014-06-25",11.05
"142","2014-06-26",10.94
"143","2014-06-27",11.26
"144","2014-06-30",11.62
"145","2014-07-01",11.13
"146","2014-07-02",10.95
"147","2014-07-03",10.9
"148","2014-07-07",10.56
"149","2014-07-08",10.29
"150","2014-07-09",10.33
"151","2014-07-10",10.08
"152","2014-07-11",10.66
"153","2014-07-14",10.73
"154","2014-07-15",10.81
"155","2014-07-16",10.45
"156","2014-07-17",9.85
"157","2014-07-18",9.54
"158","2014-07-21",9.84
"159","2014-07-22",9.96
"160","2014-07-23",9.97
"161","2014-07-24",9.69
"162","2014-07-25",9.5
"163","2014-07-28",9.42
"164","2014-07-29",9.58
"165","2014-07-30",9.58
"166","2014-07-31",9.66
"167","2014-08-01",9.83
"168","2014-08-04",9.82
"169","2014-08-05",10.08
"170","2014-08-06",10.04
"171","2014-08-07",9.78
"172","2014-08-08",9.9
"173","2014-08-11",9.86
"174","2014-08-12",9.38
"175","2014-08-13",9.9
"176","2014-08-14",9.87
"177","2014-08-15",9.8
"178","2014-08-18",9.84
"179","2014-08-19",10.21
"180","2014-08-20",9.84
"181","2014-08-21",9.84
"182","2014-08-22",10.25
"183","2014-08-25",10.29
"184","2014-08-26",10.4
"185","2014-08-27",10.44
"186","2014-08-28",10.29
"187","2014-08-29",10.69
"188","2014-09-02",10.59
"189","2014-09-03",10.52
"190","2014-09-04",10.56
"191","2014-09-05",10.49
"192","2014-09-08",10.66
"193","2014-09-09",10.71
"194","2014-09-10",10.73
"195","2014-09-11",10.81
"196","2014-09-12",10.58
"197","2014-09-15",10.59
"198","2014-09-16",10.67
"199","2014-09-17",10.7
"200","2014-09-18",10.46
"201","2014-09-19",9.69
"202","2014-09-22",9.33
"203","2014-09-23",9.26
"204","2014-09-24",9.6
"205","2014-09-25",9.445
"206","2014-09-26",9.57
"207","2014-09-29",9.36
"208","2014-09-30",9.31
"209","2014-10-01",9
"210","2014-10-02",9.84
"211","2014-10-03",9.77
"212","2014-10-06",9.76
"213","2014-10-07",10.12
"214","2014-10-08",10.43
"215","2014-10-09",10.56
"216","2014-10-10",9.9
"217","2014-10-13",9.86
"218","2014-10-14",9.79
"219","2014-10-15",10.505
"220","2014-10-16",10.4
"221","2014-10-17",10.17
"222","2014-10-20",10.49
"223","2014-10-21",10.53
"224","2014-10-22",10.24
"225","2014-10-23",10.5
"226","2014-10-24",10.5
"227","2014-10-27",10.56
"228","2014-10-28",10.6
"229","2014-10-29",10.49
"230","2014-10-30",10.5
"231","2014-10-31",10.79
"232","2014-11-03",10.68
"233","2014-11-04",10.73
"234","2014-11-05",10.82
"235","2014-11-06",10.88
"236","2014-11-07",10.72
"237","2014-11-10",11.22
"238","2014-11-11",11.11
"239","2014-11-12",11.2
"240","2014-11-13",11.21
"241","2014-11-14",11.19
"242","2014-11-17",11.14
"243","2014-11-18",11.1
"244","2014-11-19",10.78
"245","2014-11-20",10.47
"246","2014-11-21",10.59
"247","2014-11-24",10.75
"248","2014-11-25",10.68
"249","2014-11-26",11.15
"250","2014-11-28",11.21
"251","2014-12-01",10.77
"252","2014-12-02",11.11
"253","2014-12-03",11.31
"254","2014-12-04",10.97
"255","2014-12-05",10.76
"256","2014-12-08",10.96
"257","2014-12-09",11.54
"258","2014-12-10",11.33
"259","2014-12-11",11.6
"260","2014-12-12",11.78
"261","2014-12-15",11.49
"262","2014-12-16",12
"263","2014-12-17",15.55
"264","2014-12-18",16.299999
"265","2014-12-19",16.620001
"266","2014-12-22",16.719999
"267","2014-12-23",16.059999
"268","2014-12-24",16.83
"269","2014-12-26",16.67
"270","2014-12-29",16.379999
"271","2014-12-30",16.52
"272","2014-12-31",16.040001
"273","2015-01-02",16.25
"274","2015-01-05",15.88
"275","2015-01-06",16.48
"276","2015-01-07",16.5
"277","2015-01-08",17.200001
"278","2015-01-09",17.26
"279","2015-01-12",17.1
"280","2015-01-13",17.52
"281","2015-01-14",17.43
"282","2015-01-15",17.24
"283","2015-01-16",17.15
"284","2015-01-20",17.450001
"285","2015-01-21",17.18
"286","2015-01-22",17
"287","2015-01-23",17.41
"288","2015-01-26",17.16
"289","2015-01-27",16.98
"290","2015-01-28",16.92
"291","2015-01-29",15.53
"292","2015-01-30",15.15
"293","2015-02-02",15.27
"294","2015-02-03",14.37
"295","2015-02-04",14.27
"296","2015-02-05",15.14
"297","2015-02-06",15.03
"298","2015-02-09",14.7
"299","2015-02-10",15.44
"300","2015-02-11",15.64
"301","2015-02-12",15.69
"302","2015-02-13",15.47
"303","2015-02-17",15.29
"304","2015-02-18",15.19
"305","2015-02-19",15.05
"306","2015-02-20",15.06
"307","2015-02-23",15.32
"308","2015-02-24",14.51
"309","2015-02-25",15.1
"310","2015-02-26",15.27
"311","2015-02-27",15.6
"312","2015-03-02",15.83
"313","2015-03-03",16
"314","2015-03-04",15.99
"315","2015-03-05",16
"316","2015-03-06",15.33
"317","2015-03-09",14.87
"318","2015-03-10",14.87
"319","2015-03-11",15.1
"320","2015-03-12",14.7
"321","2015-03-13",14.54
"322","2015-03-16",15.07
"323","2015-03-17",15.39
"324","2015-03-18",15.35
"325","2015-03-19",15.99
"326","2015-03-20",15.99
"327","2015-03-23",16
"328","2015-03-24",16.01
"329","2015-03-25",14.54
"330","2015-03-26",14.96
"331","2015-03-27",15.2
"332","2015-03-30",15.45
"333","2015-03-31",15.32
"334","2015-04-01",15.16
"335","2015-04-02",14.74
"336","2015-04-06",14.55
"337","2015-04-07",14.37
"338","2015-04-08",15.14
"339","2015-04-09",15.22
"340","2015-04-10",15.79
"341","2015-04-13",15.91
"342","2015-04-14",15.72
"343","2015-04-15",15.72
"344","2015-04-16",15.4
"345","2015-04-17",14.87
"346","2015-04-20",14.75
"347","2015-04-21",14.79
"348","2015-04-22",14.63
"349","2015-04-23",14.51
"350","2015-04-24",14.73
"351","2015-04-27",14.4
"352","2015-04-28",14.71
"353","2015-04-29",14.85
