"","date","KERN"
"1","2018-02-26",9.62
"2","2018-02-27",9.62
"3","2018-02-28",9.58
"4","2018-03-01",9.58
"5","2018-03-02",9.58
"6","2018-03-05",9.58
"7","2018-03-06",9.58
"8","2018-03-07",9.58
"9","2018-03-08",9.58
"10","2018-03-09",9.58
"11","2018-03-12",9.58
"12","2018-03-13",9.58
"13","2018-03-14",9.58
"14","2018-03-15",9.58
"15","2018-03-16",9.58
"16","2018-03-19",9.58
"17","2018-03-20",9.58
"18","2018-03-21",9.62
"19","2018-03-22",9.6
"20","2018-03-23",9.6
"21","2018-03-26",9.6
"22","2018-03-27",9.6
"23","2018-03-28",9.58
"24","2018-03-29",9.58
"25","2018-04-02",9.6
"26","2018-04-03",9.6
"27","2018-04-04",9.6
"28","2018-04-05",9.58
"29","2018-04-06",9.58
"30","2018-04-09",9.58
"31","2018-04-10",9.58
"32","2018-04-11",9.58
"33","2018-04-12",9.58
"34","2018-04-13",9.5
"35","2018-04-16",9.75
"36","2018-04-17",9.7
"37","2018-04-18",9.7
"38","2018-04-19",9.7
"39","2018-04-20",9.7
"40","2018-04-23",9.7
"41","2018-04-24",9.95
"42","2018-04-25",9.95
"43","2018-04-26",9.7
"44","2018-04-27",9.7
"45","2018-04-30",9.7
"46","2018-05-01",9.7
"47","2018-05-02",9.7
"48","2018-05-03",9.7
"49","2018-05-04",9.7
"50","2018-05-07",9.7
"51","2018-05-08",9.7
"52","2018-05-09",9.7
"53","2018-05-10",9.7
"54","2018-05-11",9.61
"55","2018-05-14",9.61
"56","2018-05-15",9.7
"57","2018-05-16",9.66
"58","2018-05-17",9.66
"59","2018-05-18",9.7
"60","2018-05-21",9.7
"61","2018-05-22",9.7
"62","2018-05-23",9.7
"63","2018-05-24",9.7
"64","2018-05-25",9.7
"65","2018-05-29",9.95
"66","2018-05-30",9.75
"67","2018-05-31",9.74
"68","2018-06-01",9.74
"69","2018-06-04",9.74
"70","2018-06-05",9.78
"71","2018-06-06",9.75
"72","2018-06-07",9.75
"73","2018-06-08",9.75
"74","2018-06-11",9.75
"75","2018-06-12",9.75
"76","2018-06-13",9.71
"77","2018-06-14",9.71
"78","2018-06-15",9.71
"79","2018-06-18",9.71
"80","2018-06-19",9.74
"81","2018-06-20",9.76
"82","2018-06-21",9.76
"83","2018-06-22",9.76
"84","2018-06-25",9.75
"85","2018-06-26",9.75
"86","2018-06-27",9.73
"87","2018-06-28",9.73
"88","2018-06-29",9.76
"89","2018-07-02",9.76
"90","2018-07-03",9.75
"91","2018-07-05",9.75
"92","2018-07-06",9.75
"93","2018-07-09",9.75
"94","2018-07-10",9.75
"95","2018-07-11",9.75
"96","2018-07-12",9.75
"97","2018-07-13",9.9
"98","2018-07-16",9.9
"99","2018-07-17",9.9
"100","2018-07-18",9.9
"101","2018-07-19",9.9
"102","2018-07-20",9.9
"103","2018-07-23",9.9
"104","2018-07-24",9.875
"105","2018-07-25",10
"106","2018-07-26",10
"107","2018-07-27",9.8
"108","2018-07-30",10.2
"109","2018-07-31",10.2
"110","2018-08-01",10.2
"111","2018-08-02",10.2
"112","2018-08-03",10.2
"113","2018-08-06",10.2
"114","2018-08-07",10.2
"115","2018-08-08",10.2
"116","2018-08-09",10.2
"117","2018-08-10",9.85
"118","2018-08-13",9.85
"119","2018-08-14",10.03
"120","2018-08-15",9.929
"121","2018-08-16",9.929
"122","2018-08-17",10.2
"123","2018-08-20",10.2
"124","2018-08-21",10.2
"125","2018-08-22",10.2
"126","2018-08-23",10.1
"127","2018-08-24",10.09
"128","2018-08-27",10.09
"129","2018-08-28",10.09
"130","2018-08-29",10.09
"131","2018-08-30",9.966
"132","2018-08-31",9.966
"133","2018-09-04",9.966
"134","2018-09-05",10.04
"135","2018-09-06",10.1
"136","2018-09-07",10.1
"137","2018-09-10",10.13
"138","2018-09-11",10.1
"139","2018-09-12",10.1
"140","2018-09-13",10.1
"141","2018-09-14",10.1
"142","2018-09-17",10.1
"143","2018-09-18",10.15
"144","2018-09-19",10.15
"145","2018-09-20",10.2
"146","2018-09-21",10.2
"147","2018-09-24",10.25
"148","2018-09-25",10.25
