"","date","VVNT"
"1","2017-12-11",9.75
"2","2017-12-12",9.75
"3","2017-12-13",9.7
"4","2017-12-14",9.7
"5","2017-12-15",9.7
"6","2017-12-18",9.7
"7","2017-12-19",9.7
"8","2017-12-20",9.7
"9","2017-12-21",9.65
"10","2017-12-22",9.65
"11","2017-12-26",9.65
"12","2017-12-27",9.7
"13","2017-12-28",9.7
"14","2017-12-29",9.7
"15","2018-01-02",9.725
"16","2018-01-03",9.725
"17","2018-01-04",9.725
"18","2018-01-05",9.693
"19","2018-01-08",9.693
"20","2018-01-09",9.693
"21","2018-01-10",9.693
"22","2018-01-11",9.7
"23","2018-01-12",9.7
"24","2018-01-16",9.693
"25","2018-01-17",9.73
"26","2018-01-18",9.82
"27","2018-01-19",9.73
"28","2018-01-22",9.7
"29","2018-01-23",9.7
"30","2018-01-24",9.7
"31","2018-01-25",9.7
"32","2018-01-26",9.7
"33","2018-01-29",9.7
"34","2018-01-30",9.7
"35","2018-01-31",9.7
"36","2018-02-01",9.7
"37","2018-02-02",9.7
"38","2018-02-05",9.7
"39","2018-02-06",9.7
"40","2018-02-07",9.7
"41","2018-02-08",9.7
"42","2018-02-09",9.6
"43","2018-02-12",9.6
"44","2018-02-13",9.649
"45","2018-02-14",9.63
"46","2018-02-15",9.6
"47","2018-02-16",9.6
"48","2018-02-20",9.6
"49","2018-02-21",9.58
"50","2018-02-22",9.58
"51","2018-02-23",9.58
"52","2018-02-26",9.58
"53","2018-02-27",9.57
"54","2018-02-28",9.57
"55","2018-03-01",9.57
"56","2018-03-02",9.57
"57","2018-03-05",9.57
"58","2018-03-06",9.57
"59","2018-03-07",9.65
"60","2018-03-08",9.65
"61","2018-03-09",9.65
"62","2018-03-12",9.65
"63","2018-03-13",9.7
"64","2018-03-14",9.7
"65","2018-03-15",9.7
"66","2018-03-16",9.7
"67","2018-03-19",9.65
"68","2018-03-20",9.65
"69","2018-03-21",9.65
"70","2018-03-22",9.65
"71","2018-03-23",9.65
"72","2018-03-26",9.65
"73","2018-03-27",9.65
"74","2018-03-28",9.75
"75","2018-03-29",9.75
"76","2018-04-02",9.75
"77","2018-04-03",9.75
"78","2018-04-04",9.75
"79","2018-04-05",9.75
"80","2018-04-06",9.72
"81","2018-04-09",9.72
"82","2018-04-10",9.72
"83","2018-04-11",9.72
"84","2018-04-12",9.72
"85","2018-04-13",9.72
"86","2018-04-16",9.72
"87","2018-04-17",9.72
"88","2018-04-18",9.72
"89","2018-04-19",9.72
"90","2018-04-20",9.72
"91","2018-04-23",9.7
"92","2018-04-24",9.57
"93","2018-04-25",9.75
"94","2018-04-26",9.75
"95","2018-04-27",9.75
"96","2018-04-30",9.647
"97","2018-05-01",9.68
"98","2018-05-02",9.68
"99","2018-05-03",9.68
"100","2018-05-04",9.68
"101","2018-05-07",9.68
"102","2018-05-08",9.7
"103","2018-05-09",9.66
"104","2018-05-10",9.66
"105","2018-05-11",9.66
"106","2018-05-14",9.71
"107","2018-05-15",9.71
"108","2018-05-16",9.71
"109","2018-05-17",9.7
"110","2018-05-18",9.7
"111","2018-05-21",9.71
"112","2018-05-22",9.71
"113","2018-05-23",9.71
"114","2018-05-24",9.71
"115","2018-05-25",9.71
"116","2018-05-29",9.74
"117","2018-05-30",9.74
"118","2018-05-31",9.74
"119","2018-06-01",9.74
"120","2018-06-04",9.74
"121","2018-06-05",9.68
