"","date","PSMT"
"1","2007-01-03",17.24
"2","2007-01-04",18.6
"3","2007-01-05",18.139999
"4","2007-01-08",17.98
"5","2007-01-09",16.120001
"6","2007-01-10",16.610001
"7","2007-01-11",16.709999
"8","2007-01-12",17
"9","2007-01-16",16.83
"10","2007-01-17",16.32
"11","2007-01-18",16.24
"12","2007-01-19",16.120001
"13","2007-01-22",15.66
"14","2007-01-23",15.98
"15","2007-01-24",16
"16","2007-01-25",15.74
"17","2007-01-26",15.22
"18","2007-01-29",15.87
"19","2007-01-30",15.93
"20","2007-01-31",15.69
"21","2007-02-01",15.57
"22","2007-02-02",16.360001
"23","2007-02-05",15.87
"24","2007-02-06",15.44
"25","2007-02-07",15.24
"26","2007-02-08",15.21
"27","2007-02-09",14.87
"28","2007-02-12",14.8
"29","2007-02-13",15.24
"30","2007-02-14",14.86
"31","2007-02-15",14.73
"32","2007-02-16",14.66
"33","2007-02-20",14.99
"34","2007-02-21",14.94
"35","2007-02-22",14.92
"36","2007-02-23",14.71
"37","2007-02-26",14.93
"38","2007-02-27",14.31
"39","2007-02-28",14.54
"40","2007-03-01",14.49
"41","2007-03-02",14.16
"42","2007-03-05",13.72
"43","2007-03-06",13.4
"44","2007-03-07",13.35
"45","2007-03-08",15.69
"46","2007-03-09",15.92
"47","2007-03-12",15.77
"48","2007-03-13",15.12
"49","2007-03-14",14.97
"50","2007-03-15",15.02
"51","2007-03-16",14.48
"52","2007-03-19",15.07
"53","2007-03-20",15.17
"54","2007-03-21",15.43
"55","2007-03-22",16.209999
"56","2007-03-23",16.129999
"57","2007-03-26",16.23
"58","2007-03-27",16.24
"59","2007-03-28",15.96
"60","2007-03-29",15.6
"61","2007-03-30",15.36
"62","2007-04-02",15.36
"63","2007-04-03",16.99
"64","2007-04-04",17
"65","2007-04-05",17.379999
"66","2007-04-09",17.549999
"67","2007-04-10",17.15
"68","2007-04-11",17.059999
"69","2007-04-12",17.129999
"70","2007-04-13",17.139999
"71","2007-04-16",17.17
"72","2007-04-17",16.9
"73","2007-04-18",16.77
"74","2007-04-19",16.41
"75","2007-04-20",16.809999
"76","2007-04-23",17.059999
"77","2007-04-24",16.98
"78","2007-04-25",17.34
"79","2007-04-26",17.27
"80","2007-04-27",17.01
"81","2007-04-30",16.629999
"82","2007-05-01",17.26
"83","2007-05-02",17.200001
"84","2007-05-03",16.99
"85","2007-05-04",17.1
"86","2007-05-07",17.08
"87","2007-05-08",18.209999
"88","2007-05-09",18.16
"89","2007-05-10",18.01
"90","2007-05-11",18.139999
"91","2007-05-14",18.26
"92","2007-05-15",18.860001
"93","2007-05-16",19.09
"94","2007-05-17",19.379999
"95","2007-05-18",19.73
"96","2007-05-21",19.700001
"97","2007-05-22",19.6
"98","2007-05-23",19.49
"99","2007-05-24",19.5
"100","2007-05-25",19.66
"101","2007-05-29",19.93
"102","2007-05-30",20.379999
"103","2007-05-31",20.5
"104","2007-06-01",20.450001
