"","date","DHC"
"1","2007-01-03",24.4
"2","2007-01-04",24.530001
"3","2007-01-05",24.530001
"4","2007-01-08",24.6
"5","2007-01-09",24.790001
"6","2007-01-10",25.32
"7","2007-01-11",25.65
"8","2007-01-12",25.76
"9","2007-01-16",25.719999
"10","2007-01-17",25.58
"11","2007-01-18",25.65
"12","2007-01-19",26.110001
"13","2007-01-22",25.66
"14","2007-01-23",25.52
"15","2007-01-24",25.83
"16","2007-01-25",25.73
"17","2007-01-26",25.940001
"18","2007-01-29",25.93
"19","2007-01-30",26.1
"20","2007-01-31",26.02
"21","2007-02-01",26.200001
"22","2007-02-02",26.48
"23","2007-02-05",26.08
"24","2007-02-06",26.49
"25","2007-02-07",26.75
"26","2007-02-08",26.360001
"27","2007-02-09",26.459999
"28","2007-02-12",26.030001
"29","2007-02-13",26.379999
"30","2007-02-14",25.709999
"31","2007-02-15",26
"32","2007-02-16",25.85
"33","2007-02-20",26.059999
"34","2007-02-21",25.98
"35","2007-02-22",25.790001
"36","2007-02-23",25.27
"37","2007-02-26",24.92
"38","2007-02-27",23.389999
"39","2007-02-28",23.940001
"40","2007-03-01",23.76
"41","2007-03-02",23.1
"42","2007-03-05",21.790001
"43","2007-03-06",23.120001
"44","2007-03-07",22.639999
"45","2007-03-08",22.83
"46","2007-03-09",23.23
"47","2007-03-12",23.299999
"48","2007-03-13",22.57
"49","2007-03-14",22.700001
"50","2007-03-15",23.09
"51","2007-03-16",22.299999
"52","2007-03-19",22.559999
"53","2007-03-20",23.08
"54","2007-03-21",23.620001
"55","2007-03-22",23.84
"56","2007-03-23",23.65
"57","2007-03-26",23.559999
"58","2007-03-27",23.32
"59","2007-03-28",23.84
"60","2007-03-29",23.66
"61","2007-03-30",23.9
"62","2007-04-02",24.18
"63","2007-04-03",24.43
"64","2007-04-04",24.65
"65","2007-04-05",24.75
"66","2007-04-09",24.610001
"67","2007-04-10",24.65
"68","2007-04-11",24.309999
"69","2007-04-12",24.26
"70","2007-04-13",24.370001
"71","2007-04-16",24.530001
"72","2007-04-17",24.27
"73","2007-04-18",24.129999
"74","2007-04-19",23.959999
"75","2007-04-20",24.440001
"76","2007-04-23",24.610001
"77","2007-04-24",24.23
"78","2007-04-25",24.360001
"79","2007-04-26",24.07
"80","2007-04-27",23.870001
"81","2007-04-30",22.83
"82","2007-05-01",23.02
"83","2007-05-02",23.6
"84","2007-05-03",23.700001
"85","2007-05-04",24.049999
"86","2007-05-07",24.25
"87","2007-05-08",24.299999
"88","2007-05-09",24.379999
"89","2007-05-10",23.24
"90","2007-05-11",23.959999
"91","2007-05-14",23.85
"92","2007-05-15",22.98
"93","2007-05-16",22.530001
"94","2007-05-17",21.92
"95","2007-05-18",21.75
"96","2007-05-21",21.93
"97","2007-05-22",22.309999
"98","2007-05-23",22.16
"99","2007-05-24",22
"100","2007-05-25",22.309999
"101","2007-05-29",23.049999
"102","2007-05-30",23.379999
"103","2007-05-31",23.5
"104","2007-06-01",23.440001
"105","2007-06-04",23.48
"106","2007-06-05",23.08
"107","2007-06-06",23.09
"108","2007-06-07",22.370001
"109","2007-06-08",22.59
"110","2007-06-11",22.48
"111","2007-06-12",22.139999
"112","2007-06-13",22.370001
"113","2007-06-14",22.16
"114","2007-06-15",22.559999
"115","2007-06-18",22.370001
"116","2007-06-19",22.219999
"117","2007-06-20",21.469999
"118","2007-06-21",21.299999
"119","2007-06-22",21.030001
"120","2007-06-25",20.719999
"121","2007-06-26",20.450001
"122","2007-06-27",20.76
"123","2007-06-28",20.530001
"124","2007-06-29",20.35
"125","2007-07-02",21.469999
"126","2007-07-03",21.440001
"127","2007-07-05",21.57
"128","2007-07-06",21.57
"129","2007-07-09",21.5
"130","2007-07-10",20.719999
"131","2007-07-11",20.82
"132","2007-07-12",20.969999
"133","2007-07-13",21.059999
"134","2007-07-16",21.129999
"135","2007-07-17",20.5
"136","2007-07-18",20.129999
"137","2007-07-19",20.16
"138","2007-07-20",19.450001
"139","2007-07-23",19.34
"140","2007-07-24",18.57
"141","2007-07-25",18.67
"142","2007-07-26",18.309999
"143","2007-07-27",17.610001
"144","2007-07-30",17.77
"145","2007-07-31",17.280001
"146","2007-08-01",17.16
