"","date","OSUR"
"1","2007-01-03",8.15
"2","2007-01-04",8.74
"3","2007-01-05",8.58
"4","2007-01-08",8.45
"5","2007-01-09",8.44
"6","2007-01-10",8.6
"7","2007-01-11",8.63
"8","2007-01-12",8.64
"9","2007-01-16",8.56
"10","2007-01-17",8.56
"11","2007-01-18",8.28
"12","2007-01-19",8.53
"13","2007-01-22",8.27
"14","2007-01-23",8.39
"15","2007-01-24",8.5
"16","2007-01-25",8.3
"17","2007-01-26",8.28
"18","2007-01-29",8.25
"19","2007-01-30",8.38
"20","2007-01-31",8.28
"21","2007-02-01",8.25
"22","2007-02-02",8.27
"23","2007-02-05",8.22
"24","2007-02-06",8.22
"25","2007-02-07",8.3
"26","2007-02-08",8.21
"27","2007-02-09",8.13
"28","2007-02-12",8.15
"29","2007-02-13",8.16
"30","2007-02-14",8.06
"31","2007-02-15",7.89
"32","2007-02-16",8.06
"33","2007-02-20",8.06
"34","2007-02-21",8.25
"35","2007-02-22",8.33
"36","2007-02-23",8.25
"37","2007-02-26",8.23
"38","2007-02-27",8.01
"39","2007-02-28",7.96
"40","2007-03-01",7.76
"41","2007-03-02",7.58
"42","2007-03-05",7.18
"43","2007-03-06",7.44
"44","2007-03-07",7.3
"45","2007-03-08",7.37
"46","2007-03-09",7.46
"47","2007-03-12",7.37
"48","2007-03-13",7.2
"49","2007-03-14",7.32
"50","2007-03-15",7.33
"51","2007-03-16",7.2
"52","2007-03-19",7.3
"53","2007-03-20",7.39
"54","2007-03-21",7.63
"55","2007-03-22",7.65
"56","2007-03-23",7.55
"57","2007-03-26",7.54
"58","2007-03-27",7.41
"59","2007-03-28",7.36
"60","2007-03-29",7.32
"61","2007-03-30",7.35
"62","2007-04-02",7.46
"63","2007-04-03",7.65
"64","2007-04-04",7.56
"65","2007-04-05",7.6
"66","2007-04-09",7.38
"67","2007-04-10",7.62
"68","2007-04-11",7.56
"69","2007-04-12",7.63
"70","2007-04-13",7.64
"71","2007-04-16",7.49
"72","2007-04-17",7.59
"73","2007-04-18",7.51
"74","2007-04-19",7.33
"75","2007-04-20",7.52
"76","2007-04-23",7.47
"77","2007-04-24",7.49
"78","2007-04-25",7.46
"79","2007-04-26",7.64
"80","2007-04-27",7.61
"81","2007-04-30",7.45
"82","2007-05-01",7.26
"83","2007-05-02",7.61
"84","2007-05-03",7.5
"85","2007-05-04",7.54
"86","2007-05-07",7.65
