"","date","ITMR"
"1","2019-03-08",11.4
"2","2019-03-11",11.895
"3","2019-03-12",11.895
"4","2019-03-13",12.1
"5","2019-03-14",12.1
"6","2019-03-15",14
"7","2019-03-18",13.2
"8","2019-03-19",12.75
"9","2019-03-20",11.591
"10","2019-03-21",12.52
"11","2019-03-22",13.24
"12","2019-03-25",12.07
"13","2019-03-26",12.07
"14","2019-03-27",11.61
"15","2019-03-28",11.61
"16","2019-03-29",11.61
"17","2019-04-01",11.61
"18","2019-04-02",11.61
"19","2019-04-03",11.61
"20","2019-04-04",11.84
"21","2019-04-05",11.637
"22","2019-04-08",11.637
"23","2019-04-09",11.637
"24","2019-04-10",11.637
"25","2019-04-11",11.637
"26","2019-04-12",11.637
"27","2019-04-15",11.637
"28","2019-04-16",11.637
"29","2019-04-17",11.637
"30","2019-04-18",11.637
"31","2019-04-22",11.637
"32","2019-04-23",9.36
"33","2019-04-24",10.5
"34","2019-04-25",10.84
"35","2019-04-26",10.84
"36","2019-04-29",10.84
"37","2019-04-30",11
"38","2019-05-01",11
"39","2019-05-02",10.5
"40","2019-05-03",10.5
"41","2019-05-06",9.81
"42","2019-05-07",10.53
"43","2019-05-08",9.33
"44","2019-05-09",10.24
"45","2019-05-10",10.21
"46","2019-05-13",10.21
"47","2019-05-14",10.21
"48","2019-05-15",10.21
"49","2019-05-16",10.21
"50","2019-05-17",10.5
"51","2019-05-20",9.79
"52","2019-05-21",9.1
"53","2019-05-22",8.44
"54","2019-05-23",10
"55","2019-05-24",9.45
"56","2019-05-28",8.86
"57","2019-05-29",8.8
"58","2019-05-30",9.28
"59","2019-05-31",9.8
"60","2019-06-03",10
"61","2019-06-04",10.5
"62","2019-06-05",10.12
"63","2019-06-06",10.2
"64","2019-06-07",11.258
"65","2019-06-10",11.016
"66","2019-06-11",10.75
"67","2019-06-12",10.732
"68","2019-06-13",10.85
"69","2019-06-14",10.85
"70","2019-06-17",10.087
"71","2019-06-18",10.087
"72","2019-06-19",9.72
"73","2019-06-20",9.57
"74","2019-06-21",9.57
"75","2019-06-24",10.63
"76","2019-06-25",10.215
"77","2019-06-26",10.215
"78","2019-06-27",10.215
"79","2019-06-28",11
"80","2019-07-01",10.73
"81","2019-07-02",10.5
"82","2019-07-03",9.95
"83","2019-07-05",9.95
"84","2019-07-08",9.69
"85","2019-07-09",9.69
"86","2019-07-10",9.69
"87","2019-07-11",9.69
"88","2019-07-12",9.89
"89","2019-07-15",9.89
"90","2019-07-16",9.7
"91","2019-07-17",9.72
"92","2019-07-18",9.72
"93","2019-07-19",9.72
"94","2019-07-22",9.72
"95","2019-07-23",9.72
"96","2019-07-24",9.72
"97","2019-07-25",9.72
"98","2019-07-26",10
"99","2019-07-29",10
"100","2019-07-30",9.87
"101","2019-07-31",9.89
"102","2019-08-01",9.89
"103","2019-08-02",9.89
"104","2019-08-05",9.89
"105","2019-08-06",9.89
"106","2019-08-07",9.89
"107","2019-08-08",9.89
"108","2019-08-09",9.89
"109","2019-08-12",9.89
"110","2019-08-13",9.16
"111","2019-08-14",10.14
"112","2019-08-15",10.14
"113","2019-08-16",10.14
"114","2019-08-19",9.44
"115","2019-08-20",9.68
"116","2019-08-21",9.68
"117","2019-08-22",9.4
"118","2019-08-23",9.25
"119","2019-08-26",9.1
"120","2019-08-27",9.72
"121","2019-08-28",8.8
"122","2019-08-29",9.1
"123","2019-08-30",9.29
"124","2019-09-03",8.9
"125","2019-09-04",8.9
"126","2019-09-05",8.5
"127","2019-09-06",8.5
"128","2019-09-09",9
"129","2019-09-10",9
"130","2019-09-11",9.3
"131","2019-09-12",9
"132","2019-09-13",8.8
"133","2019-09-16",8.8
"134","2019-09-17",9.21
"135","2019-09-18",9.21
"136","2019-09-19",9.13
"137","2019-09-20",9
"138","2019-09-23",9
"139","2019-09-24",9.02
"140","2019-09-25",8.995
"141","2019-09-26",8.946
"142","2019-09-27",8.9
"143","2019-09-30",8.75
"144","2019-10-01",8.7
"145","2019-10-02",8.76
"146","2019-10-03",9.347
"147","2019-10-04",9
"148","2019-10-07",8.6
"149","2019-10-08",8.664
"150","2019-10-09",8.664
"151","2019-10-10",8.3
"152","2019-10-11",8.21
"153","2019-10-14",8.5
"154","2019-10-15",8.51
"155","2019-10-16",8.51
"156","2019-10-17",8.2
"157","2019-10-18",8.468
"158","2019-10-21",8.468
"159","2019-10-22",8.468
"160","2019-10-23",8.01
"161","2019-10-24",8.18
"162","2019-10-25",8.115
"163","2019-10-28",8.09
"164","2019-10-29",8.01
"165","2019-10-30",8
"166","2019-10-31",8.47
"167","2019-11-01",8.02
"168","2019-11-04",8.02
"169","2019-11-05",8.119
"170","2019-11-06",8.3
"171","2019-11-07",9
"172","2019-11-08",9.07
"173","2019-11-11",9.07
"174","2019-11-12",9.531
"175","2019-11-13",9.38
"176","2019-11-14",9.75
"177","2019-11-15",10.1
"178","2019-11-18",10.252
"179","2019-11-19",9.909
"180","2019-11-20",9.909
"181","2019-11-21",9.694
"182","2019-11-22",10.15
"183","2019-11-25",10.61
"184","2019-11-26",10.4
"185","2019-11-27",9.96
"186","2019-11-29",9.885
"187","2019-12-02",9.857
"188","2019-12-03",10.2
"189","2019-12-04",10.51
"190","2019-12-05",11.725
"191","2019-12-06",11.47
"192","2019-12-09",11.452
"193","2019-12-10",11.165
"194","2019-12-11",11.6
"195","2019-12-12",11.41
"196","2019-12-13",11.7
"197","2019-12-16",11.7
"198","2019-12-17",11.35
"199","2019-12-18",11.36
"200","2019-12-19",11.27
"201","2019-12-20",11.5
"202","2019-12-23",11.46
"203","2019-12-24",12.05
"204","2019-12-26",12.45
"205","2019-12-27",13.01
"206","2019-12-30",12.8
"207","2019-12-31",12.87
"208","2020-01-02",12.66
"209","2020-01-03",12.75
"210","2020-01-06",12.44
"211","2020-01-07",12.47
"212","2020-01-08",12.54
"213","2020-01-09",14.39
"214","2020-01-10",13.25
"215","2020-01-13",15.15
"216","2020-01-14",14.86
"217","2020-01-15",14.745
"218","2020-01-16",15.08
"219","2020-01-17",15.5
"220","2020-01-21",14.48
"221","2020-01-22",14.78
"222","2020-01-23",15
"223","2020-01-24",14.98
"224","2020-01-27",14.5
"225","2020-01-28",14.8
"226","2020-01-29",13.644
"227","2020-01-30",13.8
"228","2020-01-31",15.73
"229","2020-02-03",16.43
"230","2020-02-04",16
"231","2020-02-05",16.23
"232","2020-02-06",15.79
"233","2020-02-07",15.97
"234","2020-02-10",15.74
"235","2020-02-11",17.07
"236","2020-02-12",17.540001
"237","2020-02-13",16.870001
"238","2020-02-14",16.299999
"239","2020-02-18",16.059999
"240","2020-02-19",16.26
"241","2020-02-20",16.84
"242","2020-02-21",16.440001
"243","2020-02-24",16
"244","2020-02-25",15.87
"245","2020-02-26",15.6
"246","2020-02-27",14.57
"247","2020-02-28",14.46
"248","2020-03-02",14.4
"249","2020-03-03",14.11
"250","2020-03-04",14.79
"251","2020-03-05",14.45
"252","2020-03-06",13.58
"253","2020-03-09",12.11
"254","2020-03-10",12.06
"255","2020-03-11",11.11
"256","2020-03-12",9.89
"257","2020-03-13",9.5
"258","2020-03-16",8.82
"259","2020-03-17",8.85
"260","2020-03-18",7.95
"261","2020-03-19",8.2
"262","2020-03-20",8.45
"263","2020-03-23",8.2
"264","2020-03-24",9.57
"265","2020-03-25",10.62
"266","2020-03-26",10.53
"267","2020-03-27",11
"268","2020-03-30",11.34
"269","2020-03-31",11.78
"270","2020-04-01",11.05
"271","2020-04-02",11.88
"272","2020-04-03",11.67
"273","2020-04-06",13.53
"274","2020-04-07",13.4
"275","2020-04-08",13.98
"276","2020-04-09",14.49
"277","2020-04-13",13.82
"278","2020-04-14",14.01
"279","2020-04-15",13.84
"280","2020-04-16",13.71
"281","2020-04-17",13.65
"282","2020-04-20",14.5
"283","2020-04-21",14.38
"284","2020-04-22",14.25
"285","2020-04-23",14
"286","2020-04-24",14.01
"287","2020-04-27",14.15
"288","2020-04-28",14.15
"289","2020-04-29",14.51
"290","2020-04-30",14.75
"291","2020-05-01",14.38
"292","2020-05-04",14.85
"293","2020-05-05",15.289
"294","2020-05-06",15.17
"295","2020-05-07",15.01
"296","2020-05-08",14.92
"297","2020-05-11",14.9
"298","2020-05-12",15
"299","2020-05-13",14.4
"300","2020-05-14",13.83
"301","2020-05-15",13.78
"302","2020-05-18",14.94
"303","2020-05-19",14.56
"304","2020-05-20",14.87
"305","2020-05-21",15.045
"306","2020-05-22",14.93
"307","2020-05-26",15.83
"308","2020-05-27",16
"309","2020-05-28",15.25
"310","2020-05-29",15.23
"311","2020-06-01",15.1
"312","2020-06-02",15.13
"313","2020-06-03",15.1
"314","2020-06-04",15.17
"315","2020-06-05",15.35
"316","2020-06-08",17
"317","2020-06-09",16.700001
"318","2020-06-10",18.1
"319","2020-06-11",16.01
"320","2020-06-12",16.780001
"321","2020-06-15",18.549999
"322","2020-06-16",21.24
"323","2020-06-17",21.518999
"324","2020-06-18",21.65
"325","2020-06-19",21.65
"326","2020-06-22",21.879999
"327","2020-06-23",21.59
"328","2020-06-24",20.120001
"329","2020-06-25",20.18
"330","2020-06-26",19.68
"331","2020-06-29",19
"332","2020-06-30",18.6
"333","2020-07-01",19.92
"334","2020-07-02",21.200001
"335","2020-07-06",21.02
"336","2020-07-07",20.610001
"337","2020-07-08",21.049999
"338","2020-07-09",23.084999
"339","2020-07-10",22.74
"340","2020-07-13",22.552999
"341","2020-07-14",23.02
"342","2020-07-15",23.049999
"343","2020-07-16",22.959999
"344","2020-07-17",23.040001
"345","2020-07-20",23.129999
"346","2020-07-21",22.92
"347","2020-07-22",22.65
"348","2020-07-23",22.870001
"349","2020-07-24",22.870001
"350","2020-07-27",23.77
"351","2020-07-28",24.25
"352","2020-07-29",24.5
"353","2020-07-30",24.93
"354","2020-07-31",25.450001
"355","2020-08-03",24.92
"356","2020-08-04",25.030001
"357","2020-08-05",25.16
"358","2020-08-06",29
"359","2020-08-07",25.07
"360","2020-08-10",25.860001
"361","2020-08-11",22.02
"362","2020-08-12",23.309999
"363","2020-08-13",22.5
"364","2020-08-14",22.309999
"365","2020-08-17",20.950001
"366","2020-08-18",21.120001
"367","2020-08-19",20.84
"368","2020-08-20",19.379999
"369","2020-08-21",19.049999
"370","2020-08-24",20
"371","2020-08-25",20.799999
"372","2020-08-26",20.9
"373","2020-08-27",21.25
"374","2020-08-28",21
"375","2020-08-31",21.84
"376","2020-09-01",23
"377","2020-09-02",23.700001
"378","2020-09-03",22.530001
"379","2020-09-04",22.969999
"380","2020-09-08",21.700001
"381","2020-09-09",22.26
"382","2020-09-10",20.709999
"383","2020-09-11",20.75
"384","2020-09-14",21.67
"385","2020-09-15",22.799999
"386","2020-09-16",22.469999
"387","2020-09-17",22.440001
"388","2020-09-18",22.5
"389","2020-09-21",22.790001
"390","2020-09-22",22.67
"391","2020-09-23",21.629999
"392","2020-09-24",21.18
"393","2020-09-25",21.610001
"394","2020-09-28",21.75
"395","2020-09-29",21.190001
"396","2020-09-30",20.43
"397","2020-10-01",20.700001
"398","2020-10-02",20.280001
"399","2020-10-05",20.9
"400","2020-10-06",21.389999
"401","2020-10-07",21.1
"402","2020-10-08",21.02
"403","2020-10-09",21.5
"404","2020-10-12",21.610001
"405","2020-10-13",21.9
"406","2020-10-14",21.48
"407","2020-10-15",21.299999
"408","2020-10-16",21.200001
"409","2020-10-19",20.6
"410","2020-10-20",21.08
"411","2020-10-21",21.15
"412","2020-10-22",20.709999
"413","2020-10-23",20.370001
"414","2020-10-26",20.58
"415","2020-10-27",20.75
"416","2020-10-28",20.379999
"417","2020-10-29",21.18
"418","2020-10-30",20.27
"419","2020-11-02",20.83
"420","2020-11-03",21.26
"421","2020-11-04",21.700001
"422","2020-11-05",20.809999
"423","2020-11-06",21.299999
"424","2020-11-09",20.92
"425","2020-11-10",19.610001
"426","2020-11-11",18.15
"427","2020-11-12",18.15
"428","2020-11-13",19.18
"429","2020-11-16",18.76
"430","2020-11-17",18.1
"431","2020-11-18",17.879999
"432","2020-11-19",18.08
"433","2020-11-20",18
"434","2020-11-23",19.700001
"435","2020-11-24",20.629999
"436","2020-11-25",20.700001
"437","2020-11-27",20.764999
