"","date","CTHR"
"1","2007-01-03",7.9
"2","2007-01-04",7.92
"3","2007-01-05",7.7
"4","2007-01-08",7.5
"5","2007-01-09",7.83
"6","2007-01-10",7.76
"7","2007-01-11",7.8
"8","2007-01-12",7.75
"9","2007-01-16",7.55
"10","2007-01-17",7.51
"11","2007-01-18",7.39
"12","2007-01-19",7.4
"13","2007-01-22",7.23
"14","2007-01-23",7.28
"15","2007-01-24",7.64
"16","2007-01-25",7.49
"17","2007-01-26",7.29
"18","2007-01-29",7.29
"19","2007-01-30",7.47
"20","2007-01-31",7.47
"21","2007-02-01",7.46
"22","2007-02-02",7.43
"23","2007-02-05",7.5
"24","2007-02-06",7.41
"25","2007-02-07",7.4
"26","2007-02-08",7.47
"27","2007-02-09",7.45
"28","2007-02-12",7.31
"29","2007-02-13",7.57
"30","2007-02-14",7.71
"31","2007-02-15",7.58
"32","2007-02-16",7.45
"33","2007-02-20",7.42
"34","2007-02-21",7.41
"35","2007-02-22",7.43
"36","2007-02-23",7.42
"37","2007-02-26",7.43
"38","2007-02-27",7.31
"39","2007-02-28",7.37
"40","2007-03-01",7.22
"41","2007-03-02",7.11
"42","2007-03-05",6.71
"43","2007-03-06",6.84
"44","2007-03-07",6.99
"45","2007-03-08",6.96
"46","2007-03-09",6.8
"47","2007-03-12",6.88
"48","2007-03-13",6.77
"49","2007-03-14",6.75
"50","2007-03-15",6.7
"51","2007-03-16",6.65
"52","2007-03-19",6.36
"53","2007-03-20",6.19
"54","2007-03-21",6.22
"55","2007-03-22",6.21
"56","2007-03-23",6.32
"57","2007-03-26",6.52
"58","2007-03-27",6.37
"59","2007-03-28",6.34
"60","2007-03-29",6.19
"61","2007-03-30",6.28
"62","2007-04-02",6.43
"63","2007-04-03",6.43
"64","2007-04-04",6.5
"65","2007-04-05",6.57
"66","2007-04-09",6.89
"67","2007-04-10",6.73
"68","2007-04-11",6.85
"69","2007-04-12",6.88
"70","2007-04-13",6.93
"71","2007-04-16",6.8
"72","2007-04-17",6.88
"73","2007-04-18",6.71
"74","2007-04-19",6.75
"75","2007-04-20",6.75
"76","2007-04-23",6.74
"77","2007-04-24",6.74
"78","2007-04-25",5.01
"79","2007-04-26",5.25
"80","2007-04-27",5.42
"81","2007-04-30",5.25
"82","2007-05-01",5.09
"83","2007-05-02",5.1
"84","2007-05-03",4.99
"85","2007-05-04",5.14
"86","2007-05-07",5.04
"87","2007-05-08",5.12
"88","2007-05-09",5.17
"89","2007-05-10",5.01
"90","2007-05-11",5.17
"91","2007-05-14",5.04
"92","2007-05-15",5.03
"93","2007-05-16",4.98
"94","2007-05-17",5
"95","2007-05-18",4.88
"96","2007-05-21",4.78
"97","2007-05-22",4.79
"98","2007-05-23",4.79
"99","2007-05-24",4.78
"100","2007-05-25",4.83
"101","2007-05-29",4.75
"102","2007-05-30",4.67
"103","2007-05-31",4.69
"104","2007-06-01",4.68
"105","2007-06-04",4.49
"106","2007-06-05",4.43
"107","2007-06-06",4.29
"108","2007-06-07",4.15
"109","2007-06-08",4.14
"110","2007-06-11",4.16
"111","2007-06-12",4.15
"112","2007-06-13",4.25
"113","2007-06-14",4.62
"114","2007-06-15",4.85
"115","2007-06-18",4.77
"116","2007-06-19",4.84
"117","2007-06-20",4.78
"118","2007-06-21",4.71
"119","2007-06-22",4.83
"120","2007-06-25",4.63
"121","2007-06-26",4.53
"122","2007-06-27",4.51
"123","2007-06-28",4.61
"124","2007-06-29",4.95
"125","2007-07-02",4.97
"126","2007-07-03",4.81
"127","2007-07-05",4.92
"128","2007-07-06",5.02
"129","2007-07-09",5.06
"130","2007-07-10",5.05
"131","2007-07-11",5.07
"132","2007-07-12",5.26
"133","2007-07-13",5.56
"134","2007-07-16",5.37
"135","2007-07-17",5.28
"136","2007-07-18",5.19
"137","2007-07-19",5.22
"138","2007-07-20",5.11
"139","2007-07-23",5.2
"140","2007-07-24",4.3
"141","2007-07-25",4
"142","2007-07-26",4.1
"143","2007-07-27",4.1
"144","2007-07-30",4.19
"145","2007-07-31",4.06
"146","2007-08-01",4.04
"147","2007-08-02",4.19
"148","2007-08-03",4.12
"149","2007-08-06",4.28
"150","2007-08-07",4.29
"151","2007-08-08",4.29
"152","2007-08-09",4.42
"153","2007-08-10",4.26
"154","2007-08-13",4.06
