"","date","GIX"
"231","2020-05-29",10
"232","2020-06-01",10.01
"233","2020-06-02",10.02
"234","2020-06-03",10.002
"235","2020-06-04",10.01
"236","2020-06-05",10
"237","2020-06-08",9.97
"238","2020-06-09",10.05
"239","2020-06-10",10.05
"240","2020-06-11",10.05
"241","2020-06-12",10.08
"242","2020-06-15",10.08
"243","2020-06-16",10.07
"244","2020-06-17",10.07
"245","2020-06-18",10.055
"246","2020-06-19",10.074
"247","2020-06-22",10.074
"248","2020-06-23",10.15
"249","2020-06-24",10.15
"250","2020-06-25",10.11
"251","2020-06-26",10.1
"252","2020-06-29",10.2
"253","2020-06-30",10.14
"254","2020-07-01",10.12
"255","2020-07-02",10.154
"256","2020-07-06",10.1
"257","2020-07-07",10.105
"258","2020-07-08",10.1
"259","2020-07-09",10.17
"260","2020-07-10",10.39
"261","2020-07-13",10.385
"262","2020-07-14",10.27
"263","2020-07-15",10.32
"264","2020-07-16",10.29
"265","2020-07-17",10.3
"266","2020-07-20",10.35
"267","2020-07-21",10.318
"268","2020-07-22",10.33
"269","2020-07-23",10.335
"270","2020-07-24",10.35
"271","2020-07-27",10.34
"272","2020-07-28",10.33
"273","2020-07-29",10.3
"274","2020-07-30",10.23
"275","2020-07-31",10.16
"276","2020-08-03",10.17
"277","2020-08-04",10.17
"278","2020-08-05",10.17
"279","2020-08-06",10.18
"280","2020-08-07",10.17
"281","2020-08-10",10.13
"282","2020-08-11",10.135
"283","2020-08-12",10.14
"284","2020-08-13",10.12
"285","2020-08-14",10.12
"286","2020-08-17",10.129
"287","2020-08-18",10.12
"288","2020-08-19",10.1
"289","2020-08-20",10.1
"290","2020-08-21",10.09
"291","2020-08-24",10.13
"292","2020-08-25",10.1
"293","2020-08-26",10.16
"294","2020-08-27",10.19
"295","2020-08-28",10.16
"296","2020-08-31",10.15
"297","2020-09-01",10.2
"298","2020-09-02",10.2
"299","2020-09-03",10.22
"300","2020-09-04",10.21
"301","2020-09-08",10.15
"302","2020-09-09",10.2
"303","2020-09-10",10.13
"304","2020-09-11",10.12
"305","2020-09-14",10.11
"306","2020-09-15",10.18
"307","2020-09-16",10.24
"308","2020-09-17",10.23
"309","2020-09-18",10.27
"310","2020-09-21",10.25
"311","2020-09-22",10.22
"312","2020-09-23",10.35
"313","2020-09-24",10.23
"314","2020-09-25",10.2
"315","2020-09-28",10.21
"316","2020-09-29",10.22
"317","2020-09-30",10.16
"318","2020-10-01",10.3
"319","2020-10-02",10.28
"320","2020-10-05",10.266
"321","2020-10-06",10.25
"322","2020-10-07",10.2
"323","2020-10-08",10.23
"324","2020-10-09",10.16
"325","2020-10-12",10.21
"326","2020-10-13",10.15
"327","2020-10-14",10.174
"328","2020-10-15",10.15
"329","2020-10-16",10.2
"330","2020-10-19",10.32
"331","2020-10-20",10.22
"332","2020-10-21",10.22
"333","2020-10-22",10.16
"334","2020-10-23",10.2
"335","2020-10-26",10.16
"336","2020-10-27",10.09
"337","2020-10-28",10.07
"338","2020-10-29",10.09
"339","2020-10-30",10.06
"340","2020-11-02",10.06
"341","2020-11-03",10.07
"342","2020-11-04",10.07
"343","2020-11-05",10.08
