"","date","AERI"
"1","2013-10-25",10.61
"2","2013-10-28",10.55
"3","2013-10-29",10.53
"4","2013-10-30",10.4
"5","2013-10-31",10.5
"6","2013-11-01",10.5
"7","2013-11-04",10.82
"8","2013-11-05",11.51
"9","2013-11-06",10.93
"10","2013-11-07",10.42
"11","2013-11-08",10.89
"12","2013-11-11",10.88
"13","2013-11-12",10.67
"14","2013-11-13",10.51
"15","2013-11-14",10.58
"16","2013-11-15",10.7
"17","2013-11-18",10.61
"18","2013-11-19",11.45
"19","2013-11-20",11.84
"20","2013-11-21",11.6
"21","2013-11-22",11.64
"22","2013-11-25",11.25
"23","2013-11-26",10.79
"24","2013-11-27",11.67
"25","2013-11-29",11.25
"26","2013-12-02",11.49
"27","2013-12-03",12.01
"28","2013-12-04",13.6
"29","2013-12-05",14.35
"30","2013-12-06",15.35
"31","2013-12-09",16
"32","2013-12-10",15.99
"33","2013-12-11",14.93
"34","2013-12-12",14.95
"35","2013-12-13",14.26
"36","2013-12-16",14.8
"37","2013-12-17",15.73
"38","2013-12-18",16.08
"39","2013-12-19",15.92
"40","2013-12-20",16.389999
"41","2013-12-23",17.075001
"42","2013-12-24",16.98
"43","2013-12-26",16.959999
"44","2013-12-27",17.379999
"45","2013-12-30",17.889999
"46","2013-12-31",17.959999
"47","2014-01-02",17.26
"48","2014-01-03",17.530001
"49","2014-01-06",18.129999
"50","2014-01-07",18.93
"51","2014-01-08",18.299999
"52","2014-01-09",19.99
"53","2014-01-10",19.82
"54","2014-01-13",19.280001
"55","2014-01-14",20.48
"56","2014-01-15",21.459999
"57","2014-01-16",21.139999
"58","2014-01-17",20.709999
"59","2014-01-21",20.92
"60","2014-01-22",20.25
"61","2014-01-23",20.059999
"62","2014-01-24",18.709999
"63","2014-01-27",16.74
"64","2014-01-28",15.76
"65","2014-01-29",16.73
"66","2014-01-30",17.91
"67","2014-01-31",18.459999
"68","2014-02-03",17
"69","2014-02-04",17.07
"70","2014-02-05",17.129999
"71","2014-02-06",17.969999
"72","2014-02-07",18.959999
"73","2014-02-10",18.18
"74","2014-02-11",18.370001
"75","2014-02-12",18.389999
"76","2014-02-13",18.540001
"77","2014-02-14",19.26
"78","2014-02-18",20.68
"79","2014-02-19",20.9
"80","2014-02-20",21.25
"81","2014-02-21",21.040001
"82","2014-02-24",20.040001
"83","2014-02-25",20.57
"84","2014-02-26",21.33
"85","2014-02-27",24.49
"86","2014-02-28",22.969999
"87","2014-03-03",23.370001
"88","2014-03-04",24.92
"89","2014-03-05",24.639999
"90","2014-03-06",22.559999
"91","2014-03-07",21
"92","2014-03-10",22.309999
"93","2014-03-11",22.41
"94","2014-03-12",21.91
"95","2014-03-13",20.700001
"96","2014-03-14",20
"97","2014-03-17",20.780001
"98","2014-03-18",21.889999
"99","2014-03-19",23.73
"100","2014-03-20",22.780001
"101","2014-03-21",22.540001
"102","2014-03-24",20.68
"103","2014-03-25",20.200001
"104","2014-03-26",20.6
"105","2014-03-27",20.51
"106","2014-03-28",21.120001
"107","2014-03-31",21.190001
"108","2014-04-01",22.370001
"109","2014-04-02",21.17
"110","2014-04-03",19.969999
"111","2014-04-04",19.059999
"112","2014-04-07",18.1
"113","2014-04-08",19.059999
"114","2014-04-09",19.139999
"115","2014-04-10",17.280001
"116","2014-04-11",16.959999
"117","2014-04-14",16.540001
"118","2014-04-15",14.93
"119","2014-04-16",14.91
"120","2014-04-17",14.94
"121","2014-04-21",15.22
"122","2014-04-22",16.42
"123","2014-04-23",16.209999
"124","2014-04-24",15.95
"125","2014-04-25",14.99
"126","2014-04-28",15.83
"127","2014-04-29",15.61
"128","2014-04-30",15.66
"129","2014-05-01",15.25
"130","2014-05-02",15.1
"131","2014-05-05",15.42
"132","2014-05-06",15.01
"133","2014-05-07",14.52
"134","2014-05-08",13.76
"135","2014-05-09",14.85
"136","2014-05-12",15.32
"137","2014-05-13",15.28
"138","2014-05-14",16.57
"139","2014-05-15",15.35
"140","2014-05-16",15.33
"141","2014-05-19",15.55
"142","2014-05-20",15.58
"143","2014-05-21",15.22
"144","2014-05-22",15.87
"145","2014-05-23",15.95
"146","2014-05-27",15.84
"147","2014-05-28",15.38
"148","2014-05-29",15.84
"149","2014-05-30",15.67
"150","2014-06-02",15.97
"151","2014-06-03",15.68
"152","2014-06-04",14.8
"153","2014-06-05",15.6
"154","2014-06-06",16.49
"155","2014-06-09",16.73
"156","2014-06-10",17.190001
"157","2014-06-11",17.549999
"158","2014-06-12",17.51
"159","2014-06-13",17.41
"160","2014-06-16",19.07
"161","2014-06-17",18.65
"162","2014-06-18",18.870001
"163","2014-06-19",20.15
"164","2014-06-20",19.719999
"165","2014-06-23",20.59
"166","2014-06-24",21.030001
"167","2014-06-25",26.98
"168","2014-06-26",26.98
"169","2014-06-27",26.58
"170","2014-06-30",24.77
"171","2014-07-01",25.059999
"172","2014-07-02",23.99
"173","2014-07-03",25.309999
"174","2014-07-07",25.5
"175","2014-07-08",24.360001
"176","2014-07-09",26.4
"177","2014-07-10",25.42
"178","2014-07-11",25.969999
"179","2014-07-14",25.549999
"180","2014-07-15",24.049999
"181","2014-07-16",23.209999
