"","date","LND"
"1","2012-05-15",3.86
"2","2012-05-16",3.86
"3","2012-05-17",3.86
"4","2012-05-18",3.77
"5","2012-05-21",3.77
"6","2012-05-22",3.77
"7","2012-05-23",3.49
"8","2012-05-24",3.39
"9","2012-05-25",3.39
"10","2012-05-29",3.39
"11","2012-05-30",3.39
"12","2012-05-31",3.5
"13","2012-06-01",3.67
"14","2012-06-04",3.63
"15","2012-06-05",3.41
"16","2012-06-06",3.41
"17","2012-06-07",3.41
"18","2012-06-08",3.41
"19","2012-06-11",3.62
"20","2012-06-12",3.62
"21","2012-06-13",3.62
"22","2012-06-14",3.55
"23","2012-06-15",3.75
"24","2012-06-18",3.75
"25","2012-06-19",3.63
"26","2012-06-20",3.67
"27","2012-06-21",3.32
"28","2012-06-22",3.32
"29","2012-06-25",3.32
"30","2012-06-26",3.56
"31","2012-06-27",3.55
"32","2012-06-28",3.55
"33","2012-06-29",3.55
"34","2012-07-02",3.55
"35","2012-07-03",3.55
"36","2012-07-05",3.86
"37","2012-07-06",3.86
"38","2012-07-09",3.86
"39","2012-07-10",3.86
"40","2012-07-11",3.86
"41","2012-07-12",3.86
"42","2012-07-13",3.86
"43","2012-07-16",3.92
"44","2012-07-17",3.92
"45","2012-07-18",3.92
"46","2012-07-19",3.92
"47","2012-07-20",3.92
"48","2012-07-23",3.91
"49","2012-07-24",3.91
"50","2012-07-25",3.91
"51","2012-07-26",3.91
"52","2012-07-27",3.91
"53","2012-07-30",4.12
"54","2012-07-31",4.12
"55","2012-08-01",4.12
"56","2012-08-02",4.12
"57","2012-08-03",4.33
"58","2012-08-06",4.33
"59","2012-08-07",4.33
"60","2012-08-08",4.4
"61","2012-08-09",4.4
"62","2012-08-10",4.4
"63","2012-08-13",4.4
"64","2012-08-14",4.4
"65","2012-08-15",4.4
"66","2012-08-16",4.4
"67","2012-08-17",4.4
"68","2012-08-20",4.4
"69","2012-08-21",4.4
"70","2012-08-22",4.33
"71","2012-08-23",4.33
"72","2012-08-24",4.33
"73","2012-08-27",4.33
