"","date","TACO"
"228","2014-12-02",9.78
"229","2014-12-03",9.78
"230","2014-12-04",9.78
"231","2014-12-05",9.71
"232","2014-12-08",9.71
"233","2014-12-09",9.72
"234","2014-12-10",9.71
"235","2014-12-11",9.71
"236","2014-12-12",9.71
"237","2014-12-15",9.68
"238","2014-12-16",9.68
"239","2014-12-17",9.68
"240","2014-12-18",9.68
"241","2014-12-19",9.68
"242","2014-12-22",9.68
"243","2014-12-23",9.68
"244","2014-12-24",9.65
"245","2014-12-26",9.73
"246","2014-12-29",9.73
"247","2014-12-30",9.73
"248","2014-12-31",9.73
"249","2015-01-02",9.73
"250","2015-01-05",9.73
"251","2015-01-06",9.73
"252","2015-01-07",9.73
"253","2015-01-08",9.79
"254","2015-01-09",9.7
"255","2015-01-12",9.74
"256","2015-01-13",9.74
"257","2015-01-14",9.74
"258","2015-01-15",9.74
"259","2015-01-16",9.77
"260","2015-01-20",9.77
"261","2015-01-21",9.77
"262","2015-01-22",9.77
"263","2015-01-23",9.77
"264","2015-01-26",9.88
"265","2015-01-27",9.93
"266","2015-01-28",9.92
"267","2015-01-29",9.92
"268","2015-01-30",9.92
"269","2015-02-02",9.9
"270","2015-02-03",9.9
"271","2015-02-04",9.9
"272","2015-02-05",9.9
"273","2015-02-06",9.91
"274","2015-02-09",9.91
"275","2015-02-10",9.95
"276","2015-02-11",9.95
"277","2015-02-12",9.99
"278","2015-02-13",9.99
"279","2015-02-17",9.99
"280","2015-02-18",9.99
"281","2015-02-19",9.99
"282","2015-02-20",9.99
"283","2015-02-23",9.88
"284","2015-02-24",9.95
"285","2015-02-25",10
"286","2015-02-26",10
"287","2015-02-27",10
"288","2015-03-02",10
"289","2015-03-03",10
"290","2015-03-04",10
"291","2015-03-05",10
"292","2015-03-06",10
"293","2015-03-09",9.95
"294","2015-03-10",9.95
"295","2015-03-11",9.95
"296","2015-03-12",10.26
"297","2015-03-13",10.64
"298","2015-03-16",11.08
"299","2015-03-17",11.2
"300","2015-03-18",11.18
"301","2015-03-19",11.05
"302","2015-03-20",11.04
"303","2015-03-23",11.05
"304","2015-03-24",11.1
"305","2015-03-25",11.26
"306","2015-03-26",11.58
"307","2015-03-27",12.21
"308","2015-03-30",12.78
"309","2015-03-31",13.15
"310","2015-04-01",13.4
"311","2015-04-02",13.5
"312","2015-04-06",15
"313","2015-04-07",14.74
"314","2015-04-08",14.3
"315","2015-04-09",14.05
"316","2015-04-10",14.05
"317","2015-04-13",14.1
"318","2015-04-14",14
"319","2015-04-15",13.99
"320","2015-04-16",14.14
"321","2015-04-17",14.2
"322","2015-04-20",14.5
"323","2015-04-21",14.53
"324","2015-04-22",14.76
"325","2015-04-23",14.98
"326","2015-04-24",14.84
"327","2015-04-27",14.34
"328","2015-04-28",14.5
"329","2015-04-29",14.5
"330","2015-04-30",14.43
"331","2015-05-01",14.62
"332","2015-05-04",15.2
"333","2015-05-05",15.43
"334","2015-05-06",15.3
"335","2015-05-07",15.11
"336","2015-05-08",15.34
"337","2015-05-11",15.94
"338","2015-05-12",15.88
"339","2015-05-13",15.8
"340","2015-05-14",16.07
"341","2015-05-15",16.700001
"342","2015-05-18",17.139999
"343","2015-05-19",16.83
"344","2015-05-20",16.4
"345","2015-05-21",16.4
"346","2015-05-22",16.52
"347","2015-05-26",16.379999
"348","2015-05-27",16.16
"349","2015-05-28",16.450001
"350","2015-05-29",16.15
"351","2015-06-01",15.79
"352","2015-06-02",16.200001
"353","2015-06-03",15.64
"354","2015-06-04",15.86
"355","2015-06-05",15.71
"356","2015-06-08",15.66
"357","2015-06-09",15.49
"358","2015-06-10",15.42
"359","2015-06-11",15.26
"360","2015-06-12",15.41
"361","2015-06-15",15.14
"362","2015-06-16",14.88
"363","2015-06-17",14.67
"364","2015-06-18",14.82
"365","2015-06-19",15.35
"366","2015-06-22",14.64
"367","2015-06-23",14.74
"368","2015-06-24",14.93
"369","2015-06-25",15
"370","2015-06-26",15.03
"371","2015-06-29",14.86
"372","2015-06-30",15.22
"373","2015-07-01",15.61
"374","2015-07-02",15.28
"375","2015-07-06",15.3
"376","2015-07-07",15.23
"377","2015-07-08",14.99
"378","2015-07-09",15.1
"379","2015-07-10",15.15
"380","2015-07-13",15.34
"381","2015-07-14",15.35
"382","2015-07-15",15.13
"383","2015-07-16",15.11
"384","2015-07-17",15.26
"385","2015-07-20",15.21
"386","2015-07-21",15.54
"387","2015-07-22",15.7
"388","2015-07-23",15.86
"389","2015-07-24",16.389999
"390","2015-07-27",16.219999
"391","2015-07-28",15.34
"392","2015-07-29",15.41
"393","2015-07-30",15.55
"394","2015-07-31",15.7
"395","2015-08-03",15.57
"396","2015-08-04",15.33
"397","2015-08-05",15.27
"398","2015-08-06",14.64
"399","2015-08-07",14.46
"400","2015-08-10",14.54
"401","2015-08-11",14.25
"402","2015-08-12",14.62
"403","2015-08-13",14.4
"404","2015-08-14",14.13
"405","2015-08-17",13.69
"406","2015-08-18",13.51
"407","2015-08-19",13.15
"408","2015-08-20",13.09
"409","2015-08-21",13.13
"410","2015-08-24",12.49
"411","2015-08-25",12.73
"412","2015-08-26",12.98
"413","2015-08-27",13.11
"414","2015-08-28",13.12
"415","2015-08-31",12.69
"416","2015-09-01",12.48
"417","2015-09-02",12.91
"418","2015-09-03",13.06
"419","2015-09-04",13.02
"420","2015-09-08",14.58
"421","2015-09-09",14.62
"422","2015-09-10",14.61
"423","2015-09-11",14.76
"424","2015-09-14",14.62
"425","2015-09-15",14.36
"426","2015-09-16",14.79
"427","2015-09-17",14.6
"428","2015-09-18",14.92
"429","2015-09-21",14.39
"430","2015-09-22",13.78
"431","2015-09-23",13.9
"432","2015-09-24",13.52
"433","2015-09-25",13.18
"434","2015-09-28",13.04
"435","2015-09-29",13.17
"436","2015-09-30",14
"437","2015-10-01",13.58
"438","2015-10-02",13.59
"439","2015-10-05",13.87
"440","2015-10-06",13.95
"441","2015-10-07",13.89
"442","2015-10-08",13.63
"443","2015-10-09",13.59
"444","2015-10-12",13.55
"445","2015-10-13",13.44
"446","2015-10-14",13.58
"447","2015-10-15",13.58
"448","2015-10-16",13.64
"449","2015-10-19",13.64
"450","2015-10-20",13.71
"451","2015-10-21",12.93
"452","2015-10-22",12.73
"453","2015-10-23",12.76
"454","2015-10-26",12.26
"455","2015-10-27",12.48
